rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
28,1,00:49:27,89010,34,bottom,long service,,,"[911, 555]","[[860.8614501953125, 328.7534484863281], [863.7139892578125, 324.4409484863281], [856.582763671875, 325.8784484863281], [867.99267578125, 323.0034484863281], [849.4515380859375, 323.0034484863281], [875.123779296875, 341.69085693359375], [840.8941650390625, 337.3783874511719], [899.3698120117188, 356.0657958984375], [809.5169677734375, 348.8783264160156], [899.3698120117188, 363.2532653808594], [810.9432983398438, 363.2532653808594], [867.99267578125, 379.0657043457031], [849.4515380859375, 379.0657043457031], [862.2876586914062, 417.8780212402344], [846.59912109375, 417.8780212402344], [866.56640625, 469.6277770996094], [846.59912109375, 438.0029296875], [856.582763671875, 453.8153533935547]]","[[956.9547119140625, 546.0721435546875], [958.3897094726562, 543.189208984375], [958.3897094726562, 541.7476806640625], [961.259521484375, 547.5136108398438], [984.2186889648438, 544.6306762695312], [954.0847778320312, 576.343505859375], [997.1332397460938, 563.3700561523438], [926.82080078125, 596.5244140625], [1015.7875366210938, 559.0455932617188], [931.125732421875, 608.0563354492188], [1008.6127319335938, 559.0455932617188], [977.0439453125, 657.0670776367188], [1002.873046875, 651.3010864257812], [982.7837524414062, 720.4927368164062], [1000.0031127929688, 671.48193359375], [998.568115234375, 775.2694091796875], [989.95849609375, 716.1682739257812], [994.2633056640625, 745.7188415527344]]"
28,2,00:49:28,89041,1,top,smash,,,"[958, 362]","[[848.32275390625, 349.1214294433594], [854.0180053710938, 346.24920654296875], [844.0513305664062, 346.24920654296875], [856.8656616210938, 349.1214294433594], [838.3560180664062, 349.1214294433594], [858.2894897460938, 369.2267761230469], [835.5083618164062, 369.2267761230469], [869.6800537109375, 382.1516418457031], [848.32275390625, 379.2794494628906], [888.189697265625, 392.20428466796875], [878.2229614257812, 386.4599304199219], [844.0513305664062, 425.2345275878906], [824.1178588867188, 422.3623352050781], [866.8323974609375, 468.3174133300781], [828.3892822265625, 462.57305908203125], [852.59423828125, 482.6783752441406], [802.7605590820312, 511.4002990722656], [827.6773986816406, 497.0393371582031]]","[[882.3983764648438, 589.6401977539062], [883.8258056640625, 586.7715454101562], [905.2379150390625, 581.0341186523438], [885.2533569335938, 591.0745239257812], [906.6653442382812, 583.90283203125], [892.390625, 622.6302490234375], [925.2223510742188, 596.8119506835938], [910.94775390625, 661.357666015625], [955.1992797851562, 599.6806640625], [915.2301635742188, 694.3477172851562], [893.8181762695312, 608.2867431640625], [948.0618896484375, 677.135498046875], [965.1914672851562, 661.357666015625], [916.6575927734375, 731.6407470703125], [929.5047607421875, 701.5194091796875], [925.2223510742188, 794.752197265625], [933.7871704101562, 745.9842529296875], [929.5047607421875, 770.3682250976562]]"
28,3,00:49:28,89057,34,bottom,defensive shot,,,"[1202, 425]","[[943.2542114257812, 341.6058654785156], [947.5640258789062, 337.28533935546875], [938.9443969726562, 335.8451843261719], [950.4371948242188, 340.16571044921875], [931.7614135742188, 337.28533935546875], [934.6346435546875, 356.0076599121094], [924.5784301757812, 364.6487121582031], [926.0150756835938, 381.93084716796875], [907.3392944335938, 399.2129821777344], [927.45166015625, 416.4951171875], [918.8320922851562, 432.3370666503906], [915.9588623046875, 402.0933532714844], [894.409912109375, 404.97369384765625], [936.0712280273438, 425.13616943359375], [882.9171752929688, 445.2986755371094], [930.3248291015625, 459.7004699707031], [851.3120727539062, 487.0638122558594], [890.8184509277344, 473.38214111328125]]","[[997.9172973632812, 542.3320922851562], [995.0568237304688, 536.566650390625], [995.0568237304688, 539.4494018554688], [975.033203125, 545.2147827148438], [995.0568237304688, 545.2147827148438], [963.5911254882812, 572.6005249023438], [1012.2199096679688, 571.1591796875], [946.4280395507812, 604.310302734375], [1037.9644775390625, 599.9862060546875], [970.7424926757812, 592.7794799804688], [1065.139404296875, 620.1652221679688], [973.6029663085938, 644.668212890625], [1010.7896728515625, 644.668212890625], [936.416259765625, 667.7298583984375], [1045.1158447265625, 648.9922485351562], [910.671630859375, 715.2945556640625], [1037.9644775390625, 703.7637329101562], [974.3180541992188, 709.5291442871094]]"
28,4,00:49:29,89088,1,top,net shot,,,"[851, 210]","[[964.9684448242188, 269.652099609375], [970.7117919921875, 265.34173583984375], [963.5325927734375, 265.34173583984375], [982.1985473632812, 269.652099609375], [963.5325927734375, 271.0888977050781], [995.1211547851562, 288.3303527832031], [962.0968017578125, 294.0774841308594], [1020.96630859375, 307.0085754394531], [957.7892456054688, 317.0660705566406], [1041.068115234375, 324.2500305175781], [956.3533935546875, 312.7557067871094], [1005.1720581054688, 345.80181884765625], [985.0701904296875, 352.98577880859375], [1025.2738037109375, 380.28472900390625], [995.1211547851562, 398.96295166015625], [1048.247314453125, 424.8251647949219], [1006.60791015625, 440.6297912597656], [1027.4276123046875, 432.72747802734375]]","[[1048.94140625, 535.6322631835938], [1044.6405029296875, 529.8975830078125], [1048.94140625, 532.7649536132812], [1026.0030517578125, 537.06591796875], [1048.94140625, 535.6322631835938], [1017.4010009765625, 561.438232421875], [1063.2779541015625, 562.8718872070312], [994.4625854492188, 584.3768920898438], [1086.2164306640625, 600.147216796875], [975.8251342773438, 600.147216796875], [1093.3846435546875, 623.0858764648438], [1031.737548828125, 638.856201171875], [1064.711669921875, 638.856201171875], [1011.6663818359375, 666.0957641601562], [1086.2164306640625, 670.3967895507812], [1028.8702392578125, 722.0087280273438], [1107.72119140625, 717.707763671875], [1068.2957153320312, 719.8582458496094]]"
28,5,00:49:30,89114,34,bottom,lob,,,"[1234, 317]","[[894.4457397460938, 293.5614929199219], [898.7489624023438, 289.2447509765625], [891.5769653320312, 289.2447509765625], [908.7897338867188, 290.6836853027344], [887.2737426757812, 289.2447509765625], [921.6993408203125, 309.3894348144531], [887.2737426757812, 307.9505310058594], [951.8217163085938, 319.4617614746094], [893.0113525390625, 330.9729919433594], [950.3873291015625, 345.362060546875], [890.1425170898438, 353.9954833984375], [936.0433349609375, 349.67877197265625], [910.22412109375, 349.67877197265625], [956.1248779296875, 385.6513671875], [887.2737426757812, 381.33465576171875], [983.3784790039062, 425.9407043457031], [880.1017456054688, 421.6239929199219], [931.7401123046875, 423.7823486328125]]","[[974.7100219726562, 603.8002319335938], [970.4035034179688, 599.4876708984375], [970.4035034179688, 600.9251708984375], [945.9993896484375, 609.55029296875], [966.096923828125, 608.11279296875], [935.95068359375, 632.5505981445312], [980.4521484375, 635.4256591796875], [923.0308837890625, 669.9261474609375], [991.9364624023438, 664.1760864257812], [943.1283569335938, 677.11376953125], [1035.0023193359375, 667.0510864257812], [924.4664306640625, 711.6141967773438], [956.0481567382812, 720.2393188476562], [902.9334716796875, 746.1146240234375], [943.1283569335938, 759.0523681640625], [888.578125, 796.4279174804688], [901.4979248046875, 792.1153564453125], [895.0380249023438, 794.2716369628906]]"
28,6,00:49:31,89157,1,top,clear,,,"[1170, 43]","[[1162.5260009765625, 236.09466552734375], [1162.5260009765625, 233.22137451171875], [1161.1142578125, 233.22137451171875], [1163.937744140625, 236.09466552734375], [1156.8787841796875, 236.09466552734375], [1145.584228515625, 256.2076721191406], [1156.8787841796875, 253.3343963623047], [1132.8778076171875, 273.4473876953125], [1128.642333984375, 302.18023681640625], [1125.8187255859375, 333.786376953125], [1154.0550537109375, 231.7847442626953], [1144.17236328125, 315.1100158691406], [1131.466064453125, 309.36346435546875], [1130.05419921875, 353.8993835449219], [1128.642333984375, 355.3360290527344], [1156.8787841796875, 365.39251708984375], [1155.4669189453125, 365.39251708984375], [1156.1728515625, 365.39251708984375]]","[[1028.5751953125, 615.0796508789062], [1029.9976806640625, 610.7609252929688], [1059.8690185546875, 612.2005004882812], [1032.842529296875, 615.0796508789062], [1058.4466552734375, 615.0796508789062], [1018.6181030273438, 648.189697265625], [1075.5159912109375, 648.189697265625], [1005.8161010742188, 689.9371337890625], [1086.8955078125, 691.376708984375], [994.4365234375, 721.607666015625], [1091.162841796875, 727.365966796875], [1025.7303466796875, 733.124267578125], [1061.29150390625, 737.4429321289062], [1005.8161010742188, 786.3882446289062], [1051.3343505859375, 776.3112182617188], [1012.9282836914062, 852.6083374023438], [1037.10986328125, 820.9378662109375], [1025.0190734863281, 836.7731018066406]]"
28,7,00:49:33,89211,34,bottom,smash,,,"[1237, 375]","[[1140.892333984375, 352.5725402832031], [1143.7509765625, 348.2741394042969], [1136.6044921875, 348.2741394042969], [1148.038818359375, 349.7069396972656], [1130.887451171875, 352.5725402832031], [1153.755859375, 368.3334045410156], [1126.599609375, 375.4974365234375], [1149.4681396484375, 395.55670166015625], [1125.1702880859375, 411.3175048828125], [1122.311767578125, 447.13763427734375], [1123.740966796875, 444.2720642089844], [1142.3216552734375, 418.4815368652344], [1125.1702880859375, 418.4815368652344], [1152.3265380859375, 465.7641296386719], [1142.3216552734375, 441.40643310546875], [1142.3216552734375, 497.2857971191406], [1145.18017578125, 492.98736572265625], [1143.7509155273438, 495.13658142089844]]","[[1087.531494140625, 610.5726318359375], [1086.0946044921875, 607.6967163085938], [1090.4053955078125, 606.2587280273438], [1087.531494140625, 609.1346435546875], [1110.5223388671875, 609.1346435546875], [1073.162353515625, 636.4561767578125], [1123.4547119140625, 637.8941040039062], [1050.171630859375, 681.0332641601562], [1140.6976318359375, 679.5953369140625], [1037.2393798828125, 709.792724609375], [1147.8822021484375, 689.6611328125], [1074.599365234375, 706.9168090820312], [1110.5223388671875, 712.668701171875], [1031.49169921875, 734.23828125], [1142.1346435546875, 739.9901733398438], [1005.6270751953125, 787.4432983398438], [1157.9407958984375, 793.1951904296875], [1081.783935546875, 790.3192443847656]]"
28,8,00:49:34,89227,1,top,defensive shot,,,"[1267, 457]","[[1069.396728515625, 314.5887451171875], [1072.2744140625, 311.7221374511719], [1066.5189208984375, 310.2888488769531], [1076.5909423828125, 314.5887451171875], [1059.3245849609375, 313.15545654296875], [1082.3465576171875, 328.9217834472656], [1049.25244140625, 334.6549987792969], [1106.807373046875, 340.3882141113281], [1029.1082763671875, 354.72125244140625], [1109.68505859375, 364.7543640136719], [1021.9139404296875, 383.3872985839844], [1076.5909423828125, 370.4875793457031], [1053.569091796875, 370.4875793457031], [1096.7352294921875, 409.1867980957031], [1037.7415771484375, 406.3201904296875], [1095.29638671875, 455.052490234375], [1007.5252075195312, 450.7525939941406], [1051.4107971191406, 452.9025421142578]]","[[1160.481201171875, 562.1639404296875], [1157.615966796875, 556.4144897460938], [1157.615966796875, 557.8518676757812], [1130.39697265625, 559.2892456054688], [1151.8856201171875, 566.4759521484375], [1116.0711669921875, 567.913330078125], [1153.3182373046875, 596.6603393554688], [1084.554443359375, 563.6012573242188], [1184.8350830078125, 629.7194213867188], [1075.9588623046875, 559.2892456054688], [1229.2449951171875, 628.2820434570312], [1068.7960205078125, 638.343505859375], [1094.58251953125, 655.5917358398438], [1047.3072509765625, 692.9628295898438], [1120.368896484375, 694.4002075195312], [1015.79052734375, 740.3953857421875], [1093.14990234375, 740.3953857421875], [1054.47021484375, 740.3953857421875]]"
28,9,00:49:35,89261,34,bottom,lob,,,"[995, 283]","[[1073.6317138671875, 336.0045471191406], [1076.5032958984375, 333.12432861328125], [1069.324462890625, 331.6842346191406], [1082.2462158203125, 336.0045471191406], [1062.1456298828125, 334.564453125], [1086.553466796875, 354.7259216308594], [1050.6595458984375, 360.4863586425781], [1109.525634765625, 356.1660461425781], [1033.4305419921875, 386.40826416015625], [1131.0621337890625, 370.5671081542969], [1033.4305419921875, 393.60882568359375], [1083.6820068359375, 408.0098571777344], [1063.5814208984375, 412.3302307128906], [1095.1680908203125, 444.0125732421875], [1079.374755859375, 446.89276123046875], [1075.0675048828125, 478.5751037597656], [1098.0396728515625, 488.6558837890625], [1086.5535888671875, 483.61549377441406]]","[[995.2596435546875, 576.2008056640625], [969.66015625, 581.9443969726562], [990.9930419921875, 571.8931274414062], [972.5045776367188, 587.68798828125], [995.2596435546875, 577.63671875], [973.9267578125, 616.406005859375], [1022.28125, 600.611083984375], [976.7711791992188, 663.7907104492188], [1046.45849609375, 637.9445190429688], [983.882080078125, 692.5086669921875], [1059.2581787109375, 666.6624755859375], [1009.4815063476562, 691.0728149414062], [1039.3475341796875, 683.893310546875], [978.1932983398438, 739.8933715820312], [1035.0809326171875, 711.1754150390625], [1018.0146484375, 787.278076171875], [1035.0809326171875, 751.380615234375], [1026.5477905273438, 769.329345703125]]"
28,10,00:49:37,89313,1,top,clear,,,"[695, 981]","[[904.812744140625, 267.2060546875], [909.093505859375, 262.89422607421875], [901.9590454101562, 262.89422607421875], [914.801025390625, 264.33148193359375], [897.6782836914062, 264.33148193359375], [926.2162475585938, 284.4534606933594], [887.6900024414062, 288.7652893066406], [934.777587890625, 308.88726806640625], [879.128662109375, 316.0736999511719], [941.9120483398438, 337.6329345703125], [879.128662109375, 341.94476318359375], [917.6548461914062, 341.94476318359375], [894.824462890625, 341.94476318359375], [923.3624267578125, 382.1886901855469], [891.9707641601562, 380.7514343261719], [930.4968872070312, 429.6190490722656], [890.5438232421875, 419.55804443359375], [910.5203552246094, 424.5885467529297]]","[[628.9847412109375, 756.0553588867188], [628.9847412109375, 751.7349243164062], [628.9847412109375, 750.2947387695312], [597.494873046875, 738.7738037109375], [626.1220092773438, 751.7349243164062], [571.73046875, 756.0553588867188], [610.3771362304688, 786.2979736328125], [545.966064453125, 786.2979736328125], [603.2203369140625, 833.8220825195312], [515.9075927734375, 810.7800903320312], [621.8279418945312, 874.1455688476562], [561.7109985351562, 864.064697265625], [588.90673828125, 868.3850708007812], [573.161865234375, 911.5888061523438], [608.9457397460938, 928.8703002929688], [576.0245361328125, 973.5142211914062], [564.5736694335938, 989.3556518554688], [570.2991027832031, 981.4349365234375]]"
