rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
28,1,01:05:13,117396,16,top,short service,,,"[917, 692]","[[880.4718017578125, 476.97198486328125], [884.71533203125, 474.1091003417969], [877.6427612304688, 474.1091003417969], [890.3733520507812, 474.1091003417969], [871.9846801757812, 475.54052734375], [900.2749633789062, 494.14947509765625], [867.7411499023438, 492.718017578125], [908.7620849609375, 521.34716796875], [855.0105590820312, 511.32696533203125], [893.202392578125, 517.052734375], [860.6685791015625, 497.0123596191406], [894.616943359375, 541.3875122070312], [876.228271484375, 541.3875122070312], [890.3733520507812, 582.8997192382812], [876.228271484375, 590.0570068359375], [891.7879028320312, 627.27490234375], [883.3008422851562, 614.3917846679688], [887.5443725585938, 620.8333435058594]]","[[957.98828125, 628.1799926757812], [957.98828125, 623.8578491210938], [982.2301025390625, 620.9764404296875], [959.414306640625, 626.7392578125], [982.2301025390625, 625.2985229492188], [952.2843627929688, 658.4349365234375], [997.916015625, 649.7907104492188], [930.8944091796875, 680.045654296875], [1012.1759643554688, 669.9606323242188], [920.9125366210938, 690.130615234375], [997.916015625, 649.7907104492188], [970.8222045898438, 734.792724609375], [1000.76806640625, 729.0298461914062], [972.2481689453125, 786.6583251953125], [996.4900512695312, 779.4547729492188], [983.6561279296875, 828.4390869140625], [996.4900512695312, 831.3204345703125], [990.0730895996094, 829.8797607421875]]"
28,2,01:05:14,117425,20,bottom,push/rush,,,"[943, 452]","[[930.8193969726562, 519.76416015625], [932.2306518554688, 515.4697875976562], [926.5857543945312, 516.9013061523438], [936.4644775390625, 516.9013061523438], [922.3519287109375, 521.1956176757812], [950.576904296875, 529.784423828125], [923.76318359375, 538.3732299804688], [975.9794311523438, 538.3732299804688], [929.4082641601562, 561.2765502929688], [968.923095703125, 549.8248901367188], [959.0443725585938, 555.5507202148438], [946.3432006835938, 578.4541015625], [927.9970092773438, 579.8856201171875], [953.3994140625, 599.926025390625], [937.875732421875, 605.6519165039062], [956.221923828125, 648.5957641601562], [936.4644775390625, 641.4384155273438], [946.3432006835938, 645.01708984375]]","[[933.8065795898438, 660.5633544921875], [933.8065795898438, 656.2559204101562], [933.8065795898438, 656.2559204101562], [935.2454833984375, 657.6917114257812], [956.8287353515625, 656.2559204101562], [929.4899291992188, 683.5362548828125], [974.0952758789062, 679.2288818359375], [913.6622314453125, 719.4315185546875], [997.1173706054688, 710.816650390625], [907.9066772460938, 740.9686279296875], [1004.3118286132812, 738.0969848632812], [951.0731811523438, 755.3267211914062], [981.2896728515625, 751.0192260742188], [916.5400390625, 801.2725830078125], [985.6063842773438, 795.5293579101562], [912.2233276367188, 857.26904296875], [1007.1895141601562, 841.4751586914062], [959.7064208984375, 849.3721008300781]]"
28,3,01:05:15,117454,16,top,drive,,,"[1145, 502]","[[1005.2091064453125, 476.79534912109375], [1008.0639038085938, 472.48565673828125], [1000.9270629882812, 472.48565673828125], [1013.7733154296875, 475.3587951660156], [993.7902221679688, 475.3587951660156], [1020.9100341796875, 496.9073181152344], [983.798828125, 495.4707336425781], [1029.4742431640625, 517.019287109375], [966.6705322265625, 515.5827026367188], [1042.3204345703125, 535.6946411132812], [970.9525756835938, 538.5677490234375], [1010.9186401367188, 542.87744140625], [985.2261352539062, 544.3140258789062], [1028.046875, 573.04541015625], [968.097900390625, 577.3551025390625], [1050.884521484375, 617.5789794921875], [945.2601318359375, 617.5789794921875], [998.0723266601562, 617.5789794921875]]","[[1064.1474609375, 727.0265502929688], [1067.0120849609375, 721.2631225585938], [1055.553466796875, 719.8223266601562], [1046.95947265625, 727.0265502929688], [1072.7413330078125, 724.1448974609375], [1039.7978515625, 752.9619140625], [1079.9029541015625, 751.5211791992188], [1018.3129272460938, 786.1016235351562], [1098.523193359375, 757.2845458984375], [1029.7716064453125, 765.9296264648438], [1124.3050537109375, 764.48876953125], [1038.365478515625, 835.0906982421875], [1064.1474609375, 837.972412109375], [1052.6888427734375, 872.552978515625], [1109.9818115234375, 881.1980590820312], [998.2603149414062, 895.606689453125], [1095.6585693359375, 937.3914184570312], [1046.9594421386719, 916.4990539550781]]"
28,4,01:05:15,117467,20,bottom,defensive shot,,,"[1075, 477]","[[1055.68505859375, 480.98919677734375], [1055.68505859375, 478.11700439453125], [1049.9857177734375, 478.11700439453125], [1058.5347900390625, 483.861328125], [1041.4366455078125, 483.861328125], [1054.26025390625, 502.5304260253906], [1038.5869140625, 501.09429931640625], [1078.482666015625, 522.6355590820312], [1042.8614501953125, 508.2747497558594], [1051.4105224609375, 508.2747497558594], [1062.809326171875, 514.01904296875], [1038.5869140625, 548.4850463867188], [1018.6390991210938, 548.4850463867188], [1058.5347900390625, 574.33447265625], [998.6912231445312, 580.0787963867188], [1055.68505859375, 618.85302734375], [970.1942138671875, 613.1087036132812], [1012.9396362304688, 615.9808654785156]]","[[1029.9085693359375, 673.0133056640625], [1035.6158447265625, 664.3853149414062], [1044.1768798828125, 667.2612915039062], [1015.64013671875, 670.1372680664062], [1042.7501220703125, 670.1372680664062], [1002.798583984375, 698.897216796875], [1054.164794921875, 703.211181640625], [978.542236328125, 731.9711303710938], [1071.286865234375, 743.47509765625], [977.1154174804688, 733.4091796875], [1078.4210205078125, 777.9871215820312], [1002.798583984375, 773.673095703125], [1038.4696044921875, 777.9871215820312], [997.0911865234375, 822.5650024414062], [1062.725830078125, 828.3170166015625], [984.2496337890625, 872.8948974609375], [1067.0064697265625, 891.5888061523438], [1025.6280517578125, 882.2418518066406]]"
28,5,01:05:16,117493,16,top,net shot,,,"[780, 604]","[[989.9859008789062, 473.55279541015625], [992.8392333984375, 470.6864013671875], [987.1326293945312, 470.6864013671875], [998.5457153320312, 472.11956787109375], [981.4261474609375, 472.11956787109375], [1004.252197265625, 487.884765625], [972.866455078125, 490.7511291503906], [1019.945068359375, 497.9171447753906], [960.0267944335938, 510.8158874511719], [1028.5048828125, 509.3826904296875], [954.3201904296875, 533.7470092773438], [997.1190795898438, 538.046630859375], [974.29296875, 538.046630859375], [1007.1054077148438, 572.443359375], [970.0131225585938, 573.8765258789062], [998.5457153320312, 608.2732543945312], [955.7468872070312, 616.8723754882812], [977.1463012695312, 612.5728149414062]]","[[814.3344116210938, 669.83740234375], [814.3344116210938, 665.5272216796875], [815.7651977539062, 665.5272216796875], [817.1959228515625, 666.9639282226562], [838.656494140625, 665.5272216796875], [828.6416015625, 688.5147705078125], [845.8101196289062, 685.6412963867188], [835.7951049804688, 715.8124389648438], [861.5479125976562, 710.0655517578125], [817.1959228515625, 745.9835205078125], [805.7501831054688, 685.6412963867188], [857.2557373046875, 754.6038818359375], [872.9935913085938, 745.9835205078125], [860.1171875, 814.9461059570312], [835.7951049804688, 761.7874755859375], [900.1770629882812, 833.6234130859375], [820.0572509765625, 804.8890991210938], [860.1171569824219, 819.2562561035156]]"
28,6,01:05:17,117517,20,bottom,net shot,,,"[929, 566]","[[956.2101440429688, 550.6776733398438], [949.1249389648438, 540.6375122070312], [940.6226196289062, 540.6375122070312], [951.9590454101562, 547.80908203125], [950.5419921875, 550.6776733398438], [947.7078857421875, 577.9295654296875], [933.5374145507812, 575.0609741210938], [953.3760986328125, 569.32373046875], [953.3760986328125, 567.889404296875], [956.2101440429688, 547.80908203125], [957.627197265625, 540.6375122070312], [934.9544677734375, 609.484375], [922.2009887695312, 603.7471313476562], [929.2863159179688, 639.6048583984375], [929.2863159179688, 630.9990234375], [932.120361328125, 689.8056640625], [933.5374145507812, 678.3311767578125], [932.8288879394531, 684.0684204101562]]","[[866.7486572265625, 637.4926147460938], [866.7486572265625, 633.1807861328125], [893.9493408203125, 627.4315795898438], [871.0433959960938, 636.0552978515625], [892.5176391601562, 633.1807861328125], [872.47509765625, 660.4892578125], [912.5602416992188, 651.8655395507812], [868.18017578125, 699.2960205078125], [932.6028442382812, 684.9231567382812], [853.8640747070312, 723.7299194335938], [941.1925048828125, 722.2926025390625], [898.2440795898438, 726.6044921875], [925.44482421875, 719.4180297851562], [881.0647583007812, 785.5332641601562], [921.14990234375, 756.7875366210938], [903.9705810546875, 840.1502685546875], [942.6241455078125, 808.5299072265625], [923.29736328125, 824.340087890625]]"
28,7,01:05:18,117542,16,top,lob,,,"[969, 433]","[[973.2659301757812, 494.69903564453125], [976.1177368164062, 491.82086181640625], [968.9881591796875, 491.82086181640625], [981.8214111328125, 494.69903564453125], [964.71044921875, 494.69903564453125], [984.6731567382812, 514.845947265625], [954.72900390625, 514.845947265625], [1004.6360473632812, 530.6756591796875], [934.7661743164062, 537.8709716796875], [1023.1729125976562, 542.188232421875], [929.0625, 562.3351440429688], [970.4140014648438, 562.3351440429688], [949.0253295898438, 565.2132568359375], [986.09912109375, 599.7508544921875], [970.4140014648438, 601.1898803710938], [976.1177368164062, 635.7274780273438], [967.562255859375, 645.8009643554688], [971.8399963378906, 640.7642211914062]]","[[990.6836547851562, 631.5211181640625], [990.6836547851562, 628.638427734375], [1013.6555786132812, 625.7556762695312], [993.55517578125, 631.5211181640625], [1012.2199096679688, 628.638427734375], [997.8624267578125, 653.1412963867188], [1020.8343505859375, 645.9345703125], [999.2981567382812, 681.9682006835938], [1042.37060546875, 732.4152221679688], [992.119384765625, 706.4710083007812], [1039.4991455078125, 758.3594970703125], [1022.2701416015625, 707.9124145507812], [1046.6778564453125, 705.0297241210938], [1017.962890625, 762.6835327148438], [1035.1917724609375, 764.1248779296875], [1035.1917724609375, 788.6278076171875], [1038.0633544921875, 762.6835327148438], [1036.6275634765625, 775.6556701660156]]"
28,8,01:05:19,117588,20,bottom,drive,,,"[1134, 364]","[[1126.6522216796875, 447.9853210449219], [1129.4974365234375, 446.5518493652344], [1125.2296142578125, 443.6849670410156], [1132.3426513671875, 449.41876220703125], [1118.1165771484375, 442.25146484375], [1125.2296142578125, 468.0537414550781], [1101.0452880859375, 453.71917724609375], [1119.5391845703125, 489.5556640625], [1096.7774658203125, 450.85223388671875], [1118.1165771484375, 492.4225769042969], [1099.6226806640625, 456.5860900878906], [1106.7357177734375, 502.4568176269531], [1085.3966064453125, 498.15643310546875], [1118.1165771484375, 544.0271606445312], [1068.3253173828125, 536.85986328125], [1133.7652587890625, 579.8636474609375], [1064.0576171875, 579.8636474609375], [1098.9114379882812, 579.8636474609375]]","[[977.474609375, 657.568359375], [977.474609375, 654.6910400390625], [981.7708129882812, 656.1296997070312], [980.3387451171875, 657.568359375], [1003.2517700195312, 657.568359375], [970.3143310546875, 680.5867919921875], [1017.5723876953125, 684.9027099609375], [947.4013061523438, 716.5530395507812], [1034.7572021484375, 725.1849365234375], [945.9692993164062, 746.7647705078125], [1043.349609375, 761.1512451171875], [977.474609375, 746.7647705078125], [1011.8441772460938, 743.887451171875], [953.129638671875, 805.7494506835938], [1041.91748046875, 794.240234375], [934.5128173828125, 860.4181518554688], [1063.3984375, 846.0316772460938], [998.9556274414062, 853.2249145507812]]"
28,9,01:05:20,117606,16,top,drive,,,"[1109, 496]","[[1086.48046875, 469.0569763183594], [1090.7442626953125, 464.7379150390625], [1083.637939453125, 464.7379150390625], [1095.00830078125, 466.1775817871094], [1076.531494140625, 464.7379150390625], [1097.850830078125, 480.5745544433594], [1063.739990234375, 484.89361572265625], [1110.642333984375, 499.29058837890625], [1050.9482421875, 507.9287414550781], [1119.1700439453125, 513.6875], [1049.5269775390625, 530.9638061523438], [1086.48046875, 532.4035034179688], [1062.318603515625, 532.4035034179688], [1099.2720947265625, 566.9561767578125], [1040.999267578125, 556.8783569335938], [1112.0635986328125, 610.14697265625], [1033.8929443359375, 597.189697265625], [1072.978271484375, 603.6683349609375]]","[[1144.89404296875, 691.7847900390625], [1162.0528564453125, 674.53857421875], [1140.6043701171875, 684.5988159179688], [1137.74462890625, 674.53857421875], [1162.0528564453125, 678.85009765625], [1122.0157470703125, 694.6591796875], [1164.91259765625, 709.031005859375], [1084.8382568359375, 701.8450317382812], [1183.50146484375, 714.7797241210938], [1077.688720703125, 674.53857421875], [1200.66015625, 721.9656372070312], [1112.00634765625, 773.7042846679688], [1143.4642333984375, 778.015869140625], [1084.8382568359375, 822.568603515625], [1189.2210693359375, 819.6941528320312], [1044.801025390625, 872.8699951171875], [1174.9219970703125, 871.4328002929688], [1109.8615112304688, 872.1513977050781]]"
28,10,01:05:20,117625,20,bottom,drive,,,"[782, 467]","[[892.190185546875, 469.27239990234375], [896.4739990234375, 466.40362548828125], [889.334228515625, 466.40362548828125], [903.6136474609375, 467.8379821777344], [885.0504760742188, 470.706787109375], [915.0371704101562, 482.1819152832031], [886.4783935546875, 492.22265625], [943.595947265625, 493.6570739746094], [863.6314086914062, 506.56658935546875], [925.0327758789062, 487.9195251464844], [873.6270141601562, 499.3946228027344], [940.739990234375, 532.3856201171875], [923.6047973632812, 535.2544555664062], [959.3031616210938, 575.4174194335938], [917.8930053710938, 582.58935546875], [979.2943115234375, 611.2772216796875], [922.1768188476562, 621.3179321289062], [950.7355651855469, 616.2975769042969]]","[[1067.2613525390625, 670.4795532226562], [1055.865478515625, 664.7368774414062], [1061.5633544921875, 664.7368774414062], [1057.2899169921875, 667.6082763671875], [1081.5062255859375, 667.6082763671875], [1047.318603515625, 696.3213500976562], [1092.9022216796875, 694.8857421875], [1030.224609375, 735.0841674804688], [1125.66552734375, 726.47021484375], [1041.62060546875, 743.6981201171875], [1128.514404296875, 752.3120727539062], [1067.2613525390625, 765.2329711914062], [1098.6002197265625, 760.926025390625], [1053.0164794921875, 818.352294921875], [1100.024658203125, 803.9957275390625], [1082.9307861328125, 857.1150512695312], [1121.3919677734375, 847.0654296875], [1102.161376953125, 852.0902404785156]]"
