rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
9,1,00:24:45,44578,20,top,short service,,,"[1023, 532]","[[947.0546875, 469.98956298828125], [949.8895874023438, 467.1075744628906], [944.2196655273438, 467.1075744628906], [952.7244873046875, 471.4305725097656], [937.13232421875, 467.1075744628906], [952.7244873046875, 491.6044921875], [927.2100219726562, 485.8405456542969], [978.239013671875, 508.896484375], [908.7828369140625, 500.25048828125], [966.8992919921875, 498.8094787597656], [922.9575805664062, 517.54248046875], [944.2196655273438, 540.598388671875], [924.3750610351562, 542.0394287109375], [948.4721069335938, 583.8283081054688], [925.79248046875, 588.1513061523438], [944.2196655273438, 619.8532104492188], [927.2100219726562, 632.8222045898438], [935.71484375, 626.3377075195312]]","[[1069.793212890625, 632.01220703125], [1069.793212890625, 627.7042236328125], [1099.657958984375, 626.2682495117188], [1072.637451171875, 630.5762329101562], [1096.813720703125, 627.7042236328125], [1061.2603759765625, 657.8602905273438], [1105.3465576171875, 654.98828125], [1049.88330078125, 692.3244018554688], [1128.1007080078125, 686.5803833007812], [1069.793212890625, 688.016357421875], [1128.1007080078125, 688.016357421875], [1065.5267333984375, 726.7885131835938], [1092.54736328125, 723.91650390625], [1072.637451171875, 789.9727172851562], [1101.080078125, 791.4086303710938], [1075.481689453125, 844.5408325195312], [1089.703125, 840.2328491210938], [1082.5924072265625, 842.3868408203125]]"
9,2,00:24:46,44602,18,bottom,lob,,,"[1042, 565]","[[1003.7936401367188, 468.365966796875], [1006.6266479492188, 466.9325256347656], [999.544189453125, 465.49908447265625], [1009.4595947265625, 468.365966796875], [993.8783569335938, 466.9325256347656], [1008.0430908203125, 488.433837890625], [982.5465087890625, 488.433837890625], [1025.040771484375, 507.06829833984375], [964.13232421875, 508.501708984375], [1016.5419311523438, 495.6009521484375], [964.13232421875, 534.3033447265625], [996.7113037109375, 537.170166015625], [978.2970581054688, 540.0369873046875], [1006.6266479492188, 574.4390869140625], [982.5465087890625, 578.7393188476562], [999.544189453125, 613.1414794921875], [972.6311645507812, 623.1754150390625], [986.0876770019531, 618.158447265625]]","[[1057.159423828125, 643.8740234375], [1058.5860595703125, 642.4328002929688], [1087.11865234375, 638.1090087890625], [1061.4393310546875, 646.7564697265625], [1087.11865234375, 643.8740234375], [1057.159423828125, 671.257568359375], [1094.2518310546875, 664.0513305664062], [1034.3333740234375, 684.2286987304688], [1107.0914306640625, 651.0802001953125], [1001.5209350585938, 677.0225219726562], [1109.94482421875, 645.3152465820312], [1072.852294921875, 743.319580078125], [1098.53173828125, 736.1134033203125], [1060.0126953125, 796.6455078125], [1088.5452880859375, 763.4969482421875], [1077.13232421875, 818.2640991210938], [1079.985595703125, 798.0867309570312], [1078.5589599609375, 808.1754150390625]]"
9,3,00:24:47,44639,20,top,smash,,,"[1183, 379]","[[1155.5760498046875, 452.63262939453125], [1157.0023193359375, 449.7586975097656], [1152.723876953125, 446.88470458984375], [1142.7408447265625, 442.5737609863281], [1142.7408447265625, 442.5737609863281], [1151.2977294921875, 465.56549072265625], [1129.9056396484375, 446.88470458984375], [1141.314697265625, 478.4983825683594], [1128.4793701171875, 433.95184326171875], [1142.7408447265625, 518.7339477539062], [1152.723876953125, 467.00250244140625], [1124.2010498046875, 501.4901123046875], [1107.08740234375, 497.17919921875], [1145.5931396484375, 537.4147338867188], [1085.6951904296875, 528.7929077148438], [1171.263671875, 567.5914306640625], [1084.26904296875, 569.0284423828125], [1127.766357421875, 568.3099365234375]]","[[1009.1818237304688, 636.3345947265625], [1012.0498657226562, 632.0296630859375], [1040.7305908203125, 637.7694702148438], [1013.48388671875, 636.3345947265625], [1040.7305908203125, 637.7694702148438], [997.7095947265625, 659.2939453125], [1047.9007568359375, 667.9037475585938], [964.726806640625, 690.8630981445312], [1059.3729248046875, 708.0826416015625], [964.726806640625, 689.4281616210938], [1072.279296875, 739.6517944335938], [997.7095947265625, 726.7371215820312], [1029.2581787109375, 728.172119140625], [976.1990356445312, 776.9608154296875], [1059.3729248046875, 778.3958129882812], [954.6884765625, 831.4894409179688], [1067.9771728515625, 835.7942504882812], [1011.3328247070312, 833.641845703125]]"
9,4,00:24:48,44656,18,bottom,defensive shot,,,"[1216, 665]","[[1107.710693359375, 455.6070861816406], [1112.0146484375, 452.74237060546875], [1104.84130859375, 451.31005859375], [1114.884033203125, 454.1747131347656], [1099.1026611328125, 452.74237060546875], [1117.7532958984375, 468.4981384277344], [1087.6253662109375, 467.0657958984375], [1127.7960205078125, 487.11859130859375], [1063.2359619140625, 481.3892517089844], [1127.7960205078125, 504.3067321777344], [1060.36669921875, 501.4420166015625], [1107.710693359375, 512.9008178710938], [1087.6253662109375, 512.9008178710938], [1119.18798828125, 542.97998046875], [1089.0599365234375, 544.412353515625], [1119.18798828125, 580.2208862304688], [1091.9293212890625, 575.9238891601562], [1105.5586547851562, 578.0723876953125]]","[[1148.559326171875, 711.3577270507812], [1147.1236572265625, 707.0597534179688], [1148.559326171875, 707.0597534179688], [1119.8458251953125, 707.0597534179688], [1145.68798828125, 711.3577270507812], [1099.746337890625, 721.3864135742188], [1144.2523193359375, 742.87646484375], [1073.9041748046875, 731.4151000976562], [1177.2728271484375, 771.52978515625], [1045.190673828125, 737.145751953125], [1207.422119140625, 772.9624633789062], [1059.5474853515625, 774.3951416015625], [1085.3896484375, 791.587158203125], [1029.3983154296875, 820.240478515625], [1138.5096435546875, 804.481201171875], [974.8426513671875, 844.5958251953125], [1152.8663330078125, 861.787841796875], [1063.8544921875, 853.1918334960938]]"
9,5,00:24:49,44683,20,top,lob,,,"[772, 559]","[[840.2237548828125, 547.3970336914062], [843.0760498046875, 543.0969848632812], [840.2237548828125, 544.5303344726562], [850.2066650390625, 538.7969970703125], [837.3714599609375, 544.5303344726562], [847.3544311523438, 553.13037109375], [843.0760498046875, 558.86376953125], [824.5363159179688, 574.6304931640625], [825.9624633789062, 573.1971435546875], [805.9967041015625, 586.0972290039062], [803.1444091796875, 587.5305786132812], [881.5814819335938, 596.130615234375], [863.0418090820312, 594.6973266601562], [905.82568359375, 624.7974243164062], [833.0931396484375, 606.1640014648438], [912.9563598632812, 630.5308227539062], [828.814697265625, 650.5975952148438], [870.8855285644531, 640.564208984375]]","[[924.106689453125, 651.3162231445312], [925.5377807617188, 645.5592041015625], [925.5377807617188, 645.5592041015625], [928.4000854492188, 649.876953125], [952.7288818359375, 649.876953125], [924.106689453125, 678.6619262695312], [971.3334350585938, 672.9049682617188], [902.6400146484375, 706.0076904296875], [989.9378051757812, 708.8861694335938], [878.3110961914062, 714.6431274414062], [1002.8178100585938, 740.5496215820312], [947.0044555664062, 750.6243286132812], [979.9201049804688, 743.4281005859375], [919.8133544921875, 800.9979858398438], [981.3511352539062, 789.484130859375], [921.2445068359375, 858.5679931640625], [979.9201049804688, 839.8577270507812], [950.5823059082031, 849.2128601074219]]"
9,6,00:24:50,44713,18,bottom,drive,,,"[1206, 621]","[[970.06396484375, 463.73583984375], [974.376708984375, 460.86676025390625], [967.1887817382812, 460.86676025390625], [978.6893920898438, 463.73583984375], [962.8760375976562, 462.30126953125], [985.8773193359375, 482.3851013183594], [952.8130493164062, 480.9505310058594], [1006.00341796875, 502.4689025878906], [938.4371948242188, 498.16522216796875], [1003.1282348632812, 498.16522216796875], [936.9996948242188, 523.9872436523438], [980.1270751953125, 534.0291748046875], [957.1257934570312, 534.0291748046875], [987.31494140625, 575.63134765625], [945.6251220703125, 574.19677734375], [993.0652465820312, 620.1026000976562], [938.4371948242188, 615.7989501953125], [965.751220703125, 617.9507751464844]]","[[1074.64013671875, 706.9497680664062], [1070.3328857421875, 702.6398315429688], [1068.8970947265625, 704.0764770507812], [1041.617919921875, 714.1328125], [1061.7183837890625, 712.6962280273438], [1033.00341796875, 738.5552978515625], [1074.64013671875, 741.4285888671875], [1014.3385620117188, 752.9215698242188], [1113.4053955078125, 738.5552978515625], [1007.1598510742188, 737.1187133789062], [1157.913818359375, 719.8792724609375], [1024.3887939453125, 816.1327514648438], [1053.1038818359375, 820.4425659179688], [1010.0313110351562, 839.11865234375], [1093.304931640625, 866.4144287109375], [966.9588012695312, 882.2172241210938], [1109.09814453125, 922.4425048828125], [1038.0284729003906, 902.3298645019531]]"
9,7,00:24:51,44730,20,top,defensive shot,,,"[1153, 440]","[[1071.671630859375, 461.19647216796875], [1070.2332763671875, 458.3331298828125], [1065.91845703125, 458.3331298828125], [1055.8505859375, 462.6281433105469], [1057.288818359375, 462.6281433105469], [1071.671630859375, 481.2397155761719], [1063.0418701171875, 481.2397155761719], [1091.807373046875, 491.2613525390625], [1063.0418701171875, 485.53466796875], [1111.943115234375, 495.55633544921875], [1107.6282958984375, 492.6929931640625], [1055.8505859375, 535.642822265625], [1045.78271484375, 534.2111206054688], [1071.671630859375, 570.0026245117188], [1025.6468505859375, 574.297607421875], [1070.2332763671875, 611.520751953125], [996.8815307617188, 611.520751953125], [1033.5574035644531, 611.520751953125]]","[[1043.70458984375, 674.126708984375], [1049.4468994140625, 669.8043823242188], [1060.9317626953125, 664.041259765625], [1032.2197265625, 669.8043823242188], [1059.49609375, 669.8043823242188], [1014.9925537109375, 694.2976684570312], [1068.1097412109375, 702.9423217773438], [983.4093627929688, 711.5870361328125], [1076.7232666015625, 744.7250366210938], [970.4889526367188, 702.9423217773438], [1088.2081298828125, 780.7445678710938], [1017.8637084960938, 772.0999145507812], [1050.882568359375, 773.5406494140625], [999.200927734375, 818.2048950195312], [1082.4656982421875, 819.6456909179688], [992.02294921875, 878.7177734375], [1076.7232666015625, 874.3954467773438], [1034.3731079101562, 876.5566101074219]]"
9,8,00:24:51,44757,18,bottom,net shot,,,"[1125, 742]","[[1037.7318115234375, 462.31719970703125], [1040.572998046875, 459.44549560546875], [1034.8907470703125, 458.0096435546875], [1044.834716796875, 462.31719970703125], [1027.787841796875, 459.44549560546875], [1047.67578125, 479.54736328125], [1017.8438110351562, 476.6756591796875], [1056.1990966796875, 499.64923095703125], [990.8530883789062, 501.0850830078125], [1064.7225341796875, 508.2643127441406], [995.1148071289062, 518.3152465820312], [1032.049560546875, 525.4944458007812], [1012.16162109375, 524.0586547851562], [1036.311279296875, 564.2623291015625], [1003.6382446289062, 565.6981201171875], [1029.2083740234375, 607.3377075195312], [988.0120239257812, 613.0811157226562], [1008.6101989746094, 610.2094116210938]]","[[1067.89990234375, 669.8439331054688], [1067.89990234375, 672.7206420898438], [1090.6302490234375, 684.2274169921875], [1067.89990234375, 679.912353515625], [1087.7889404296875, 687.1041259765625], [1060.7967529296875, 694.2958984375], [1092.0509033203125, 708.6793212890625], [1045.169677734375, 692.8574829101562], [1090.6302490234375, 738.8846435546875], [1025.280517578125, 687.1041259765625], [1026.701171875, 687.1041259765625], [1060.7967529296875, 751.8297729492188], [1089.20947265625, 763.3366088867188], [1045.169677734375, 802.1719360351562], [1083.5269775390625, 780.5966796875], [1046.5902099609375, 832.3772583007812], [1079.2650146484375, 803.6102294921875], [1062.9276123046875, 817.9937438964844]]"
9,9,00:24:52,44787,20,top,lob,,,"[1157, 600]","[[1085.8946533203125, 542.775634765625], [1087.3250732421875, 537.0313110351562], [1084.4642333984375, 537.0313110351562], [1088.7554931640625, 537.0313110351562], [1075.8817138671875, 537.0313110351562], [1068.7296142578125, 574.36962890625], [1067.2991943359375, 554.2643432617188], [1084.4642333984375, 584.4222412109375], [1077.3121337890625, 567.1891479492188], [1095.90771484375, 582.9861450195312], [1095.90771484375, 580.1139526367188], [1052.9949951171875, 605.9635620117188], [1042.9820556640625, 604.5274658203125], [1042.9820556640625, 638.9935913085938], [1068.7296142578125, 621.7605590820312], [1074.4512939453125, 667.7153930664062], [1075.8817138671875, 669.1514892578125], [1075.16650390625, 668.4334411621094]]","[[1025.2073974609375, 624.3505859375], [1022.3375854492188, 618.589111328125], [1022.3375854492188, 620.0294799804688], [995.074462890625, 627.2312622070312], [1020.9026489257812, 625.7909545898438], [990.769775390625, 653.157958984375], [1035.251708984375, 651.7175903320312], [970.6810913085938, 680.5249633789062], [1049.6007080078125, 690.6074829101562], [952.02734375, 694.9285888671875], [1059.64501953125, 726.61669921875], [1022.3375854492188, 717.9744873046875], [1046.7308349609375, 713.6533813476562], [997.9442749023438, 775.5892333984375], [1038.1214599609375, 758.3048095703125], [1002.2489624023438, 833.2039794921875], [1040.9913330078125, 811.5984497070312], [1021.6201477050781, 822.4012145996094]]"
9,10,00:24:54,44824,18,bottom,drop,,,"[1204, 606]","[[1055.191162109375, 467.98175048828125], [1059.5003662109375, 465.10205078125], [1052.3182373046875, 465.10205078125], [1062.3731689453125, 467.98175048828125], [1045.1361083984375, 465.10205078125], [1063.8096923828125, 486.6998291015625], [1033.644775390625, 482.38031005859375], [1072.4281005859375, 506.8577880859375], [1017.8442993164062, 498.2186584472656], [1083.91943359375, 524.1360473632812], [1016.4077758789062, 524.1360473632812], [1050.8818359375, 532.775146484375], [1027.899169921875, 534.2150268554688], [1060.936767578125, 571.6512451171875], [1014.9713745117188, 568.7715454101562], [1069.5552978515625, 614.846923828125], [993.4251708984375, 609.0874633789062], [1031.490234375, 611.9671936035156]]","[[1171.03466796875, 731.1632690429688], [1166.749267578125, 728.2811889648438], [1168.177734375, 728.2811889648438], [1145.322265625, 739.8095703125], [1165.32080078125, 734.0453491210938], [1138.179931640625, 757.1021728515625], [1178.177001953125, 765.74853515625], [1129.609130859375, 770.0716552734375], [1219.6025390625, 775.8358154296875], [1132.4661865234375, 735.4864501953125], [1252.457275390625, 762.8663330078125], [1138.179931640625, 832.0367431640625], [1162.4639892578125, 839.2420654296875], [1156.75, 862.298828125], [1211.03173828125, 879.5914306640625], [1108.18212890625, 894.001953125], [1211.03173828125, 932.9102172851562], [1159.60693359375, 913.4560852050781]]"
