rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
1,1,00:48:17,86912,31,bottom,short service,,,"[899, 519]","[[886.703125, 341.02862548828125], [890.9863891601562, 338.1497497558594], [883.84765625, 338.1497497558594], [895.2696533203125, 338.1497497558594], [879.5643310546875, 338.1497497558594], [902.408447265625, 349.6652526855469], [872.4255981445312, 346.786376953125], [915.25830078125, 365.4990234375], [856.7202758789062, 355.4230041503906], [918.11376953125, 377.0145263671875], [843.8704223632812, 368.3778991699219], [896.6974487304688, 391.40887451171875], [878.1365356445312, 391.40887451171875], [895.2696533203125, 427.3948059082031], [879.5643310546875, 428.834228515625], [896.6974487304688, 469.138427734375], [883.84765625, 448.986328125], [890.2725524902344, 459.0623779296875]]","[[969.8450317382812, 558.7954711914062], [962.6735229492188, 554.4707641601562], [965.5421752929688, 553.0291748046875], [962.6735229492188, 558.7954711914062], [985.6224365234375, 555.9122924804688], [959.804931640625, 591.9515991210938], [995.66259765625, 576.0943603515625], [941.158935546875, 600.60107421875], [1012.8742065429688, 573.211181640625], [938.2903442382812, 591.9515991210938], [1008.5713500976562, 564.561767578125], [977.0166015625, 656.8223876953125], [998.5311889648438, 649.6145629882812], [988.4910278320312, 704.3942260742188], [978.450927734375, 689.978515625], [1010.005615234375, 751.9661254882812], [978.450927734375, 721.693115234375], [994.228271484375, 736.8296203613281]]"
1,2,00:48:17,86933,32,top,lob,,,"[842, 373]","[[869.7342529296875, 366.9496765136719], [872.5791625976562, 362.6530456542969], [865.4666748046875, 364.08526611328125], [879.6917114257812, 364.08526611328125], [864.044189453125, 366.9496765136719], [891.07177734375, 378.4073791503906], [862.6216430664062, 387.0006408691406], [910.9867553710938, 381.2718200683594], [872.5791625976562, 412.7804260253906], [933.746826171875, 375.5429382324219], [864.044189453125, 442.85687255859375], [893.9168090820312, 427.1025390625], [871.15673828125, 429.96697998046875], [910.9867553710938, 454.3145446777344], [862.6216430664062, 460.0434265136719], [920.9442749023438, 477.2299499511719], [856.9317016601562, 503.009765625], [888.93798828125, 490.11985778808594]]","[[902.8502197265625, 571.861083984375], [904.2733154296875, 567.5516357421875], [904.2733154296875, 570.4246215820312], [905.6964721679688, 570.4246215820312], [928.466064453125, 568.9880981445312], [905.6964721679688, 591.9718017578125], [946.9664306640625, 590.5353393554688], [905.6964721679688, 620.7014770507812], [966.8897705078125, 625.0108642578125], [890.0422973632812, 647.9945678710938], [975.4284057617188, 656.6134643554688], [934.158447265625, 663.7958984375], [961.1973266601562, 659.4864501953125], [904.2733154296875, 708.3267822265625], [959.7742919921875, 679.59716796875], [888.6192016601562, 760.0401611328125], [971.1590576171875, 722.6915893554688], [929.8891296386719, 741.3658752441406]]"
1,3,00:48:18,86964,31,bottom,drive,,,"[1196, 534]","[[1004.538330078125, 340.7353210449219], [1008.8408203125, 336.40966796875], [1001.6700439453125, 336.40966796875], [1013.1432495117188, 337.8515319824219], [995.9334716796875, 337.8515319824219], [1017.4456787109375, 353.7123107910156], [983.0262451171875, 352.2704162597656], [1024.6163330078125, 369.5730895996094], [968.684814453125, 373.8987121582031], [1031.787109375, 386.875732421875], [968.684814453125, 402.7364807128906], [1004.538330078125, 386.875732421875], [980.1578979492188, 385.433837890625], [1027.4847412109375, 417.15533447265625], [964.38232421875, 420.0391540527344], [1031.787109375, 454.6444091796875], [948.606689453125, 458.9700927734375], [990.1968994140625, 456.8072509765625]]","[[1118.6651611328125, 694.9210205078125], [1115.7896728515625, 690.6098022460938], [1115.7896728515625, 690.6098022460938], [1089.91015625, 694.9210205078125], [1112.9141845703125, 694.9210205078125], [1081.28369140625, 715.0400390625], [1118.6651611328125, 717.9142456054688], [1072.6572265625, 729.4107666015625], [1147.4202880859375, 712.1658935546875], [1108.6009521484375, 716.4771118164062], [1171.8619384765625, 694.9210205078125], [1084.1591796875, 789.7679443359375], [1102.8499755859375, 798.3904418945312], [1078.408203125, 804.138671875], [1143.10693359375, 845.8138427734375], [1038.1512451171875, 821.3836669921875], [1151.7335205078125, 907.6080322265625], [1094.9423828125, 864.495849609375]]"
1,4,00:48:19,86979,32,top,defensive shot,,,"[1121, 356]","[[1058.8123779296875, 331.5264587402344], [1060.2469482421875, 327.2023010253906], [1055.9432373046875, 328.6436767578125], [1058.8123779296875, 330.0850524902344], [1047.3359375, 330.0850524902344], [1053.0740966796875, 350.2643737792969], [1041.5977783203125, 347.3816223144531], [1065.9849853515625, 361.79541015625], [1015.77587890625, 374.7678527832031], [1081.76513671875, 374.7678527832031], [1005.7339477539062, 406.4781799316406], [1034.425048828125, 389.1816101074219], [1015.77587890625, 389.1816101074219], [1058.8123779296875, 415.12646484375], [998.561279296875, 422.3333435058594], [1060.2469482421875, 454.0436706542969], [965.5665893554688, 456.92645263671875], [1012.9067687988281, 455.4850616455078]]","[[1093.3359375, 646.452392578125], [1081.8731689453125, 632.0499267578125], [1086.171630859375, 639.2511596679688], [1081.8731689453125, 637.8109130859375], [1107.66455078125, 639.2511596679688], [1063.2459716796875, 659.4146728515625], [1114.8287353515625, 670.9366455078125], [1031.7232666015625, 682.4586181640625], [1127.7244873046875, 711.2636108398438], [1031.7232666015625, 682.4586181640625], [1133.455810546875, 741.5088500976562], [1063.2459716796875, 742.9490966796875], [1097.634521484375, 747.2698364257812], [1050.350341796875, 780.3955078125], [1123.4259033203125, 773.1943359375], [1047.484619140625, 829.364013671875], [1113.3958740234375, 829.364013671875], [1080.4402465820312, 829.364013671875]]"
1,5,00:48:20,87002,31,bottom,net shot,,,"[1044, 504]","[[1031.0767822265625, 319.8986511230469], [1032.5008544921875, 315.5883483886719], [1026.8045654296875, 315.5883483886719], [1035.34912109375, 317.0251159667969], [1016.8358154296875, 314.1515808105469], [1032.5008544921875, 334.26641845703125], [1002.5947875976562, 335.70318603515625], [1041.0455322265625, 347.1973876953125], [988.3538208007812, 360.1283264160156], [1059.558837890625, 368.7489929199219], [986.9297485351562, 384.5534973144531], [1013.9876708984375, 377.36962890625], [996.8983764648438, 380.2431640625], [1022.5322265625, 410.4154357910156], [1001.1707153320312, 411.8522033691406], [1002.5947875976562, 431.967041015625], [981.2333374023438, 454.9554443359375], [991.9140625, 443.46124267578125]]","[[1087.390380859375, 584.300048828125], [1057.4720458984375, 587.1815185546875], [1084.5408935546875, 579.9777221679688], [1060.3214111328125, 590.0631103515625], [1081.691650390625, 584.300048828125], [1060.3214111328125, 614.5562133789062], [1087.390380859375, 600.1484985351562], [1053.197998046875, 636.167724609375], [1088.81494140625, 579.9777221679688], [1016.1563720703125, 643.37158203125], [1014.7316284179688, 643.37158203125], [1081.691650390625, 683.7131958007812], [1100.21240234375, 675.0685424804688], [1066.0201416015625, 734.14013671875], [1064.595458984375, 721.1732177734375], [1101.6370849609375, 765.837158203125], [1097.363037109375, 713.9694213867188], [1099.5000610351562, 739.9032897949219]]"
1,6,00:48:20,87023,32,top,push/rush,,,"[1177, 427]","[[1100.123046875, 378.3403625488281], [1101.5565185546875, 374.0161437988281], [1097.2562255859375, 374.0161437988281], [1101.5565185546875, 376.8989562988281], [1087.2222900390625, 374.0161437988281], [1090.0892333984375, 395.6371765136719], [1080.05517578125, 391.3129577636719], [1094.389404296875, 407.1683654785156], [1055.68701171875, 420.1409606933594], [1108.7236328125, 418.6995849609375], [1072.8880615234375, 401.40277099609375], [1065.7210693359375, 440.3205871582031], [1055.68701171875, 441.76202392578125], [1039.91943359375, 459.0588073730469], [1084.35546875, 464.8244323730469], [1004.0840454101562, 472.03143310546875], [1094.389404296875, 499.4180603027344], [1049.2367248535156, 485.72474670410156]]","[[1001.5702514648438, 616.8340454101562], [1011.6509399414062, 572.1348876953125], [1037.5728759765625, 564.9254150390625], [1013.0911254882812, 572.1348876953125], [1037.5728759765625, 569.2510986328125], [1013.0911254882812, 596.6473388671875], [1051.9739990234375, 592.3215942382812], [1011.6509399414062, 622.6016845703125], [1070.6954345703125, 626.9274291992188], [1004.450439453125, 613.9502563476562], [1089.4168701171875, 655.7655639648438], [1044.7734375, 668.7427368164062], [1069.2552490234375, 660.0912475585938], [1015.9713134765625, 710.5580444335938], [1049.09375, 690.371337890625], [1020.2915649414062, 768.2343139648438], [1059.174560546875, 736.5123901367188], [1039.7330627441406, 752.3733520507812]]"
1,7,00:48:21,87052,31,bottom,drop,,,"[1213, 544]","[[1050.551513671875, 331.5185546875], [1054.865478515625, 328.6573486328125], [1047.675537109375, 328.6573486328125], [1059.1793212890625, 330.08795166015625], [1041.923583984375, 330.08795166015625], [1060.6173095703125, 344.3939514160156], [1028.9818115234375, 344.3939514160156], [1066.3692626953125, 358.6999206542969], [1014.6018676757812, 368.714111328125], [1072.1212158203125, 374.4364929199219], [1017.4778442382812, 395.8954772949219], [1046.237548828125, 383.02008056640625], [1024.6678466796875, 383.02008056640625], [1059.1793212890625, 418.7850341796875], [1014.6018676757812, 424.5074462890625], [1050.551513671875, 454.54998779296875], [993.0321655273438, 454.54998779296875], [1021.7918395996094, 454.54998779296875]]","[[1155.1123046875, 661.7232055664062], [1153.6800537109375, 657.4022827148438], [1152.2476806640625, 657.4022827148438], [1127.8983154296875, 666.0441284179688], [1143.65380859375, 666.0441284179688], [1119.304443359375, 687.6488647460938], [1156.544677734375, 690.5294799804688], [1113.5751953125, 703.4923095703125], [1198.0819091796875, 693.4100952148438], [1122.1690673828125, 713.5745239257812], [1238.186767578125, 674.68603515625], [1126.466064453125, 752.4629516601562], [1145.086181640625, 762.5451049804688], [1107.845947265625, 763.9854736328125], [1179.4617919921875, 810.075439453125], [1079.1995849609375, 785.590087890625], [1198.0819091796875, 876.329833984375], [1138.6407470703125, 830.9599609375]]"
1,8,00:48:22,87077,32,top,net shot,,,"[765, 431]","[[864.318115234375, 378.3879699707031], [867.1937255859375, 374.0624694824219], [862.8803100585938, 375.5043029785156], [875.8206787109375, 374.0624694824219], [862.8803100585938, 376.9461364746094], [891.6368408203125, 387.0389709472656], [861.4423828125, 395.6899719238281], [908.8907470703125, 384.1553039550781], [851.3776245117188, 408.6665344238281], [931.89599609375, 381.2716369628906], [828.3723754882812, 428.85223388671875], [901.7015991210938, 428.85223388671875], [880.1342163085938, 431.73590087890625], [918.9555053710938, 443.27056884765625], [854.2532348632812, 449.03790283203125], [941.9608764648438, 464.89813232421875], [845.6262817382812, 492.2929992675781], [893.7935791015625, 478.59556579589844]]","[[976.7830200195312, 618.4517211914062], [976.7830200195312, 614.126953125], [978.2101440429688, 612.6853637695312], [978.2101440429688, 618.4517211914062], [1002.4707641601562, 615.5685424804688], [971.0745849609375, 650.1669311523438], [1022.4501342773438, 641.517333984375], [953.949462890625, 686.2069702148438], [1039.5753173828125, 681.8821411132812], [949.6681518554688, 686.2069702148438], [1052.419189453125, 712.15576171875], [989.6268920898438, 726.57177734375], [1023.877197265625, 722.2470092773438], [969.6475219726562, 764.0534057617188], [1032.4398193359375, 755.40380859375], [981.0642700195312, 817.392578125], [1029.5855712890625, 805.8598022460938], [1005.3249206542969, 811.6261901855469]]"
1,9,00:48:23,87106,31,bottom,lob,,,"[749, 510]","[[917.1060791015625, 335.7043762207031], [919.9696044921875, 331.396728515625], [914.2427368164062, 331.396728515625], [924.2646484375, 332.8326110839844], [908.5159301757812, 332.8326110839844], [931.4232177734375, 345.7554931640625], [897.0621948242188, 351.4989929199219], [942.8768920898438, 358.6783752441406], [885.6085815429688, 374.4730224609375], [951.4671020507812, 374.4730224609375], [882.7451782226562, 397.4470520019531], [918.537841796875, 390.2676696777344], [898.4939575195312, 391.7035217285156], [934.28662109375, 423.2928161621094], [899.9255981445312, 429.0363464355469], [924.2646484375, 456.3179626464844], [891.3353881835938, 467.80499267578125], [907.8000183105469, 462.0614776611328]]","[[785.0191650390625, 585.95263671875], [786.45458984375, 583.0931396484375], [783.583740234375, 583.0931396484375], [786.45458984375, 583.0931396484375], [806.550537109375, 583.0931396484375], [797.9380493164062, 601.6798706054688], [809.4213256835938, 595.9608764648438], [819.4692993164062, 615.977294921875], [806.550537109375, 653.1506958007812], [813.7276611328125, 633.13427734375], [792.1962890625, 683.1753540039062], [835.2589721679688, 663.158935546875], [848.1777954101562, 654.5804443359375], [822.3402099609375, 710.3405151367188], [805.1151123046875, 658.8696899414062], [865.40283203125, 708.9107666015625], [790.7608642578125, 686.0348510742188], [828.0818481445312, 697.4728088378906]]"
1,10,00:48:24,87129,32,top,smash,,,"[1070, 209]","[[1037.3419189453125, 312.37188720703125], [1035.904052734375, 309.4969787597656], [1027.2777099609375, 309.4969787597656], [1037.3419189453125, 312.37188720703125], [1025.8399658203125, 312.37188720703125], [1041.655029296875, 328.183837890625], [1038.7796630859375, 331.0587158203125], [1056.032470703125, 326.7463684082031], [1030.1531982421875, 338.2459716796875], [1040.21728515625, 348.3081359863281], [1028.7154541015625, 345.4331970214844], [1010.02490234375, 364.1200866699219], [992.77197265625, 359.8077392578125], [1025.8399658203125, 394.3064880371094], [1025.8399658203125, 392.86907958984375], [1047.406005859375, 417.3056945800781], [1047.406005859375, 417.3056945800781], [1047.406005859375, 417.3056945800781]]","[[931.3541870117188, 569.8490600585938], [904.0299682617188, 566.9696655273438], [929.916015625, 566.9696655273438], [904.0299682617188, 568.4093627929688], [928.4779663085938, 568.4093627929688], [892.5250244140625, 592.8836669921875], [937.1065673828125, 594.3233032226562], [868.0771484375, 621.6769409179688], [948.6115112304688, 623.1166381835938], [858.0103149414062, 651.909912109375], [962.9927368164062, 650.47021484375], [892.5250244140625, 660.5479125976562], [922.7254638671875, 660.5479125976562], [878.1439208984375, 693.6602172851562], [955.8020629882812, 685.022216796875], [862.32470703125, 739.7294921875], [951.4877319335938, 744.0484008789062], [906.9062194824219, 741.8889465332031]]"
