rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
24,8,00:38:53,69995,7,top,net shot,,,"[600, 673]","[[970.7788696289062, 436.3038024902344], [973.6218872070312, 430.55120849609375], [966.5142822265625, 430.55120849609375], [980.7294311523438, 430.55120849609375], [963.6713256835938, 433.427490234375], [996.3659057617188, 453.56146240234375], [960.8283081054688, 456.437744140625], [1006.3164672851562, 476.57171630859375], [948.0347290039062, 479.447998046875], [1014.8455200195312, 498.143798828125], [940.9271850585938, 498.143798828125], [990.679931640625, 508.2108154296875], [970.7788696289062, 509.6489562988281], [989.2584228515625, 555.66943359375], [975.0433349609375, 552.7931518554688], [986.4154663085938, 598.8135986328125], [984.993896484375, 582.9940795898438], [985.7046813964844, 590.9038391113281]]","[[793.9821166992188, 611.7710571289062], [799.6963500976562, 606.0303344726562], [789.6964111328125, 606.0303344726562], [782.5536499023438, 606.0303344726562], [805.4105834960938, 606.0303344726562], [769.6966552734375, 628.9932861328125], [813.9818725585938, 624.687744140625], [738.268310546875, 636.169189453125], [853.9816284179688, 636.169189453125], [769.6966552734375, 626.1229248046875], [853.9816284179688, 620.3821411132812], [763.982421875, 697.8821411132812], [791.125, 697.8821411132812], [772.5537109375, 759.5950927734375], [792.5535278320312, 771.0765991210938], [775.410888671875, 817.0025024414062], [786.83935546875, 848.5765991210938], [781.1251220703125, 832.78955078125]]"
24,9,00:38:54,70023,28,bottom,net shot,,,"[744, 586]","[[965.2439575195312, 444.05950927734375], [968.1209106445312, 439.7384948730469], [960.9285888671875, 441.1788330078125], [975.3132934570312, 439.7384948730469], [958.0516967773438, 442.6191711425781], [989.6979370117188, 457.0225524902344], [956.6131591796875, 464.2242126464844], [1001.2056884765625, 478.6275634765625], [945.1054077148438, 484.388916015625], [1008.3980102539062, 498.792236328125], [937.9130859375, 503.1132507324219], [992.5748291015625, 511.7552795410156], [973.8748168945312, 513.1956176757812], [988.259521484375, 549.2039794921875], [978.190185546875, 552.0846557617188], [986.8209838867188, 598.1753540039062], [983.9440307617188, 583.7720336914062], [985.3825073242188, 590.9736938476562]]","[[800.84619140625, 604.9811401367188], [806.5797729492188, 603.5413208007812], [796.5460815429688, 600.6619262695312], [787.9458618164062, 602.1016235351562], [812.313232421875, 603.5413208007812], [775.0454711914062, 622.2579345703125], [819.4800415039062, 619.37841796875], [742.0780029296875, 628.016845703125], [861.0478515625, 629.45654296875], [775.0454711914062, 617.938720703125], [859.6144409179688, 612.1797485351562], [767.878662109375, 688.4856567382812], [795.1126708984375, 688.4856567382812], [777.9122314453125, 753.273681640625], [799.412841796875, 763.3517456054688], [776.4789428710938, 813.742431640625], [792.2460327148438, 835.3384399414062], [784.3624877929688, 824.5404357910156]]"
24,10,00:38:55,70050,7,top,net shot,,,"[883, 503]","[[960.5325317382812, 446.8540344238281], [964.801513671875, 443.9795227050781], [957.6865844726562, 443.9795227050781], [973.3394165039062, 443.9795227050781], [954.840576171875, 446.8540344238281], [983.3003540039062, 459.7894287109375], [954.840576171875, 466.97576904296875], [1000.376220703125, 474.162109375], [940.6106567382812, 484.22296142578125], [988.9923095703125, 494.2838134765625], [930.6497192382812, 498.59564208984375], [987.5693969726562, 514.4055786132812], [969.0704345703125, 517.2800903320312], [983.3003540039062, 551.7744750976562], [969.0704345703125, 551.7744750976562], [986.1463623046875, 599.2042846679688], [981.8773803710938, 580.519775390625], [984.0118713378906, 589.8620300292969]]","[[799.2894897460938, 603.8941650390625], [803.5787353515625, 599.56982421875], [793.5703735351562, 598.1283569335938], [784.9917602539062, 599.56982421875], [809.2979125976562, 599.56982421875], [773.5535278320312, 619.7501220703125], [817.8765258789062, 615.42578125], [740.6687622070312, 628.3988647460938], [859.3399658203125, 629.8402709960938], [772.1238403320312, 618.3087158203125], [860.769775390625, 613.9843139648438], [770.6940307617188, 688.9398193359375], [799.2894897460938, 688.9398193359375], [777.8428955078125, 755.2465209960938], [806.4384155273438, 762.453857421875], [776.4130859375, 815.78759765625], [796.4299926757812, 827.3191528320312], [786.4215393066406, 821.5533752441406]]"
24,11,00:38:55,70078,28,bottom,lob,,,"[889, 439]","[[915.1826782226562, 460.52374267578125], [919.47314453125, 456.22760009765625], [910.8922119140625, 457.65960693359375], [928.0541381835938, 456.22760009765625], [908.0318603515625, 457.65960693359375], [943.785888671875, 473.4122314453125], [910.8922119140625, 471.98016357421875], [958.0875244140625, 503.48541259765625], [922.33349609375, 492.0289611816406], [973.8193359375, 514.94189453125], [922.33349609375, 509.2136535644531], [955.2272338867188, 512.0777587890625], [932.3446044921875, 509.2136535644531], [946.646240234375, 549.3112182617188], [919.47314453125, 534.9906616210938], [968.0986938476562, 587.9767456054688], [920.9033203125, 573.6561889648438], [944.5010070800781, 580.8164672851562]]","[[827.6132202148438, 619.1511840820312], [827.6132202148438, 614.8262329101562], [833.3367309570312, 611.9429321289062], [830.4750366210938, 613.3845825195312], [849.076416015625, 611.9429321289062], [829.0441284179688, 630.6843872070312], [863.38525390625, 633.567626953125], [820.4588012695312, 647.9840698242188], [881.9866943359375, 643.6591796875], [778.9632568359375, 646.54248046875], [856.2308349609375, 629.2427368164062], [843.3529052734375, 699.8834228515625], [871.9705200195312, 697.0001220703125], [820.4588012695312, 758.9909057617188], [853.369140625, 761.874267578125], [839.060302734375, 782.0573120117188], [853.369140625, 766.1991577148438], [846.2147216796875, 774.1282348632812]]"
24,12,00:38:57,70118,7,top,clear,,,"[774, 564]","[[986.0469360351562, 436.0946044921875], [990.3545532226562, 431.80694580078125], [984.6110229492188, 433.2362060546875], [998.9697265625, 431.80694580078125], [980.3034057617188, 434.6654052734375], [1013.3284912109375, 446.0990905761719], [980.3034057617188, 451.81597900390625], [1031.9947509765625, 467.5373229980469], [967.380615234375, 468.9665222167969], [1040.6099853515625, 497.5508117675781], [953.0219116210938, 481.8294677734375], [1021.9436645507812, 496.12158203125], [997.533935546875, 496.12158203125], [1043.481689453125, 527.5642700195312], [981.7392578125, 526.1350708007812], [1063.5838623046875, 549.0025024414062], [981.7392578125, 561.8654174804688], [1022.6615600585938, 555.4339599609375]]","[[857.1254272460938, 644.9893798828125], [854.2608032226562, 634.8997802734375], [855.6931762695312, 636.3411865234375], [858.5578002929688, 637.7825317382812], [878.6104736328125, 630.57568359375], [868.5841674804688, 662.2858276367188], [895.7984619140625, 650.7548828125], [862.8547973632812, 711.29248046875], [867.1517944335938, 711.29248046875], [828.4788818359375, 727.1475219726562], [832.77587890625, 721.3820190429688], [914.418701171875, 715.6165771484375], [934.4713745117188, 709.85107421875], [901.5277099609375, 793.4506225585938], [904.3924560546875, 792.0092163085938], [955.9563598632812, 829.48486328125], [957.3887329101562, 830.9261474609375], [956.6725463867188, 830.2055053710938]]"
24,13,00:38:58,70145,28,bottom,drop,,,"[712, 454]","[[830.1744384765625, 470.71099853515625], [834.4501342773438, 466.3999328613281], [828.7492065429688, 466.3999328613281], [844.4268188476562, 467.83697509765625], [825.8986206054688, 469.27398681640625], [852.9783325195312, 487.9552917480469], [835.8753662109375, 487.9552917480469], [844.4268188476562, 503.7625427246094], [827.3238525390625, 502.32550048828125], [818.7724609375, 509.5105895996094], [808.7957763671875, 509.5105895996094], [870.0812377929688, 539.6880493164062], [860.1045532226562, 541.1250610351562], [838.7258911132812, 562.680419921875], [841.5763549804688, 577.0505981445312], [864.3802490234375, 600.04296875], [844.4268188476562, 601.47998046875], [854.4035339355469, 600.761474609375]]","[[788.7332153320312, 609.0225219726562], [777.2233276367188, 604.6990356445312], [784.4169921875, 604.6990356445312], [780.100830078125, 604.6990356445312], [803.120361328125, 603.2579345703125], [778.662109375, 633.522216796875], [821.8237915039062, 623.43408203125], [767.15234375, 683.962646484375], [853.4757690429688, 659.4629516601562], [751.326416015625, 689.7272338867188], [853.4757690429688, 685.4037475585938], [805.9978637695312, 698.3741455078125], [836.2110595703125, 695.4918823242188], [782.978271484375, 764.6673583984375], [823.2625732421875, 728.638427734375], [780.100830078125, 828.078125], [840.5272216796875, 784.8434448242188], [810.3140258789062, 806.4607849121094]]"
24,14,00:38:58,70168,7,top,net shot,,,"[1119, 418]","[[828.835205078125, 475.80218505859375], [833.0957641601562, 471.5084228515625], [824.574462890625, 472.9396667480469], [840.1968994140625, 472.9396667480469], [820.3137817382812, 474.37091064453125], [855.8193969726562, 491.54595947265625], [816.0531005859375, 491.54595947265625], [867.1812744140625, 524.46484375], [804.6912841796875, 513.0148315429688], [862.9205322265625, 547.3648681640625], [797.5901489257812, 531.62109375], [857.2396240234375, 541.639892578125], [834.5159912109375, 540.2086181640625], [851.5587158203125, 573.12744140625], [816.0531005859375, 580.2837524414062], [850.1384887695312, 618.9276123046875], [801.850830078125, 621.7901000976562], [825.9946594238281, 620.3588562011719]]","[[899.6331176757812, 631.61962890625], [890.99951171875, 627.296875], [896.7552490234375, 631.61962890625], [869.41552734375, 637.3832397460938], [895.3163452148438, 634.5014038085938], [870.8544921875, 667.6421508789062], [911.1445922851562, 656.1149291992188], [873.7322998046875, 719.5145263671875], [960.068359375, 671.96484375], [852.1482543945312, 731.0416870117188], [971.579833984375, 641.7059326171875], [893.8773803710938, 739.6870727539062], [924.094970703125, 739.6870727539062], [842.0758056640625, 774.2686767578125], [949.9957885742188, 755.5369873046875], [813.2970581054688, 833.3455810546875], [948.5568237304688, 818.9365844726562], [880.9269409179688, 826.1410827636719]]"
24,15,00:38:59,70197,28,bottom,net shot,,,"[1176, 28]","[[1064.01611328125, 447.45208740234375], [1065.4351806640625, 443.1335754394531], [1058.339599609375, 443.1335754394531], [1066.854248046875, 446.0125732421875], [1048.406005859375, 447.45208740234375], [1065.4351806640625, 460.40753173828125], [1044.1485595703125, 463.2865295410156], [1065.4351806640625, 476.2419738769531], [1025.7003173828125, 486.31842041015625], [1083.8834228515625, 492.0763854980469], [1031.376708984375, 520.8663330078125], [1049.8250732421875, 512.2293701171875], [1035.634033203125, 515.1083374023438], [1069.6923828125, 535.26123046875], [1037.0531005859375, 549.65625], [1073.94970703125, 574.1276245117188], [1017.1856689453125, 589.9620971679688], [1045.5676879882812, 582.0448608398438]]","[[1145.2471923828125, 679.559326171875], [1150.9862060546875, 673.7930908203125], [1139.5081787109375, 672.3515014648438], [1136.6387939453125, 673.7930908203125], [1159.5948486328125, 676.6762084960938], [1133.7691650390625, 698.299560546875], [1148.1168212890625, 708.3905029296875], [1120.8564453125, 742.9879150390625], [1133.7691650390625, 761.7281494140625], [1163.8990478515625, 732.89697265625], [1150.9862060546875, 777.5852661132812], [1097.900390625, 770.3775024414062], [1115.117431640625, 779.0267944335938], [1105.0740966796875, 826.5982055664062], [1178.24658203125, 835.24755859375], [1054.8577880859375, 869.844970703125], [1156.7252197265625, 910.2086181640625], [1105.79150390625, 890.0267944335938]]"
24,16,00:39:00,70226,7,top,lob,,,"[1105, 171]","[[1085.69140625, 353.928466796875], [1091.3902587890625, 345.29388427734375], [1085.69140625, 346.73297119140625], [1102.7877197265625, 346.73297119140625], [1102.7877197265625, 346.73297119140625], [1094.239501953125, 362.56304931640625], [1115.60986328125, 356.806640625], [1087.1162109375, 382.7103576660156], [1087.1162109375, 381.27130126953125], [1087.1162109375, 410.05316162109375], [1088.5408935546875, 410.05316162109375], [1117.0345458984375, 410.05316162109375], [1132.7061767578125, 405.7358703613281], [1149.8023681640625, 451.78692626953125], [1111.3358154296875, 451.78692626953125], [1104.21240234375, 489.203369140625], [1155.5010986328125, 487.7643127441406], [1129.8567504882812, 488.4838409423828]]","[[1008.070068359375, 629.8914794921875], [995.171630859375, 624.14013671875], [1000.9042358398438, 621.2644653320312], [996.6047973632812, 625.5780029296875], [1019.5353393554688, 625.5780029296875], [983.706298828125, 652.8970336914062], [1036.7332763671875, 657.2105712890625], [963.6420288085938, 694.5946044921875], [1055.3643798828125, 698.9081420898438], [962.2088623046875, 678.7783203125], [1055.3643798828125, 714.7244262695312], [995.171630859375, 730.540771484375], [1029.5675048828125, 736.2921752929688], [967.9415893554688, 785.178955078125], [1013.8026733398438, 789.4925537109375], [989.4389038085938, 841.2549438476562], [1005.2037963867188, 857.0712890625], [997.3213500976562, 849.1631164550781]]"
24,17,00:39:02,70264,28,bottom,drop,,,"[1170, 309]","[[1128.5958251953125, 429.243408203125], [1131.46533203125, 424.9325256347656], [1125.7264404296875, 426.3694763183594], [1137.2042236328125, 429.243408203125], [1121.4222412109375, 432.1173095703125], [1145.8125, 449.36083984375], [1117.1181640625, 452.2347412109375], [1164.4637451171875, 449.36083984375], [1099.901611328125, 463.7304382324219], [1173.072021484375, 424.9325256347656], [1102.77099609375, 463.7304382324219], [1140.0736083984375, 505.4023132324219], [1118.5528564453125, 503.9653015136719], [1137.2042236328125, 551.3849487304688], [1108.5098876953125, 545.6371459960938], [1134.334716796875, 593.0568237304688], [1105.6405029296875, 574.3763427734375], [1119.9876098632812, 583.7165832519531]]","[[1198.6226806640625, 674.9644165039062], [1197.1890869140625, 669.2008666992188], [1197.1890869140625, 670.6417846679688], [1174.2518310546875, 666.3191528320312], [1194.322021484375, 673.5234985351562], [1158.4825439453125, 686.4913940429688], [1191.454833984375, 699.459228515625], [1168.517578125, 747.0079956054688], [1197.1890869140625, 749.8898315429688], [1194.322021484375, 771.5029296875], [1222.993408203125, 778.707275390625], [1124.0767822265625, 754.2124633789062], [1152.748291015625, 757.0941772460938], [1142.71337890625, 797.4385986328125], [1205.79052734375, 790.2342529296875], [1095.4053955078125, 834.9013061523438], [1230.1612548828125, 852.1917724609375], [1162.7833251953125, 843.5465393066406]]"
