rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
34,2,00:49:03,88312,10,top,net shot,,,"[924, 512]","[[862.6449584960938, 508.8776550292969], [865.5101928710938, 505.99432373046875], [858.34716796875, 505.99432373046875], [872.67333984375, 507.43597412109375], [852.61669921875, 507.43597412109375], [884.1343383789062, 527.6190795898438], [849.7514038085938, 533.3856811523438], [899.8931884765625, 520.4108276367188], [846.8861694335938, 559.3353271484375], [919.9498291015625, 503.1110534667969], [919.9498291015625, 503.1110534667969], [879.83642578125, 586.7266845703125], [854.04931640625, 586.7266845703125], [891.2974243164062, 638.6260375976562], [851.18408203125, 612.6763305664062], [865.5101928710938, 650.1592407226562], [848.3187866210938, 671.783935546875], [856.9144897460938, 660.9715881347656]]","[[936.7703247070312, 650.119140625], [936.7703247070312, 647.2373046875], [939.628173828125, 645.7964477539062], [939.628173828125, 648.67822265625], [963.919921875, 648.67822265625], [931.0545654296875, 677.4961547851562], [982.4960327148438, 674.6143798828125], [913.907470703125, 722.1640625], [1005.3588256835938, 709.1959228515625], [898.1892700195312, 729.3684692382812], [989.6406860351562, 720.72314453125], [963.919921875, 750.9819946289062], [999.6431274414062, 749.5410766601562], [922.4810791015625, 788.4453125], [989.6406860351562, 772.595458984375], [939.628173828125, 846.0812377929688], [1001.072021484375, 824.4677734375], [970.35009765625, 835.2745056152344]]"
34,3,00:49:04,88334,19,bottom,lob,,,"[1209, 678]","[[969.4840698242188, 474.5867614746094], [972.3427124023438, 470.2854919433594], [965.1961669921875, 470.2854919433594], [973.7720947265625, 471.71923828125], [956.6203002929688, 470.2854919433594], [969.4840698242188, 490.3579406738281], [939.4684448242188, 493.2254333496094], [985.2066650390625, 453.08056640625], [912.3113403320312, 517.59912109375], [985.2066650390625, 530.5028076171875], [919.4579467773438, 543.406494140625], [945.1856689453125, 541.9727783203125], [925.1752319335938, 539.1052856445312], [965.1961669921875, 579.2501831054688], [933.7511596679688, 583.5514526367188], [935.1804809570312, 619.3950805664062], [920.8873291015625, 632.2987670898438], [928.0339050292969, 625.846923828125]]","[[1123.4971923828125, 680.003662109375], [1103.345947265625, 671.3552856445312], [1123.4971923828125, 677.1209106445312], [1103.345947265625, 674.2380981445312], [1123.4971923828125, 680.003662109375], [1088.9522705078125, 687.210693359375], [1123.4971923828125, 703.0661010742188], [1073.119140625, 703.0661010742188], [1132.1334228515625, 697.3004760742188], [1048.6497802734375, 703.0661010742188], [1140.7696533203125, 690.093505859375], [1078.8765869140625, 762.1636352539062], [1109.1033935546875, 765.04638671875], [1055.8466796875, 792.4329833984375], [1127.8153076171875, 747.7495727539062], [1041.4530029296875, 835.6749877929688], [1127.8153076171875, 795.3157958984375], [1084.6341552734375, 815.4953918457031]]"
34,4,00:49:05,88363,10,top,smash,,,"[1243, 407]","[[1164.299560546875, 438.9961853027344], [1167.173095703125, 427.47125244140625], [1162.86279296875, 426.0306091308594], [1149.9317626953125, 426.0306091308594], [1151.36865234375, 428.9118347167969], [1134.12744140625, 433.23370361328125], [1131.2537841796875, 438.9961853027344], [1137.0009765625, 424.5899963378906], [1145.62158203125, 479.33355712890625], [1168.60986328125, 414.5056457519531], [1165.7364501953125, 460.6054992675781], [1125.5067138671875, 500.9428405761719], [1098.2081298828125, 496.6210021972656], [1157.11572265625, 541.2802124023438], [1068.035888671875, 536.9583740234375], [1185.8511962890625, 570.0925903320312], [1050.794677734375, 583.0581665039062], [1118.3229370117188, 576.5753784179688]]","[[1043.864013671875, 652.4813842773438], [1043.864013671875, 646.74267578125], [1070.978759765625, 649.6119995117188], [1046.71826171875, 649.6119995117188], [1069.5516357421875, 652.4813842773438], [1028.166015625, 671.1320190429688], [1080.9683837890625, 679.739990234375], [1013.8951416015625, 705.5640258789062], [1098.093505859375, 718.4760131835938], [999.6243286132812, 735.6920166015625], [1105.2288818359375, 745.7347412109375], [1028.166015625, 744.2999877929688], [1066.697509765625, 745.7347412109375], [995.3429565429688, 788.774658203125], [1095.2392578125, 790.2093505859375], [982.4992065429688, 838.988037109375], [1100.9476318359375, 849.0306396484375], [1041.7234191894531, 844.0093383789062]]"
34,5,00:49:05,88377,19,bottom,defensive shot,,,"[1276, 637]","[[1157.8026123046875, 453.863037109375], [1162.104248046875, 450.9961242675781], [1154.934814453125, 449.5626525878906], [1163.5382080078125, 455.2965087890625], [1147.7652587890625, 449.5626525878906], [1164.9720458984375, 473.93145751953125], [1129.1246337890625, 461.0303039550781], [1097.578857421875, 472.4980163574219], [1100.4466552734375, 468.1976318359375], [1163.5382080078125, 502.6006164550781], [1094.7109375, 486.83258056640625], [1144.8974609375, 519.8021240234375], [1110.48388671875, 516.9352416992188], [1170.7076416015625, 545.6043701171875], [1083.23974609375, 545.6043701171875], [1195.083984375, 577.1404418945312], [1064.5989990234375, 581.4408569335938], [1129.8414916992188, 579.2906494140625]]","[[1159.240478515625, 697.330810546875], [1153.5048828125, 693.0067138671875], [1157.806640625, 697.330810546875], [1131.996826171875, 700.2135009765625], [1153.5048828125, 701.6548461914062], [1109.0546875, 711.7443237304688], [1159.240478515625, 731.9232177734375], [1077.50927734375, 731.9232177734375], [1196.5213623046875, 753.5435180664062], [1041.6622314453125, 743.4541015625], [1235.236083984375, 754.98486328125], [1073.2076416015625, 772.2810668945312], [1103.3192138671875, 780.92919921875], [1034.492919921875, 824.1697998046875], [1153.5048828125, 802.5494995117188], [988.6087036132812, 863.0863037109375], [1152.071044921875, 870.2930297851562], [1070.3398742675781, 866.6896667480469]]"
34,6,00:49:06,88402,10,top,net shot,,,"[1076, 553]","[[1072.208984375, 502.3105773925781], [1076.511474609375, 498.0014343261719], [1067.906494140625, 496.5650634765625], [1079.3798828125, 499.4378356933594], [1057.867431640625, 498.0014343261719], [1077.9456787109375, 512.3652954101562], [1046.39404296875, 516.6743774414062], [1063.60400390625, 541.0928955078125], [1040.657470703125, 542.529296875], [1075.077392578125, 548.2747802734375], [1043.5257568359375, 558.3295288085938], [1053.56494140625, 558.3295288085938], [1032.052490234375, 555.4567260742188], [1073.6431884765625, 595.6754150390625], [1037.7890625, 585.6207275390625], [1057.867431640625, 608.6028442382812], [1042.091552734375, 628.7122192382812], [1049.9794921875, 618.6575317382812]]","[[1002.5385131835938, 650.6090087890625], [1002.5385131835938, 646.2921142578125], [1003.9725341796875, 646.2921142578125], [1005.406494140625, 650.6090087890625], [1026.916259765625, 650.6090087890625], [996.8025512695312, 677.9488525390625], [1044.1240234375, 675.0709838867188], [982.4627075195312, 722.5560302734375], [1065.6339111328125, 711.0444946289062], [959.5189208984375, 748.4569702148438], [1069.935791015625, 738.3843994140625], [1029.7841796875, 757.090576171875], [1062.7659912109375, 754.2127075195312], [989.6326904296875, 794.5031127929688], [1042.690185546875, 781.5526733398438], [1003.9725341796875, 865.0111083984375], [1059.89794921875, 840.5491333007812], [1031.9352416992188, 852.7801208496094]]"
34,7,00:49:07,88425,19,bottom,push/rush,,,"[778, 557]","[[1003.25732421875, 469.9244384765625], [1007.5333862304688, 464.1589660644531], [998.981201171875, 462.71759033203125], [1014.66015625, 462.71759033203125], [994.705078125, 462.71759033203125], [1021.7869873046875, 477.13128662109375], [981.8768310546875, 478.5726623535156], [1036.04052734375, 491.5450134277344], [954.7950439453125, 500.1932373046875], [1040.316650390625, 517.4896850585938], [951.9442749023438, 523.2551879882812], [1000.4065551757812, 526.137939453125], [970.4739990234375, 526.137939453125], [1021.7869873046875, 559.2894897460938], [961.9218139648438, 570.8204956054688], [1030.339111328125, 609.7374877929688], [946.2427978515625, 618.3857421875], [988.2909545898438, 614.0616149902344]]","[[862.0230712890625, 655.369873046875], [866.3167724609375, 651.0509033203125], [863.4542846679688, 652.4906005859375], [876.335693359375, 655.369873046875], [884.92333984375, 655.369873046875], [892.0796508789062, 678.4044799804688], [874.9044799804688, 665.4475708007812], [907.8236083984375, 689.9218139648438], [849.1416015625, 651.0509033203125], [919.2737426757812, 698.559814453125], [827.672607421875, 632.3353271484375], [919.2737426757812, 740.3099975585938], [899.2360229492188, 730.2323608398438], [945.0365600585938, 797.8965454101562], [882.060791015625, 743.1893310546875], [1002.2872924804688, 809.4138793945312], [870.6106567382812, 787.8189086914062], [936.448974609375, 798.6163940429688]]"
34,8,00:49:08,88464,10,top,smash,,,"[1164, 364]","[[1187.3172607421875, 419.839599609375], [1187.3172607421875, 415.52789306640625], [1184.449462890625, 414.0906982421875], [1187.3172607421875, 419.839599609375], [1170.110107421875, 412.6534423828125], [1174.4119873046875, 434.21185302734375], [1145.7333984375, 438.5235595703125], [1148.601318359375, 395.40673828125], [1148.601318359375, 395.40673828125], [1204.5244140625, 455.770263671875], [1102.715576171875, 501.76153564453125], [1147.1673583984375, 484.5148010253906], [1122.79052734375, 481.640380859375], [1172.97802734375, 527.631591796875], [1095.5460205078125, 517.571044921875], [1200.2225341796875, 566.436767578125], [1092.6781005859375, 569.3112182617188], [1146.4503173828125, 567.8739929199219]]","[[986.9255981445312, 688.2424926757812], [985.493408203125, 682.4880981445312], [988.3578491210938, 685.3652954101562], [986.9255981445312, 683.9266967773438], [1011.273193359375, 683.9266967773438], [971.17138671875, 705.5054931640625], [1024.1629638671875, 709.8212280273438], [943.95947265625, 734.2771606445312], [1044.2139892578125, 750.1015625], [926.77294921875, 761.6102294921875], [1051.3748779296875, 777.4346923828125], [972.6035766601562, 770.2417602539062], [1008.40869140625, 771.6803588867188], [941.094970703125, 806.2064208984375], [1044.2139892578125, 804.767822265625], [919.6119995117188, 863.7498168945312], [1047.0782470703125, 868.0655517578125], [983.3451232910156, 865.9076843261719]]"
34,9,00:49:09,88476,19,bottom,defensive shot,,,"[1126, 628]","[[1188.8553466796875, 461.0584716796875], [1196.049072265625, 461.0584716796875], [1188.8553466796875, 456.74114990234375], [1200.365234375, 465.3757629394531], [1184.5391845703125, 456.74114990234375], [1201.803955078125, 479.7667541503906], [1168.7130126953125, 468.25396728515625], [1197.48779296875, 505.6705627441406], [1138.49951171875, 476.8885498046875], [1198.926513671875, 450.9847717285156], [1121.234619140625, 495.5968933105469], [1181.66162109375, 521.5006713867188], [1152.886962890625, 515.7443237304688], [1198.926513671875, 550.2826538085938], [1132.7445068359375, 545.9653930664062], [1223.3851318359375, 579.064697265625], [1118.357177734375, 587.6992797851562], [1170.8711547851562, 583.3819885253906]]","[[1068.3323974609375, 709.4955444335938], [1066.8939208984375, 705.1813354492188], [1066.8939208984375, 705.1813354492188], [1043.87744140625, 705.1813354492188], [1062.578369140625, 708.0574340820312], [1019.4225463867188, 725.3145141601562], [1058.2626953125, 736.8191528320312], [984.8980712890625, 748.3238525390625], [1087.033203125, 769.8950805664062], [961.8816528320312, 781.3997802734375], [1121.5577392578125, 781.3997802734375], [1000.7218017578125, 810.1614990234375], [1032.3692626953125, 813.0376586914062], [976.2669067382812, 850.4278564453125], [1087.033203125, 830.2947387695312], [928.7955932617188, 887.818115234375], [1122.996337890625, 882.0657348632812], [1025.8959655761719, 884.9419250488281]]"
34,10,00:49:10,88504,10,top,lob,,,"[754, 536]","[[874.0021362304688, 514.2776489257812], [876.8681640625, 508.5285949707031], [874.0021362304688, 511.40313720703125], [889.7653198242188, 508.5285949707031], [875.4351806640625, 514.2776489257812], [911.2603759765625, 530.08740234375], [886.8992309570312, 538.7108764648438], [856.8059692382812, 551.6461181640625], [856.8059692382812, 550.2089233398438], [899.7962646484375, 520.026611328125], [822.4137573242188, 568.8931274414062], [935.62158203125, 561.7069091796875], [908.3944091796875, 563.1441650390625], [974.3128662109375, 610.5734252929688], [879.7341918945312, 578.9539184570312], [1021.6021728515625, 623.5086669921875], [863.9710083007812, 626.3831787109375], [942.7865905761719, 624.9459228515625]]","[[859.9503173828125, 656.3063354492188], [861.3876342773438, 653.4302978515625], [861.3876342773438, 651.9922485351562], [864.2620239257812, 656.3063354492188], [887.257568359375, 654.8683471679688], [861.3876342773438, 686.5051879882812], [908.8158569335938, 677.876953125], [849.8898315429688, 731.0844116210938], [930.3741455078125, 712.389892578125], [821.1454467773438, 749.7788696289062], [918.8764038085938, 741.150634765625], [897.318115234375, 764.1593017578125], [930.3741455078125, 755.5310668945312], [862.8248291015625, 805.8623657226562], [923.1880493164062, 792.9200439453125], [861.3876342773438, 873.4501953125], [944.746337890625, 847.5654907226562], [903.0669860839844, 860.5078430175781]]"
34,11,00:49:11,88534,19,bottom,clear,,,"[677, 525]","[[917.3794555664062, 467.9027099609375], [921.7002563476562, 463.6081237792969], [914.4989624023438, 463.6081237792969], [927.4612426757812, 465.0396423339844], [908.7379760742188, 466.47119140625], [938.9832763671875, 479.35516357421875], [898.6561279296875, 482.2182312011719], [966.34814453125, 489.3760070800781], [882.8133544921875, 503.6915283203125], [972.109130859375, 516.575439453125], [881.3731689453125, 526.5963134765625], [938.9832763671875, 519.4385375976562], [908.7379760742188, 519.4385375976562], [959.1469116210938, 562.385009765625], [887.1341552734375, 555.227294921875], [966.34814453125, 611.0577392578125], [866.9705810546875, 605.33154296875], [916.6593627929688, 608.1946411132812]]","[[716.8603515625, 674.2762451171875], [715.4320678710938, 675.7158203125], [712.5755004882812, 678.5949096679688], [704.005859375, 700.188232421875], [711.147216796875, 692.990478515625], [741.1410522460938, 681.4740600585938], [719.7169189453125, 718.9024047851562], [751.138916015625, 626.7709350585938], [695.4362182617188, 664.1994018554688], [742.5692749023438, 589.342529296875], [681.1535034179688, 651.243408203125], [776.8477783203125, 757.7704467773438], [751.138916015625, 766.40771484375], [795.4154052734375, 825.4293823242188], [732.5713500976562, 825.4293823242188], [781.1326293945312, 893.0885009765625], [696.864501953125, 867.1764526367188], [738.9985656738281, 880.1324768066406]]"
