rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
10,1,0:40:42,73284,10,top,short service,,,"[971, 521]","[[986.1162109375, 458.7598876953125], [991.859619140625, 452.9927673339844], [981.8086547851562, 452.9927673339844], [997.60302734375, 454.4345397949219], [974.6293334960938, 452.9927673339844], [1004.7822875976562, 477.5030822753906], [961.7066040039062, 471.73590087890625], [1016.2691650390625, 499.1297912597656], [924.3744506835938, 476.061279296875], [1019.1409301757812, 512.1058349609375], [922.9385986328125, 493.3626403808594], [993.2954711914062, 545.2667846679688], [963.1425170898438, 546.7085571289062], [1000.4747924804688, 584.1948852539062], [968.8859252929688, 591.40380859375], [994.7313842773438, 623.1229858398438], [971.7576904296875, 650.5169067382812], [983.2445373535156, 636.8199462890625]]","[[827.8652954101562, 641.4352416992188], [799.3653564453125, 634.237060546875], [826.4403686523438, 637.1162719726562], [800.7903442382812, 638.5559692382812], [825.0152587890625, 638.5559692382812], [782.2653198242188, 667.3488159179688], [829.290283203125, 668.7884521484375], [759.4653930664062, 701.9002685546875], [846.390380859375, 706.21923828125], [780.84033203125, 717.736328125], [862.0653686523438, 716.2966918945312], [779.4153442382812, 745.0895385742188], [805.0653686523438, 746.5292358398438], [803.6403198242188, 791.158203125], [816.46533203125, 799.7960205078125], [803.6403198242188, 844.4249877929688], [786.5403442382812, 863.1403198242188], [795.09033203125, 853.7826538085938]]"
10,2,0:40:43,73304,11,bottom,net shot,,,"[843, 579]","[[973.5262451171875, 468.1273193359375], [979.2366943359375, 462.3863525390625], [970.6710815429688, 462.3863525390625], [986.3746337890625, 465.2568359375], [964.9606323242188, 465.2568359375], [989.2297973632812, 485.3502197265625], [952.1123046875, 486.7854919433594], [990.6574096679688, 514.0550537109375], [927.8431396484375, 508.3141174316406], [992.0850219726562, 542.7599487304688], [917.8499145507812, 547.065673828125], [963.5330200195312, 544.1951904296875], [939.2638549804688, 537.0189819335938], [980.6641845703125, 582.9467163085938], [937.8363647460938, 582.9467163085938], [963.5330200195312, 620.2630615234375], [916.4223022460938, 637.4859619140625], [939.9776611328125, 628.87451171875]]","[[815.7320556640625, 607.743408203125], [818.607421875, 603.42822265625], [818.607421875, 603.42822265625], [820.0450439453125, 609.1818237304688], [843.0479125976562, 609.1818237304688], [822.92041015625, 636.5115966796875], [841.6102905273438, 633.634765625], [788.4161376953125, 637.9500122070312], [820.0450439453125, 622.1275024414062], [766.8510131835938, 619.2506713867188], [807.1060180664062, 607.743408203125], [828.671142578125, 718.5008544921875], [848.7986450195312, 714.1856079101562], [807.1060180664062, 778.9140014648438], [840.1725463867188, 763.0914916992188], [809.9813232421875, 839.3270874023438], [848.7986450195312, 807.68212890625], [829.3899841308594, 823.5046081542969]]"
10,3,0:40:44,73330,10,top,lob,,,"[804, 446]","[[864.8560180664062, 546.6270141601562], [867.711181640625, 542.3065185546875], [860.5733032226562, 543.7466430664062], [876.276611328125, 542.3065185546875], [857.7181396484375, 549.50732421875], [890.5524291992188, 561.0286254882812], [856.29052734375, 572.5499877929688], [907.683349609375, 542.3065185546875], [854.8629150390625, 586.9515991210938], [934.807373046875, 525.0245361328125], [934.807373046875, 525.0245361328125], [890.5524291992188, 637.3572998046875], [862.0007934570312, 631.5966186523438], [904.8282470703125, 674.801513671875], [862.0007934570312, 674.801513671875], [940.5177001953125, 517.82373046875], [863.4284057617188, 674.801513671875], [901.9730529785156, 596.3126220703125]]","[[847.1255493164062, 653.1758422851562], [844.2560424804688, 647.4124755859375], [844.2560424804688, 647.4124755859375], [848.5603637695312, 648.8533325195312], [871.5170288085938, 644.5308227539062], [861.4734497070312, 674.7882690429688], [890.169189453125, 660.3800048828125], [872.9517211914062, 710.8091430664062], [907.3865966796875, 696.4008178710938], [864.3430786132812, 746.8299560546875], [862.9082641601562, 710.8091430664062], [903.082275390625, 745.3890991210938], [923.1692504882812, 739.6258544921875], [862.9082641601562, 794.37744140625], [897.3430786132812, 779.9691162109375], [893.0386962890625, 836.1615600585938], [917.43017578125, 830.398193359375], [905.2344360351562, 833.2798767089844]]"
10,4,0:40:45,73374,11,bottom,smash,,,"[707, 740]","[[910.2222900390625, 496.92010498046875], [914.5386352539062, 492.6264343261719], [905.9059448242188, 492.6264343261719], [924.6100463867188, 495.4889221191406], [901.589599609375, 495.4889221191406], [937.55908203125, 514.0947265625], [897.2733154296875, 512.6635131835938], [962.0181884765625, 522.6820068359375], [872.8141479492188, 522.6820068359375], [974.9672241210938, 552.737548828125], [864.1815185546875, 557.0311889648438], [934.6815185546875, 559.8936767578125], [901.589599609375, 558.4624633789062], [962.0181884765625, 597.1052856445312], [875.6917114257812, 581.3618774414062], [1000.8651123046875, 621.4359741210938], [832.5284423828125, 621.4359741210938], [916.69677734375, 621.4359741210938]]","[[577.8388061523438, 743.4180908203125], [572.0786743164062, 739.1049194335938], [576.3988037109375, 744.8557739257812], [557.6784057617188, 764.9840087890625], [576.3988037109375, 752.04443359375], [600.8792724609375, 764.9840087890625], [597.9992065429688, 764.9840087890625], [645.5203247070312, 762.1085205078125], [646.9603271484375, 762.1085205078125], [693.0413208007812, 749.1689453125], [694.4813232421875, 747.7312622070312], [603.7593994140625, 862.74951171875], [605.1994018554688, 861.3117065429688], [582.158935546875, 898.6926879882812], [685.8411254882812, 842.6212768554688], [557.6784057617188, 937.5112915039062], [717.5218505859375, 888.6286010742188], [637.6001281738281, 913.0699462890625]]"
10,5,0:40:46,73386,10,top,defensive shot,,,"[843, 476]","[[875.1490478515625, 438.08026123046875], [880.8978881835938, 436.64581298828125], [873.7118530273438, 436.64581298828125], [888.083984375, 440.9491271972656], [867.9629516601562, 438.08026123046875], [895.27001953125, 465.33465576171875], [862.214111328125, 446.6869201660156], [929.7631225585938, 476.81024169921875], [834.9070434570312, 448.121337890625], [952.758544921875, 501.19573974609375], [833.4698486328125, 426.60467529296875], [901.0189208984375, 529.8846435546875], [869.400146484375, 525.581298828125], [929.7631225585938, 574.3523559570312], [846.4046630859375, 570.0490112304688], [961.3817749023438, 618.8201293945312], [830.5953369140625, 621.68896484375], [895.9885559082031, 620.2545471191406]]","[[697.878662109375, 742.8848266601562], [666.3462524414062, 735.7081298828125], [697.878662109375, 738.5787963867188], [669.2128295898438, 740.0140991210938], [695.0120849609375, 741.449462890625], [649.1467895507812, 765.85009765625], [697.878662109375, 770.1560668945312], [613.3145141601562, 806.039306640625], [726.5444946289062, 814.6511840820312], [620.48095703125, 840.4871826171875], [748.0438232421875, 846.2284545898438], [630.5140380859375, 840.4871826171875], [663.4796752929688, 840.4871826171875], [606.1480102539062, 896.4649047851562], [697.878662109375, 895.0296020507812], [588.9485473632812, 928.0421752929688], [669.2128295898438, 942.3955078125], [629.0806884765625, 935.2188415527344]]"
10,6,0:40:47,73412,11,bottom,net shot,,,"[620, 540]","[[885.9918823242188, 459.76708984375], [890.3116455078125, 455.45989990234375], [883.112060546875, 455.45989990234375], [897.5113525390625, 456.8955993652344], [877.352294921875, 455.45989990234375], [911.91064453125, 479.8675231933594], [865.8328247070312, 475.560302734375], [934.9495239257812, 505.7109375], [848.5537109375, 498.5322265625], [934.9495239257812, 531.5543823242188], [837.0342407226562, 528.682861328125], [903.2710571289062, 535.861572265625], [868.7127685546875, 535.861572265625], [923.4301147460938, 568.8837280273438], [837.0342407226562, 576.0624389648438], [952.2286987304688, 620.570556640625], [816.8751831054688, 623.4420166015625], [884.5519409179688, 622.0062866210938]]","[[686.6394653320312, 666.07275390625], [689.5139770507812, 661.7679443359375], [688.0767211914062, 661.7679443359375], [692.388427734375, 663.202880859375], [711.0723876953125, 664.6378173828125], [711.0723876953125, 693.336181640625], [713.9468383789062, 683.291748046875], [722.5701904296875, 729.209228515625], [696.7001342773438, 686.16162109375], [686.6394653320312, 737.8186645507812], [670.8300170898438, 667.5076293945312], [735.5052490234375, 767.9519653320312], [719.6957397460938, 759.342529296875], [729.75634765625, 828.2186279296875], [689.5139770507812, 789.475830078125], [778.6220703125, 861.2218017578125], [712.5096435546875, 825.3487548828125], [745.5658569335938, 843.2852783203125]]"
10,7,0:40:47,73438,10,top,lob,,,"[669, 520]","[[725.5939331054688, 552.7450561523438], [729.9056396484375, 548.434326171875], [721.2822265625, 551.3081665039062], [735.654541015625, 546.9974365234375], [721.2822265625, 555.6188354492188], [755.7757568359375, 552.7450561523438], [721.2822265625, 574.2987060546875], [775.8970336914062, 538.3759155273438], [714.0960693359375, 588.6677856445312], [803.2044067382812, 525.4437866210938], [716.9705810546875, 595.8523559570312], [758.6502075195312, 581.4832763671875], [737.091796875, 597.2892456054688], [783.0831909179688, 636.0858764648438], [724.15673828125, 617.406005859375], [781.64599609375, 672.0086059570312], [718.4077758789062, 674.8823852539062], [750.0268859863281, 673.4454956054688]]","[[742.4832153320312, 662.5587158203125], [742.4832153320312, 658.2466430664062], [743.916259765625, 658.2466430664062], [745.3493041992188, 661.1213989257812], [766.845458984375, 652.4971313476562], [756.8139038085938, 688.4315185546875], [794.0738525390625, 672.620361328125], [759.6800537109375, 727.2406616210938], [815.5699462890625, 707.1173706054688], [741.0501098632812, 763.1749877929688], [832.7667846679688, 740.177001953125], [806.9714965820312, 754.5507202148438], [828.4675903320312, 745.926513671875], [774.0108642578125, 812.0457153320312], [806.9714965820312, 797.6719970703125], [801.2392578125, 865.2285766601562], [847.0975341796875, 846.542724609375], [824.1683959960938, 855.8856506347656]]"
10,8,0:40:49,73478,11,bottom,drop,,,"[695, 517]","[[895.7857055664062, 465.4179992675781], [900.089111328125, 462.544189453125], [892.9168090820312, 462.544189453125], [908.696044921875, 463.9810791015625], [887.1788940429688, 463.9810791015625], [923.0408325195312, 479.786865234375], [875.7030639648438, 485.5344543457031], [941.6890258789062, 489.8451232910156], [855.620361328125, 501.3403015136719], [950.2958374023438, 520.0198974609375], [851.3169555664062, 531.5150146484375], [914.4338989257812, 534.3887939453125], [880.0064697265625, 534.3887939453125], [935.9510498046875, 576.0586547851562], [854.1859130859375, 580.3693237304688], [958.9027709960938, 627.7868041992188], [838.4066772460938, 622.0392456054688], [898.6547241210938, 624.9130249023438]]","[[638.4118041992188, 724.2120971679688], [629.8123168945312, 718.4450073242188], [632.6788330078125, 722.7703247070312], [605.4470825195312, 740.0716552734375], [628.3790283203125, 732.86279296875], [614.0465698242188, 773.2325439453125], [642.7116088867188, 755.9312133789062], [651.31103515625, 778.9996337890625], [687.142333984375, 718.4450073242188], [668.5101318359375, 799.1845092773438], [694.30859375, 701.1436767578125], [636.9785766601562, 848.2049560546875], [664.2103271484375, 840.9960327148438], [711.5076293945312, 866.947998046875], [618.3463134765625, 921.735595703125], [695.7418823242188, 934.7114868164062], [583.9483032226562, 976.5230102539062], [639.8450927734375, 955.6172485351562]]"
10,9,0:40:49,73495,10,top,net shot,,,"[832, 521]","[[882.2374267578125, 491.16375732421875], [885.10400390625, 488.29620361328125], [877.9374389648438, 489.72998046875], [895.13720703125, 488.29620361328125], [876.5042114257812, 494.03131103515625], [909.4702758789062, 501.2002258300781], [869.337646484375, 514.104248046875], [925.2366943359375, 502.6340026855469], [863.6043701171875, 542.7799072265625], [946.7362670898438, 511.2366943359375], [873.6375732421875, 561.4190673828125], [903.737060546875, 549.9487915039062], [872.2042236328125, 555.6839599609375], [939.56982421875, 585.7933349609375], [855.0045776367188, 597.2636108398438], [962.502685546875, 627.373046875], [814.871826171875, 631.6743774414062], [888.687255859375, 629.5237121582031]]","[[750.2501831054688, 683.9520874023438], [751.685302734375, 678.1975708007812], [751.685302734375, 678.1975708007812], [753.1205444335938, 682.513427734375], [780.3887329101562, 682.513427734375], [744.509521484375, 714.1631469726562], [800.4811401367188, 712.7245483398438], [720.1115112304688, 748.6901245117188], [823.4439086914062, 753.0059204101562], [710.0653076171875, 777.4625854492188], [829.1846313476562, 780.3397827148438], [754.5556030273438, 800.4805297851562], [790.43505859375, 800.4805297851562], [744.509521484375, 850.8323364257812], [776.0833129882812, 855.148193359375], [745.944580078125, 905.5], [763.1666870117188, 902.6227416992188], [754.5556335449219, 904.0613708496094]]"
10,10,0:40:50,73519,11,bottom,lob,,,"[1059, 494]","[[947.5943603515625, 469.06951904296875], [951.8876953125, 464.7673034667969], [943.3009643554688, 464.7673034667969], [957.6121215820312, 466.20135498046875], [936.1454467773438, 466.20135498046875], [960.474365234375, 484.84429931640625], [924.6965942382812, 487.7124328613281], [963.3365478515625, 500.6191101074219], [896.0744018554688, 510.6576232910156], [970.4920654296875, 526.4324340820312], [888.9188842773438, 543.6412963867188], [936.1454467773438, 536.470947265625], [907.5232543945312, 532.168701171875], [960.474365234375, 575.1908569335938], [901.798828125, 578.0590209960938], [960.474365234375, 623.9493408203125], [871.74560546875, 632.5537719726562], [916.1099853515625, 628.2515563964844]]","[[955.8357543945312, 661.0018920898438], [957.2598266601562, 661.0018920898438], [958.6839599609375, 653.8034057617188], [957.2598266601562, 669.6400146484375], [980.0458374023438, 675.3988647460938], [944.4426879882812, 694.1149291992188], [982.8939819335938, 702.7531127929688], [935.89794921875, 724.3485717773438], [995.7111206054688, 720.0294799804688], [920.2326049804688, 753.1425170898438], [990.0146484375, 707.0722045898438], [944.4426879882812, 773.2982788085938], [971.5010375976562, 773.2982788085938], [920.2326049804688, 836.64501953125], [968.6527709960938, 796.33349609375], [937.3221435546875, 856.80078125], [985.7423095703125, 836.64501953125], [961.5322265625, 846.722900390625]]"
