rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
8,2,00:12:15,22059,24,top,smash,,,"[845, 254]","[[776.3480224609375, 296.1131896972656], [777.76806640625, 291.81414794921875], [773.5078125, 294.6801452636719], [783.4482421875, 291.81414794921875], [772.0877685546875, 300.4122619628906], [800.4890747070312, 300.4122619628906], [779.1881103515625, 317.6085205078125], [809.0095825195312, 283.21600341796875], [777.76806640625, 334.8047790527344], [828.8904418945312, 331.938720703125], [793.3887939453125, 376.36236572265625], [818.9500122070312, 349.135009765625], [803.3292846679688, 356.30010986328125], [837.410888671875, 390.692626953125], [790.5486450195312, 384.9605407714844], [838.8309326171875, 436.54931640625], [773.5078125, 409.3218994140625], [806.1693725585938, 422.93560791015625]]","[[917.5192260742188, 611.515380859375], [921.8259887695312, 611.515380859375], [911.77685546875, 612.949951171875], [906.0345458984375, 615.819091796875], [929.0038452148438, 612.949951171875], [897.4210815429688, 640.20703125], [946.2308349609375, 633.0341186523438], [880.194091796875, 666.0296020507812], [982.120361328125, 666.0296020507812], [860.095947265625, 691.8521728515625], [982.120361328125, 683.24462890625], [916.0836181640625, 707.632568359375], [956.2798461914062, 704.763427734375], [880.194091796875, 746.366455078125], [979.249267578125, 740.6280517578125], [865.8381958007812, 809.4882202148438], [995.0406494140625, 800.8806762695312], [930.4394226074219, 805.1844482421875]]"
8,3,00:12:15,22076,10,bottom,defensive shot,,,"[1166, 660]","[[843.2781372070312, 333.43804931640625], [844.7092895507812, 329.1310119628906], [838.98486328125, 329.1310119628906], [849.0025634765625, 332.0023498535156], [831.8294067382812, 333.43804931640625], [853.2958984375, 347.79486083984375], [824.673828125, 349.23052978515625], [864.7447509765625, 369.3301086425781], [821.8116455078125, 367.8944091796875], [873.3313598632812, 379.3798522949219], [853.2958984375, 367.8944091796875], [836.1226806640625, 389.42962646484375], [817.5182495117188, 390.86529541015625], [864.7447509765625, 409.5291442871094], [800.3450927734375, 412.4004821777344], [863.313720703125, 438.2427978515625], [776.0162963867188, 423.885986328125], [819.6650085449219, 431.06439208984375]]","[[1070.726806640625, 676.6730346679688], [1073.6060791015625, 672.348388671875], [1073.6060791015625, 675.2315063476562], [1050.5718994140625, 669.46533203125], [1073.6060791015625, 678.1145629882812], [1026.097900390625, 678.1145629882812], [1072.16650390625, 706.9451904296875], [994.4258422851562, 686.7637329101562], [1086.5628662109375, 725.6851196289062], [955.5556640625, 696.8544311523438], [1111.03662109375, 727.1266479492188], [990.1069946289062, 730.0097045898438], [1026.097900390625, 750.191162109375], [951.2367553710938, 774.6972045898438], [1046.2529296875, 760.2817993164062], [899.4097290039062, 829.475341796875], [1039.0546875, 826.59228515625], [969.2322082519531, 828.0338134765625]]"
8,4,00:12:16,22107,24,top,net shot,,,"[1196, 468]","[[1085.2750244140625, 418.8146057128906], [1086.7059326171875, 415.9577941894531], [1080.98193359375, 414.52935791015625], [1086.7059326171875, 418.8146057128906], [1070.9649658203125, 413.1009521484375], [1085.2750244140625, 438.8123779296875], [1053.7928466796875, 425.9566650390625], [1105.30908203125, 461.6669616699219], [1036.620849609375, 423.099853515625], [1128.2052001953125, 477.3795166015625], [999.4146118164062, 408.8157043457031], [1060.9478759765625, 473.0942687988281], [1036.620849609375, 471.6658630371094], [1085.2750244140625, 484.5215759277344], [1008.000732421875, 497.3772888183594], [1090.9990234375, 527.3739013671875], [975.0875244140625, 500.23406982421875], [1033.0432739257812, 513.8039855957031]]","[[1054.8160400390625, 583.7467041015625], [1040.5623779296875, 577.9953002929688], [1063.3682861328125, 579.4331665039062], [1040.5623779296875, 580.8710327148438], [1063.3682861328125, 580.8710327148438], [1032.01025390625, 608.1903686523438], [1083.3233642578125, 608.1903686523438], [1019.1819458007812, 635.5096435546875], [1106.129150390625, 648.450439453125], [1000.6521606445312, 659.9533081054688], [1107.5545654296875, 680.0833129882812], [1056.241455078125, 691.5862426757812], [1089.0247802734375, 684.39697265625], [1036.286376953125, 747.6627197265625], [1084.7486572265625, 720.3433837890625], [1047.689208984375, 808.0529174804688], [1103.2784423828125, 774.982177734375], [1075.4838256835938, 791.5175476074219]]"
8,5,00:12:17,22133,10,bottom,lob,,,"[1076, 369]","[[1019.1049194335938, 371.19305419921875], [1021.9852294921875, 368.32958984375], [1016.2246704101562, 368.32958984375], [1024.865478515625, 369.7613525390625], [1007.5838012695312, 368.32958984375], [1036.38671875, 392.668701171875], [1000.383056640625, 381.2149963378906], [1042.1473388671875, 417.0078430175781], [981.6611328125, 395.5321350097656], [1046.4677734375, 441.346923828125], [970.1400146484375, 417.0078430175781], [1026.3056640625, 428.4615173339844], [1006.1436157226562, 427.02978515625], [1024.865478515625, 465.6860656738281], [988.8618774414062, 458.5274963378906], [1036.38671875, 507.2057189941406], [997.5028076171875, 488.59344482421875], [1016.9447631835938, 497.8995819091797]]","[[1137.3184814453125, 553.7548217773438], [1141.62939453125, 563.829833984375], [1133.0074462890625, 565.2691040039062], [1130.133544921875, 573.9048461914062], [1148.8143310546875, 576.7833862304688], [1118.6376953125, 596.9334716796875], [1155.9991455078125, 596.9334716796875], [1084.1500244140625, 598.372802734375], [1163.18408203125, 573.9048461914062], [1053.9735107421875, 581.101318359375], [1148.8143310546875, 565.2691040039062], [1115.763671875, 670.3372192382812], [1145.9403076171875, 670.3372192382812], [1095.64599609375, 725.0301513671875], [1161.7470703125, 670.3372192382812], [1122.9486083984375, 761.0123901367188], [1163.18408203125, 703.4407958984375], [1143.0663452148438, 732.2265930175781]]"
8,6,00:12:18,22165,24,top,clear,,,"[864, 193]","[[807.0313720703125, 317.4827575683594], [805.593994140625, 317.4827575683594], [802.71923828125, 318.91510009765625], [798.4070434570312, 326.07672119140625], [799.8444213867188, 326.07672119140625], [804.1566162109375, 343.2646179199219], [825.717529296875, 326.07672119140625], [782.5957641601562, 348.993896484375], [857.3401489257812, 351.8585510253906], [781.1583251953125, 328.94134521484375], [830.0296630859375, 297.43023681640625], [832.9044799804688, 384.802001953125], [851.590576171875, 377.640380859375], [822.8427124023438, 403.4222412109375], [876.0262451171875, 403.4222412109375], [792.657470703125, 424.9071044921875], [896.149658203125, 444.9596252441406], [844.403564453125, 434.93336486816406]]","[[950.0245361328125, 586.8834838867188], [925.7521362304688, 643.0935668945312], [940.030029296875, 591.2073364257812], [938.6022338867188, 595.5311889648438], [960.01904296875, 594.0899047851562], [932.8910522460938, 621.474365234375], [981.435791015625, 617.1504516601562], [920.0409545898438, 650.300048828125], [1014.2749633789062, 645.9761962890625], [902.9075317382812, 674.8018798828125], [1017.1304931640625, 667.595458984375], [961.4468383789062, 692.0972900390625], [995.7136840820312, 687.7734375], [914.329833984375, 726.6881103515625], [1005.7081909179688, 713.716552734375], [908.61865234375, 792.9871826171875], [1035.6917724609375, 765.602783203125], [972.1552124023438, 779.2949829101562]]"
8,7,00:12:20,22201,10,bottom,drop,,,"[1082, 489]","[[933.259521484375, 337.8059997558594], [936.1058959960938, 333.4959716796875], [930.4131469726562, 334.9326477050781], [940.3754272460938, 336.36932373046875], [924.7203979492188, 337.8059997558594], [950.3377075195312, 355.0459899902344], [914.7581176757812, 356.482666015625], [958.8768310546875, 376.59600830078125], [903.3726806640625, 378.0326232910156], [968.8390502929688, 402.45599365234375], [899.1030883789062, 398.1459655761719], [944.64501953125, 395.27264404296875], [920.450927734375, 398.1459655761719], [967.4159545898438, 421.1326599121094], [911.9118041992188, 426.8793029785156], [974.5318603515625, 462.79595947265625], [897.6799926757812, 464.23260498046875], [936.1059265136719, 463.5142822265625]]","[[1154.5552978515625, 671.817138671875], [1150.239013671875, 667.5029296875], [1150.239013671875, 671.817138671875], [1125.779541015625, 684.7597045898438], [1141.606201171875, 681.8836059570312], [1122.90185546875, 707.7687377929688], [1161.7493896484375, 707.7687377929688], [1125.779541015625, 670.3790893554688], [1210.6683349609375, 691.9500122070312], [1131.53466796875, 667.5029296875], [1227.933837890625, 660.3126220703125], [1134.4122314453125, 782.5480346679688], [1166.065673828125, 785.4241943359375], [1117.146728515625, 802.680908203125], [1202.03564453125, 841.5086669921875], [1073.98291015625, 832.8803100585938], [1220.739990234375, 913.4118041992188], [1147.3614501953125, 873.1460571289062]]"
8,8,00:12:20,22226,24,top,net shot,,,"[759, 457]","[[818.7523803710938, 401.14410400390625], [821.6138305664062, 398.2782897949219], [815.8909912109375, 398.2782897949219], [830.1980590820312, 395.4124450683594], [815.8909912109375, 399.7112121582031], [838.7824096679688, 412.6073913574219], [833.0595703125, 392.5466003417969], [821.6138305664062, 438.39984130859375], [835.9209594726562, 388.2478942871094], [805.8760375976562, 457.0277099609375], [805.8760375976562, 458.4606018066406], [867.3966064453125, 454.1618957519531], [875.9808349609375, 446.997314453125], [835.9209594726562, 472.7897644042969], [874.5501708984375, 469.9239196777344], [825.906005859375, 512.9113159179688], [898.8722534179688, 484.2530517578125], [862.3891296386719, 498.5821838378906]]","[[974.2778930664062, 635.1437377929688], [974.2778930664062, 633.7027587890625], [979.984375, 627.9389038085938], [977.131103515625, 636.584716796875], [998.5303955078125, 630.82080078125], [979.984375, 669.7267456054688], [1025.63623046875, 653.8761596679688], [979.984375, 712.9555053710938], [1052.741943359375, 687.0182495117188], [961.4383544921875, 743.2156982421875], [1042.755615234375, 720.1603393554688], [1022.782958984375, 746.0975952148438], [1052.741943359375, 736.0108642578125], [984.2642211914062, 786.4443969726562], [1032.769287109375, 769.15283203125], [1004.2368774414062, 849.8465576171875], [1049.8887939453125, 831.1141357421875], [1027.0628356933594, 840.4803466796875]]"
8,9,00:12:21,22255,10,bottom,lob,,,"[734, 434]","[[874.3471069335938, 359.82452392578125], [878.6380004882812, 355.5062561035156], [871.4863891601562, 355.5062561035156], [884.3592529296875, 356.9456787109375], [867.1954956054688, 358.3851318359375], [894.37158203125, 375.6583557128906], [858.613525390625, 375.6583557128906], [900.0928344726562, 397.2498779296875], [841.4497680664062, 394.3710021972656], [904.3837280273438, 426.0386047363281], [838.5890502929688, 420.2808532714844], [885.7896118164062, 420.2808532714844], [862.9044799804688, 420.2808532714844], [895.8018188476562, 454.82733154296875], [862.9044799804688, 459.1456604003906], [895.8018188476562, 492.252685546875], [858.613525390625, 499.44989013671875], [877.2076721191406, 495.8512878417969]]","[[785.5172729492188, 581.6195678710938], [785.5172729492188, 578.7373657226562], [792.7089233398438, 567.2084350585938], [789.8322143554688, 581.6195678710938], [807.092041015625, 571.53173828125], [804.21533203125, 604.6775512695312], [814.2835083007812, 583.0607299804688], [828.6666259765625, 620.5298461914062], [808.5302734375, 637.8232421875], [801.3387451171875, 604.6775512695312], [808.5302734375, 660.8811645507812], [835.8582763671875, 662.3223266601562], [847.3646850585938, 643.5877685546875], [830.10498046875, 728.6138305664062], [809.9686279296875, 665.2045288085938], [883.3224487304688, 737.260498046875], [889.07568359375, 735.8193969726562], [886.1990661621094, 736.5399475097656]]"
8,10,00:12:23,22294,24,top,drop,,,"[787, 328]","[[843.2103881835938, 325.1400146484375], [843.2103881835938, 322.2676086425781], [844.6388549804688, 322.2676086425781], [843.2103881835938, 323.7038269042969], [857.4950561523438, 325.1400146484375], [834.6395874023438, 342.3744812011719], [866.06591796875, 345.24688720703125], [816.0694580078125, 349.5555114746094], [878.9220581054688, 369.6623840332031], [800.3563232421875, 346.68310546875], [888.9213256835938, 391.2054443359375], [833.2111206054688, 388.3330383300781], [854.6381225585938, 391.2054443359375], [826.0687255859375, 408.4399108886719], [853.2096557617188, 424.2381896972656], [826.0687255859375, 438.6002502441406], [854.6381225585938, 452.9623107910156], [840.3534240722656, 445.7812805175781]]","[[851.25244140625, 557.467041015625], [855.5526123046875, 553.1439208984375], [844.0856323242188, 556.0260009765625], [839.7854614257812, 561.7902221679688], [862.7194213867188, 558.9080810546875], [834.052001953125, 590.6112060546875], [882.78662109375, 580.5238037109375], [824.0184326171875, 630.9606323242188], [914.32080078125, 610.785888671875], [821.1516723632812, 666.9868774414062], [914.32080078125, 643.9300537109375], [859.8526611328125, 662.6637573242188], [894.2536010742188, 655.45849609375], [836.9187622070312, 717.4236450195312], [908.5872802734375, 713.1004638671875], [826.8851928710938, 782.27099609375], [924.3543090820312, 770.7425537109375], [875.6197509765625, 776.5067749023438]]"
8,11,00:12:23,22318,10,bottom,net shot,,,"[900, 502]","[[882.6705932617188, 330.50579833984375], [885.5214233398438, 326.1865234375], [879.8197631835938, 327.62628173828125], [892.6484985351562, 327.62628173828125], [875.5435180664062, 329.0660400390625], [904.0518188476562, 346.3431396484375], [875.5435180664062, 347.78289794921875], [918.3060302734375, 369.3793029785156], [866.9909057617188, 366.4997863769531], [928.283935546875, 395.2950134277344], [854.1621704101562, 386.6564025878906], [914.02978515625, 392.41546630859375], [894.0739135742188, 392.41546630859375], [902.6264038085938, 422.6504211425781], [884.0960083007812, 421.2106628417969], [918.3060302734375, 462.9637145996094], [886.9468383789062, 460.08416748046875], [902.6264343261719, 461.52394104003906]]","[[848.9324951171875, 598.6781616210938], [847.502197265625, 594.3611450195312], [851.7930908203125, 588.6051635742188], [848.9324951171875, 594.3611450195312], [868.9566650390625, 591.483154296875], [860.3748779296875, 618.82421875], [884.68994140625, 611.6292114257812], [856.0839233398438, 644.7261962890625], [856.0839233398438, 644.7261962890625], [820.3265380859375, 657.6771850585938], [820.3265380859375, 657.6771850585938], [904.7140502929688, 683.5792236328125], [921.8775634765625, 670.6282348632812], [877.5383911132812, 735.38330078125], [874.6777954101562, 689.3352661132812], [897.5625, 791.5043334960938], [897.5625, 735.38330078125], [897.5625, 763.4438171386719]]"
