rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
6,1,00:13:27,24221,13,bottom,short service,,,"[969, 461]","[[990.1448364257812, 399.41693115234375], [995.878173828125, 395.1129150390625], [985.8447875976562, 393.6782531738281], [1001.6115112304688, 397.9822692871094], [978.6781616210938, 395.1129150390625], [1008.7781982421875, 423.8062744140625], [965.7781372070312, 419.50225830078125], [1020.2449340820312, 445.3262939453125], [941.411376953125, 438.1529541015625], [1024.544921875, 435.28363037109375], [925.6447143554688, 459.6729736328125], [995.878173828125, 494.10498046875], [970.078125, 492.6702880859375], [997.3115234375, 537.1449584960938], [975.8114013671875, 541.448974609375], [991.5781860351562, 575.8810424804688], [974.3781127929688, 590.2276611328125], [982.9781494140625, 583.0543518066406]]","[[754.7428588867188, 569.5742797851562], [759.0307006835938, 569.5742797851562], [770.4647827148438, 595.5111083984375], [741.8795166015625, 594.0701293945312], [769.0355224609375, 596.9520263671875], [721.8698120117188, 624.3297729492188], [780.4696044921875, 625.7706909179688], [691.855224609375, 664.6759643554688], [806.1964721679688, 667.5578002929688], [717.5819702148438, 674.7625122070312], [819.059814453125, 693.49462890625], [720.4404907226562, 707.9039916992188], [757.6014404296875, 712.226806640625], [730.4453735351562, 751.1319580078125], [757.6014404296875, 782.8326416015625], [739.0209350585938, 817.4150390625], [741.8795166015625, 844.7927856445312], [740.4502258300781, 831.1039123535156]]"
6,2,00:13:28,24241,10,top,lob,,,"[800, 410]","[[967.4544677734375, 420.4451599121094], [971.73193359375, 416.1419677734375], [963.1768798828125, 414.7076110839844], [978.861083984375, 419.0107727050781], [956.0477294921875, 413.2732238769531], [978.861083984375, 440.5267028808594], [937.5118408203125, 436.2235412597656], [983.1386108398438, 467.78021240234375], [918.9759521484375, 463.4770202636719], [991.693603515625, 490.73052978515625], [906.1434326171875, 499.3369140625], [948.9185180664062, 496.4681396484375], [926.1051025390625, 492.1649475097656], [966.028564453125, 530.8936157226562], [924.6792602539062, 540.9343872070312], [956.0477294921875, 573.9254150390625], [901.8658447265625, 589.7037963867188], [928.956787109375, 581.8146057128906]]","[[769.0997314453125, 571.1896362304688], [770.5325317382812, 566.8802490234375], [767.6668090820312, 566.8802490234375], [773.3982543945312, 576.9354248046875], [799.1898193359375, 576.9354248046875], [767.6668090820312, 607.1008911132812], [800.6226806640625, 604.22802734375], [721.815185546875, 609.9738159179688], [780.5626220703125, 591.2999267578125], [698.8893432617188, 588.4270629882812], [761.9353637695312, 566.8802490234375], [783.4283447265625, 697.5973510742188], [810.6527099609375, 690.4151000976562], [736.143798828125, 753.6190185546875], [786.2940063476562, 727.7628784179688], [754.77099609375, 819.6957397460938], [809.2198486328125, 780.91162109375], [781.9954223632812, 800.3036804199219]]"
6,3,00:13:29,24278,13,bottom,drop,,,"[707, 307]","[[773.2199096679688, 371.885009765625], [778.9788208007812, 370.447021484375], [773.2199096679688, 367.5710144042969], [787.6171875, 380.5129699707031], [768.9007568359375, 374.760986328125], [794.8157958984375, 403.5208740234375], [760.2623901367188, 397.7689208984375], [813.5322875976562, 429.40478515625], [734.3472290039062, 416.4628601074219], [810.65283203125, 436.5947570800781], [705.5526733398438, 422.21478271484375], [781.8582763671875, 465.3546142578125], [760.2623901367188, 461.0406494140625], [770.3403930664062, 509.9325256347656], [730.028076171875, 488.362548828125], [812.0925903320312, 537.25439453125], [738.6663818359375, 527.1884155273438], [775.3794860839844, 532.2214050292969]]","[[826.8496704101562, 613.2638549804688], [819.6829223632812, 607.513427734375], [825.4163208007812, 607.513427734375], [821.1162719726562, 607.513427734375], [846.9163208007812, 604.63818359375], [813.9496459960938, 642.0161743164062], [872.71630859375, 630.5152587890625], [809.649658203125, 677.9566040039062], [912.8497314453125, 670.7685546875], [798.1829223632812, 712.4594116210938], [914.2830810546875, 703.8336791992188], [851.21630859375, 723.9603271484375], [891.3497314453125, 713.8970336914062], [812.5162963867188, 780.0272827148438], [921.44970703125, 778.5897827148438], [798.1829223632812, 857.6585693359375], [955.8497314453125, 846.15771484375], [877.0163269042969, 851.9081420898438]]"
6,4,00:13:30,24303,10,top,net shot,,,"[859, 521]","[[901.4689331054688, 394.3766784667969], [904.3453369140625, 390.0563659667969], [897.1543579101562, 388.6163024902344], [910.0980834960938, 390.0563659667969], [889.96337890625, 390.0563659667969], [920.1654663085938, 407.3376770019531], [875.5813598632812, 413.0980529785156], [947.4912719726562, 427.4991149902344], [868.390380859375, 449.10064697265625], [971.9406127929688, 446.220458984375], [862.6375732421875, 475.0225524902344], [912.9744873046875, 463.501708984375], [888.5250854492188, 464.94183349609375], [923.0418701171875, 509.5850524902344], [897.1543579101562, 506.7048645019531], [894.2779541015625, 547.0277709960938], [900.03076171875, 559.9887084960938], [897.1543579101562, 553.5082397460938]]","[[806.48876953125, 607.1389770507812], [806.48876953125, 601.3713989257812], [806.48876953125, 599.9295043945312], [806.48876953125, 601.3713989257812], [832.3093872070312, 599.9295043945312], [817.964599609375, 631.6512451171875], [852.3921508789062, 630.2093505859375], [809.3577270507812, 651.8377685546875], [873.9093017578125, 660.4891357421875], [764.8887939453125, 661.9310302734375], [882.5161743164062, 666.2567749023438], [842.3507690429688, 716.7230834960938], [869.6058959960938, 712.3973999023438], [803.6198120117188, 787.3759765625], [806.48876953125, 783.05029296875], [866.7369384765625, 833.5166625976562], [866.7369384765625, 833.5166625976562], [866.7369384765625, 833.5166625976562]]"
6,5,00:13:30,24328,13,bottom,lob,,,"[1224, 335]","[[1125.8253173828125, 480.776123046875], [1127.2635498046875, 476.4721374511719], [1121.5103759765625, 476.4721374511719], [1105.6893310546875, 479.3414611816406], [1107.1275634765625, 479.3414611816406], [1094.1829833984375, 492.2535095214844], [1099.9361572265625, 496.55755615234375], [1059.6640625, 522.3816528320312], [1114.3189697265625, 506.6002502441406], [1066.85546875, 512.3389282226562], [1140.2081298828125, 508.034912109375], [1058.2257080078125, 556.8138427734375], [1069.7320556640625, 559.6831665039062], [1084.1148681640625, 596.9847412109375], [1111.4423828125, 574.0299072265625], [1032.3365478515625, 604.1580810546875], [1114.3189697265625, 631.4168701171875], [1073.3277587890625, 617.7874755859375]]","[[1008.18603515625, 587.5921020507812], [978.1517333984375, 577.521728515625], [1008.18603515625, 583.2762451171875], [978.1517333984375, 583.2762451171875], [1008.18603515625, 586.1535034179688], [958.1288452148438, 613.4873657226562], [1005.3256225585938, 620.6804809570312], [932.38525390625, 662.4005737304688], [1019.6275634765625, 668.155029296875], [952.4081420898438, 683.9798583984375], [1033.9296875, 701.243408203125], [943.826904296875, 704.1206665039062], [981.0121459960938, 711.3137817382812], [973.8611450195312, 754.472412109375], [1025.348388671875, 767.4200439453125], [966.7100830078125, 823.5263671875], [1038.22021484375, 840.7899169921875], [1002.4651489257812, 832.1581420898438]]"
6,6,00:13:32,24368,10,top,smash,,,"[1022, 451]","[[1027.3475341796875, 416.8012390136719], [1033.080322265625, 412.5016174316406], [1024.481201171875, 411.06842041015625], [1040.2462158203125, 416.8012390136719], [1017.3151245117188, 412.5016174316406], [1044.5458984375, 435.4329833984375], [998.6835327148438, 431.1333312988281], [1057.4447021484375, 461.2308044433594], [980.052001953125, 456.93115234375], [1063.177490234375, 487.02862548828125], [971.4528198242188, 489.89501953125], [1030.2139892578125, 484.1622009277344], [997.2503051757812, 481.2957763671875], [1051.7119140625, 525.725341796875], [972.8859252929688, 525.725341796875], [1060.31103515625, 564.4220581054688], [947.0884399414062, 565.855224609375], [1003.6997375488281, 565.1386413574219]]","[[1172.4417724609375, 622.1093139648438], [1168.130126953125, 617.7951049804688], [1166.693115234375, 620.6712036132812], [1143.6981201171875, 642.2423095703125], [1162.3814697265625, 636.489990234375], [1149.44677734375, 678.194091796875], [1192.562255859375, 665.25146484375], [1227.0546875, 649.4326782226562], [1227.0546875, 649.4326782226562], [1232.8033447265625, 604.8524780273438], [1232.8033447265625, 604.8524780273438], [1166.693115234375, 763.040283203125], [1201.1854248046875, 761.6021118164062], [1148.0096435546875, 842.1341552734375], [1206.93408203125, 849.3245239257812], [1109.205810546875, 914.0376586914062], [1191.1251220703125, 929.8564453125], [1150.1654663085938, 921.9470520019531]]"
6,7,00:13:32,24386,13,bottom,defensive shot,,,"[705, 469]","[[808.3230590820312, 486.2007141113281], [809.7582397460938, 481.890625], [811.1932983398438, 484.7640380859375], [828.4148559570312, 480.4539489746094], [829.8500366210938, 477.58050537109375], [852.81201171875, 490.5108337402344], [811.1932983398438, 503.4411315917969], [795.4069213867188, 530.7384643554688], [795.4069213867188, 530.7384643554688], [771.0097045898438, 555.1624145507812], [768.1394653320312, 556.5990600585938], [887.255126953125, 520.6815185546875], [859.9877319335938, 520.6815185546875], [911.65234375, 537.9219970703125], [824.1094970703125, 532.1751708984375], [953.2710571289062, 569.5294189453125], [816.933837890625, 583.8964233398438], [885.1024475097656, 576.7129211425781]]","[[1056.12451171875, 698.77587890625], [1048.9527587890625, 697.3366088867188], [1056.12451171875, 693.0189208984375], [1027.4375, 701.654296875], [1054.6900634765625, 695.8973999023438], [1018.8314208984375, 737.6351928710938], [1077.6396484375, 720.3643798828125], [1005.9223022460938, 776.4945068359375], [1129.2762451171875, 743.3921508789062], [1024.56884765625, 772.1768188476562], [1140.7509765625, 777.9336547851562], [1071.9022216796875, 826.8676147460938], [1110.6297607421875, 815.353759765625], [1074.77099609375, 908.9039306640625], [1089.114501953125, 864.2877197265625], [1113.4984130859375, 962.1555786132812], [1099.1549072265625, 916.10009765625], [1106.32666015625, 939.1278381347656]]"
6,8,00:13:33,24415,10,top,lob,,,"[765, 413]","[[907.8740844726562, 410.1875305175781], [913.6026000976562, 405.8757629394531], [905.0098876953125, 405.8757629394531], [919.3311157226562, 405.8757629394531], [899.2813720703125, 405.8757629394531], [929.35595703125, 420.2483825683594], [884.9601440429688, 427.4347229003906], [946.5413818359375, 438.9328308105469], [867.7747192382812, 454.7427673339844], [957.998291015625, 461.9291076660156], [859.1820068359375, 487.79986572265625], [913.6026000976562, 474.8644714355469], [884.9601440429688, 477.739013671875], [936.5164794921875, 507.92156982421875], [882.095947265625, 520.8569946289062], [937.9486083984375, 555.351318359375], [872.0711059570312, 574.0357666015625], [905.0098571777344, 564.6935424804688]]","[[753.6215209960938, 630.8908081054688], [752.191650390625, 625.146484375], [755.0514526367188, 625.146484375], [755.0514526367188, 629.4547729492188], [780.7899780273438, 625.146484375], [769.3505859375, 655.3043823242188], [790.7993774414062, 645.2517700195312], [766.4907836914062, 681.1539916992188], [815.10791015625, 694.0787963867188], [737.8925170898438, 688.3344116210938], [739.3223876953125, 688.3344116210938], [790.7993774414062, 738.5975341796875], [819.3976440429688, 735.7254028320312], [745.0420532226562, 797.4772338867188], [753.6215209960938, 777.3720092773438], [795.089111328125, 819.0186157226562], [799.3788452148438, 819.0186157226562], [797.2339782714844, 819.0186157226562]]"
6,9,00:13:35,24462,13,bottom,clear,,,"[1175, 135]","[[1169.2542724609375, 374.780029296875], [1154.87255859375, 361.86724853515625], [1166.3779296875, 370.4757995605469], [1163.5015869140625, 371.9105529785156], [1162.0633544921875, 373.34527587890625], [1162.0633544921875, 391.9970703125], [1128.9857177734375, 374.780029296875], [1163.5015869140625, 416.38787841796875], [1100.22265625, 381.95379638671875], [1166.3779296875, 387.6928405761719], [1104.537109375, 412.0836181640625], [1134.7384033203125, 446.5177001953125], [1107.413330078125, 439.3439636230469], [1151.9962158203125, 478.0823059082031], [1081.5264892578125, 480.9517822265625], [1162.0633544921875, 518.25537109375], [1091.5936279296875, 505.3426208496094], [1126.8284912109375, 511.7989959716797]]","[[968.9397583007812, 633.0621948242188], [981.8382568359375, 627.3095092773438], [964.6401977539062, 627.3095092773438], [960.3407592773438, 631.6240234375], [990.437255859375, 631.6240234375], [947.4421997070312, 661.8260498046875], [1007.6353149414062, 660.3878784179688], [921.6451416015625, 697.7808837890625], [1040.5982666015625, 700.6572875976562], [913.046142578125, 732.2974853515625], [1050.6304931640625, 740.9266967773438], [960.3407592773438, 743.8030395507812], [1006.2022094726562, 743.8030395507812], [917.3455810546875, 795.5779418945312], [1049.197265625, 791.263427734375], [882.9495239257812, 861.7347412109375], [1086.459716796875, 863.1729736328125], [984.7046203613281, 862.453857421875]]"
6,10,00:13:36,24495,10,top,smash,,,"[1230, 465]","[[1025.2666015625, 407.4082336425781], [1030.999755859375, 403.0888977050781], [1020.9667358398438, 403.0888977050781], [1036.7327880859375, 405.9684753417969], [1013.80029296875, 404.5286560058594], [1046.765869140625, 424.68560791015625], [998.0341186523438, 423.245849609375], [1051.065673828125, 452.0414733886719], [980.834716796875, 446.2823791503906], [1059.6654052734375, 480.837158203125], [970.8018188476562, 476.517822265625], [1033.8662109375, 473.63824462890625], [1002.3340454101562, 472.198486328125], [1059.6654052734375, 508.1930236816406], [979.4014892578125, 509.6328125], [1076.8648681640625, 552.8262939453125], [952.1690673828125, 552.8262939453125], [1014.5169677734375, 552.8262939453125]]","[[1175.8814697265625, 639.6640625], [1171.5631103515625, 635.3507080078125], [1168.684326171875, 636.7885131835938], [1144.2139892578125, 654.0419311523438], [1165.8055419921875, 646.8529663085938], [1197.472900390625, 668.419677734375], [1173.002685546875, 681.3597412109375], [1250.7318115234375, 666.9818725585938], [1253.6107177734375, 665.5441284179688], [1220.5037841796875, 668.419677734375], [1203.230712890625, 678.484130859375], [1178.76025390625, 767.62646484375], [1198.912353515625, 774.8153686523438], [1165.8055419921875, 817.9487915039062], [1246.41357421875, 846.704345703125], [1112.5465087890625, 861.0820922851562], [1247.8529052734375, 922.9066162109375], [1180.19970703125, 891.9943542480469]]"
