rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
7,1,00:08:32,15368,18,top,short service,,,"[935, 562]","[[1035.29833984375, 364.51898193359375], [1038.177734375, 361.6477355957031], [1030.9793701171875, 361.6477355957031], [1042.496826171875, 361.6477355957031], [1025.220703125, 361.6477355957031], [1051.1348876953125, 377.4396057128906], [1016.5825805664062, 380.3108215332031], [1069.8507080078125, 393.2314453125], [1007.9444580078125, 396.1026611328125], [1071.2904052734375, 420.50823974609375], [1009.3842163085938, 413.33013916015625], [1048.2554931640625, 426.2507629394531], [1026.6602783203125, 426.2507629394531], [1055.453857421875, 459.2700500488281], [1025.220703125, 462.1412658691406], [1054.0142822265625, 486.5468444824219], [1023.7809448242188, 498.0318603515625], [1038.8976135253906, 492.2893524169922]]","[[928.6253662109375, 602.8218383789062], [921.4263305664062, 598.5203857421875], [924.3059692382812, 598.5203857421875], [922.8661499023438, 602.8218383789062], [945.9031982421875, 601.3880004882812], [918.546630859375, 627.1968383789062], [957.4217529296875, 624.3291625976562], [905.5883178710938, 627.1968383789062], [980.4589233398438, 627.1968383789062], [901.2688598632812, 614.2924194335938], [901.2688598632812, 617.1600341796875], [925.7457275390625, 698.8880615234375], [953.1023559570312, 697.4542846679688], [921.4263305664062, 746.2042236328125], [948.7828369140625, 739.0352172851562], [919.9864501953125, 793.5205078125], [945.9031982421875, 784.9175415039062], [932.94482421875, 789.2190246582031]]"
7,2,00:08:33,15390,15,bottom,net shot,,,"[1078, 469]","[[1034.8817138671875, 395.80694580078125], [1039.189208984375, 392.93695068359375], [1032.0101318359375, 391.501953125], [1043.49658203125, 397.2419128417969], [1026.2669677734375, 392.93695068359375], [1043.49658203125, 415.89678955078125], [1017.6520385742188, 410.1568298339844], [1044.9324951171875, 434.55169677734375], [1000.42236328125, 413.02679443359375], [1047.803955078125, 450.33660888671875], [990.3717041015625, 410.1568298339844], [1040.625, 463.2514953613281], [1023.395263671875, 461.8165283203125], [1043.49658203125, 494.8213195800781], [1014.7804565429688, 496.25634765625], [1042.060791015625, 533.5661010742188], [1032.0101318359375, 503.4312744140625], [1037.0354614257812, 518.4986877441406]]","[[932.35302734375, 604.884765625], [916.677001953125, 602.0062866210938], [945.1788940429688, 600.5670776367188], [918.1021728515625, 604.884765625], [942.3286743164062, 604.884765625], [913.826904296875, 632.2301025390625], [958.0046997070312, 627.9124145507812], [898.1508178710938, 653.818603515625], [972.2556762695312, 662.4539184570312], [883.8998413085938, 676.8462524414062], [982.2313232421875, 689.79931640625], [942.3286743164062, 704.1915893554688], [969.405517578125, 698.4346923828125], [922.37744140625, 751.6861572265625], [963.7051391601562, 724.3408203125], [929.5028686523438, 807.816162109375], [970.83056640625, 768.9569702148438], [950.1667175292969, 788.3865661621094]]"
7,3,00:08:33,15416,18,top,net shot,,,"[954, 498]","[[952.9186401367188, 383.7035217285156], [955.772705078125, 379.4062805175781], [948.637451171875, 380.83868408203125], [960.0538940429688, 379.4062805175781], [942.92919921875, 380.83868408203125], [968.6162109375, 395.16290283203125], [941.5021362304688, 399.460205078125], [982.8867797851562, 410.9195861816406], [931.5127563476562, 419.5141296386719], [1000.011474609375, 445.29779052734375], [918.6693115234375, 438.1356506347656], [982.8867797851562, 441.00054931640625], [962.907958984375, 441.00054931640625], [965.7621459960938, 473.9462585449219], [944.3562622070312, 471.0814514160156], [971.4702758789062, 511.1893005371094], [954.3456420898438, 496.8650817871094], [962.907958984375, 504.0271911621094]]","[[938.0427856445312, 569.3259887695312], [940.9116821289062, 566.4468383789062], [963.8631591796875, 570.7655639648438], [942.34619140625, 573.6447143554688], [955.2564086914062, 570.7655639648438], [939.4772338867188, 593.7987060546875], [956.6908569335938, 590.9196166992188], [928.0015869140625, 608.1944580078125], [928.0015869140625, 606.7549438476562], [910.7879028320312, 606.7549438476562], [907.9190063476562, 606.7549438476562], [942.34619140625, 657.1400146484375], [963.8631591796875, 654.2608032226562], [939.4772338867188, 711.84375], [932.3048706054688, 706.0855102539062], [963.8631591796875, 739.1956176757812], [972.469970703125, 742.0748291015625], [968.1665649414062, 740.6352233886719]]"
7,4,00:08:34,15442,15,bottom,lob,,,"[988, 403]","[[932.9336547851562, 446.39569091796875], [935.7713623046875, 442.10009765625], [930.0958251953125, 443.531982421875], [944.28466796875, 439.2364196777344], [928.677001953125, 443.531982421875], [954.2167358398438, 452.12310791015625], [930.0958251953125, 456.418701171875], [978.337646484375, 479.3283996582031], [923.00146484375, 466.44171142578125], [966.9866943359375, 503.6699523925781], [921.58251953125, 466.44171142578125], [969.8244018554688, 492.215087890625], [947.1223754882812, 492.215087890625], [959.8922729492188, 519.42041015625], [921.58251953125, 523.7159423828125], [965.5677490234375, 559.5123901367188], [920.1636962890625, 555.2168579101562], [942.86572265625, 557.3646240234375]]","[[936.7779541015625, 554.1414794921875], [931.0203857421875, 545.4933471679688], [933.899169921875, 549.8174438476562], [912.3082885742188, 559.906982421875], [935.3385620117188, 558.465576171875], [912.3082885742188, 587.2927856445312], [946.8536376953125, 577.2033081054688], [902.2326049804688, 616.1199951171875], [961.24755859375, 604.589111328125], [887.8386840820312, 629.09228515625], [972.7626953125, 629.09228515625], [948.2930297851562, 646.3886108398438], [965.5657348632812, 637.7404174804688], [919.5052490234375, 683.8639526367188], [945.4142456054688, 669.4503784179688], [916.62646484375, 741.5184326171875], [958.3687744140625, 704.0430297851562], [937.4976196289062, 722.7807312011719]]"
7,5,00:08:36,15486,18,top,smash,,,"[1160, 437]","[[984.642333984375, 371.13970947265625], [987.4844360351562, 368.2714538574219], [981.8001098632812, 368.2714538574219], [993.1688842773438, 366.83734130859375], [976.1157836914062, 366.83734130859375], [1000.2743530273438, 381.1785583496094], [966.1680908203125, 382.6127014160156], [1010.2219848632812, 398.3880920410156], [951.9572143554688, 398.3880920410156], [1017.3274536132812, 419.89996337890625], [944.8517456054688, 414.1634826660156], [993.1688842773438, 418.4658203125], [971.8524780273438, 418.4658203125], [1007.3797607421875, 450.0166015625], [961.9048461914062, 454.3189697265625], [1015.9063110351562, 484.4355773925781], [949.114990234375, 487.3038024902344], [982.5106506347656, 485.86968994140625]]","[[1099.372802734375, 660.0783081054688], [1097.9385986328125, 654.3213500976562], [1096.5042724609375, 655.7605590820312], [1074.989990234375, 658.6390380859375], [1089.332763671875, 662.956787109375], [1063.515625, 675.9099731445312], [1100.80712890625, 687.423828125], [1123.7557373046875, 685.984619140625], [1126.6243896484375, 687.423828125], [1159.6129150390625, 678.7884521484375], [1161.0472412109375, 678.7884521484375], [1090.76708984375, 755.068115234375], [1086.4642333984375, 759.3859252929688], [1109.4129638671875, 822.71240234375], [1109.4129638671875, 821.273193359375], [1086.4642333984375, 868.7681274414062], [994.6697998046875, 814.0770263671875], [1040.5670166015625, 841.4225769042969]]"
7,6,00:08:36,15499,15,bottom,defensive shot,,,"[1072, 365]","[[1046.214599609375, 386.1850280761719], [1047.6502685546875, 381.88800048828125], [1040.4720458984375, 380.4556579589844], [1050.521484375, 387.61737060546875], [1034.7296142578125, 380.4556579589844], [1050.521484375, 399.0760803222656], [1021.8090209960938, 394.779052734375], [1070.6202392578125, 411.9671325683594], [1007.4527587890625, 401.94073486328125], [1096.4615478515625, 424.85821533203125], [1017.5021362304688, 410.5348205566406], [1028.987060546875, 432.0198974609375], [1007.4527587890625, 433.4522705078125], [1053.392822265625, 449.2079772949219], [990.2252197265625, 463.5313720703125], [1056.2640380859375, 485.0164794921875], [958.6414794921875, 480.7194519042969], [1007.4527587890625, 482.8679656982422]]","[[1112.60302734375, 718.64501953125], [1116.90673828125, 715.7622680664062], [1108.29931640625, 717.20361328125], [1099.6920166015625, 709.9966430664062], [1125.5140380859375, 709.9966430664062], [1085.3463134765625, 738.82470703125], [1135.5560302734375, 740.2661743164062], [1055.220458984375, 756.12158203125], [1142.7288818359375, 780.62548828125], [1039.4403076171875, 734.50048828125], [1148.4671630859375, 812.33642578125], [1093.9537353515625, 809.4535522460938], [1125.5140380859375, 810.8949584960938], [1069.566162109375, 836.84033203125], [1069.566162109375, 836.84033203125], [1072.435302734375, 894.4964599609375], [1151.336181640625, 927.6488037109375], [1111.8857421875, 911.0726318359375]]"
7,7,00:08:37,15529,18,top,push/rush,,,"[769, 465]","[[942.9637451171875, 351.81634521484375], [945.795166015625, 347.5035095214844], [938.7166748046875, 347.5035095214844], [950.0422973632812, 348.9411315917969], [934.4695434570312, 348.9411315917969], [961.367919921875, 366.1924743652344], [930.222412109375, 367.6300964355469], [976.940673828125, 384.8814697265625], [924.5596313476562, 384.8814697265625], [985.4349365234375, 412.1961364746094], [914.649658203125, 402.1328125], [965.6150512695312, 410.758544921875], [947.2108764648438, 410.758544921875], [952.8737182617188, 442.38604736328125], [934.4695434570312, 433.7603454589844], [965.6150512695312, 481.20159912109375], [940.13232421875, 474.0135192871094], [952.8736877441406, 477.60755920410156]]","[[888.0271606445312, 602.61328125], [892.3092041015625, 601.1714477539062], [889.4545288085938, 598.2877807617188], [898.0186157226562, 606.938720703125], [906.5827026367188, 606.938720703125], [893.736572265625, 630.0078735351562], [895.1639404296875, 624.2406005859375], [902.3006591796875, 650.1934204101562], [880.8904418945312, 606.938720703125], [898.0186157226562, 648.7515869140625], [868.0443725585938, 598.2877807617188], [905.1553344726562, 684.7972412109375], [893.736572265625, 680.4717407226562], [900.873291015625, 739.5865478515625], [878.0357055664062, 700.6572875976562], [905.1553344726562, 728.0519409179688], [863.7623291015625, 729.4937744140625], [884.4588317871094, 728.7728576660156]]"
7,8,00:08:38,15546,15,bottom,defensive shot,,,"[827, 339]","[[839.9950561523438, 364.8014221191406], [842.848876953125, 359.0721435546875], [838.5681762695312, 361.9367980957031], [851.4103393554688, 359.0721435546875], [857.1180419921875, 357.6398010253906], [851.4103393554688, 381.9893493652344], [869.9602661132812, 369.0984191894531], [830.0067138671875, 389.1510009765625], [888.5101318359375, 373.3954162597656], [790.0531616210938, 394.88031005859375], [911.3406982421875, 374.8277282714844], [891.3639526367188, 417.79754638671875], [901.3523559570312, 409.20355224609375], [855.691162109375, 437.8501281738281], [887.0831909179688, 443.5794372558594], [852.8372802734375, 473.6583251953125], [909.913818359375, 476.5229187011719], [881.3755493164062, 475.0906219482422]]","[[870.6592407226562, 580.3396606445312], [874.9530639648438, 576.0150756835938], [864.9342041015625, 576.0150756835938], [859.2091674804688, 584.6641845703125], [882.1093139648438, 583.22265625], [857.77783203125, 610.611572265625], [894.99072265625, 606.2870483398438], [846.3277587890625, 638.0005493164062], [907.8720092773438, 633.6759643554688], [826.2901000976562, 636.5590209960938], [916.459716796875, 659.6234130859375], [877.8156127929688, 675.4801635742188], [899.2844848632812, 671.1555786132812], [867.7966918945312, 731.6995239257812], [893.5594482421875, 705.7521362304688], [900.7157592773438, 776.3867797851562], [890.6968994140625, 744.6732788085938], [895.7063293457031, 760.530029296875]]"
7,9,00:08:39,15573,18,top,smash,,,"[1149, 427]","[[905.3800048828125, 356.38818359375], [908.23193359375, 350.6717529296875], [902.5278930664062, 352.1008605957031], [913.9359130859375, 352.1008605957031], [896.823974609375, 353.52996826171875], [925.3438720703125, 367.821044921875], [892.5459594726562, 369.2501525878906], [941.02978515625, 383.5412292480469], [883.9900512695312, 386.39947509765625], [952.437744140625, 403.5487365722656], [881.1380615234375, 404.9778747558594], [932.473876953125, 407.8360900878906], [909.6578979492188, 409.2652282714844], [945.3077392578125, 439.2764587402344], [898.25, 437.8473815917969], [949.5857543945312, 470.71685791015625], [883.9900512695312, 472.14599609375], [916.7879028320312, 471.4314270019531]]","[[1027.4173583984375, 588.8925170898438], [1018.8350830078125, 580.2435913085938], [1015.9743041992188, 586.009521484375], [1003.100830078125, 596.0999145507812], [1008.8223266601562, 594.658447265625], [1010.2527465820312, 611.956298828125], [1025.9869384765625, 616.2807006835938], [1048.8731689453125, 603.307373046875], [1068.8984375, 593.2169799804688], [1093.2149658203125, 577.360595703125], [1093.2149658203125, 575.9191284179688], [1000.2400512695312, 679.7061157226562], [1015.9743041992188, 685.4720458984375], [995.9488525390625, 715.7432861328125], [1025.9869384765625, 744.572998046875], [971.63232421875, 760.4293212890625], [1007.3920288085938, 793.58349609375], [989.5121765136719, 777.0064086914062]]"
7,10,00:08:39,15587,15,bottom,defensive shot,not pass over the net,18.0,"[1179, 431]","[[1079.7286376953125, 421.2885437011719], [1081.1651611328125, 418.4333190917969], [1076.85546875, 417.0056457519531], [1073.9822998046875, 434.1373596191406], [1069.6724853515625, 417.0056457519531], [1072.545654296875, 436.9926452636719], [1050.9970703125, 426.9991149902344], [1062.48974609375, 465.54547119140625], [1062.48974609375, 462.690185546875], [1007.8997802734375, 415.5780334472656], [1095.531005859375, 451.26904296875], [1020.8289794921875, 451.26904296875], [1010.77294921875, 442.7032165527344], [983.47802734375, 474.111328125], [983.47802734375, 474.111328125], [1071.109130859375, 488.38775634765625], [947.5635986328125, 476.96661376953125], [1009.3363647460938, 482.67718505859375]]","[[1095.1292724609375, 621.2669067382812], [1096.551025390625, 621.2669067382812], [1120.72216796875, 635.6591186523438], [1096.551025390625, 634.2198486328125], [1119.30029296875, 638.5375366210938], [1085.1763916015625, 647.1728515625], [1110.7694091796875, 673.0787963867188], [1065.2706298828125, 647.1728515625], [1105.08203125, 710.4984741210938], [1078.0672607421875, 625.5845947265625], [1112.191162109375, 739.2827758789062], [1069.5361328125, 716.2553100585938], [1089.44189453125, 729.208251953125], [1079.489013671875, 746.4788208007812], [1106.50390625, 778.1416625976562], [1052.4742431640625, 792.5338134765625], [1095.1292724609375, 834.2711791992188], [1073.8017578125, 813.4024963378906]]"
