rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
35,1,00:27:49,50081,19,16,23,1,short service,0.0,1,2.0,7,0.5524390243902441,-0.5171354166666667,,,8,167.7,675.45,8,219.8,296.99,1,28,2297
35,2,00:27:49,50093,19,16,2,2,net shot,0.0,1,2.0,2,-1.0609756097560976,0.37625,,,7,199.4,392.24,8,174.1,652.29,1,28,2297
35,3,00:27:50,50117,19,16,23,2,lob,0.0,1,1.0,9,0.8170731707317073,-1.3969270833333336,,,7,115.2,583.99,7,152.7,366.57,1,28,2297
35,4,00:27:51,50154,19,16,2,2,clear,1.0,0,1.0,3,1.0439024390243905,1.5234375,,,8,192.7,221.98,8,178.8,670.31,1,28,2297
35,5,00:27:53,50194,19,16,23,2,drop,0.0,0,2.0,1,-0.875609756097561,-0.3135937499999999,,,9,251.6,778.65,8,176.7,290.01,1,28,2297
35,6,00:27:54,50220,19,16,2,2,net shot,0.0,0,2.0,2,-1.3658536585365857,0.3399999999999998,,,7,113.2,401.61,8,200.3,740.38,1,28,2297
35,7,00:27:54,50249,19,16,23,2,net shot,0.0,1,2.0,1,-1.3365853658536584,-0.1015104166666667,,,2,91.1,575.44,7,127.9,396.47,1,28,2297
35,8,00:27:55,50275,19,16,2,2,lob,0.0,0,1.0,9,0.2329268292682926,1.6499479166666664,,,1,94.4,440.4,8,130.4,614.06,1,28,2297
35,9,00:27:58,50342,19,16,23,2,clear,0.0,0,1.0,5,-1.076829268292683,-1.34,,,10,168.3,811.54,8,162.2,320.3,1,28,2297
35,10,00:27:59,50376,19,16,2,2,drop,0.0,0,2.0,7,0.823170731707317,0.5866145833333333,,,5,92.0,246.85,8,170.4,716.07,1,28,2297
35,11,00:28:00,50401,19,16,23,2,push/rush,0.0,0,1.0,6,1.0390243902439025,-1.251875,,,8,209.5,637.99,8,141.4,289.38,1,28,2297
35,12,00:28:00,50423,19,16,2,2,drop,1.0,0,2.0,1,1.1987804878048782,0.5457291666666665,,,8,190.4,264.93,8,206.2,677.69,1,28,2297
35,13,00:28:01,50446,19,16,23,2,net shot,0.0,0,2.0,1,-1.2036585365853658,-0.1932291666666667,,,8,243.2,642.16,8,223.9,303.21,1,28,2297
35,14,00:28:02,50478,19,16,2,2,lob,0.0,0,1.0,6,-0.9146341463414634,1.45,,,1,96.8,414.62,8,172.1,637.49,1,28,2297
35,15,00:28:03,50509,19,16,23,3,drop,1.0,0,2.0,6,1.395121951219512,-0.5848958333333334,opponent's ball landed,2.0,8,106.0,756.19,8,132.0,343.36,1,28,2297
