rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
12,1,00:36:25,65559,7,5,8,1,short service,0.0,1,2.0,7,-0.5402439024390245,0.6648958333333331,,,8,183.2,324.42,8,125.4,674.12,2,53,4540
12,2,00:36:25,65575,7,5,2,2,lob,0.0,1,1.0,3,-1.0060975609756098,-1.51375,,,8,137.1,603.93,8,179.7,324.44,2,53,4540
12,3,00:36:27,65610,7,5,8,2,clear,0.0,0,1.0,6,-1.303658536585366,1.4931249999999998,,,9,104.4,197.86,8,166.6,658.96,2,53,4540
12,4,00:36:27,65638,7,5,2,2,clear,1.0,0,1.0,3,-1.0085365853658537,-1.46515625,,,8,117.9,728.08,8,131.2,244.65,2,53,4540
12,5,00:36:29,65683,7,5,8,2,clear,0.0,0,2.0,5,1.5109756097560971,1.4495312499999995,,,3,103.6,182.52,8,162.5,657.61,2,53,4540
12,6,00:36:30,65720,7,5,2,2,drive,0.0,0,2.0,6,1.30609756097561,-0.6940624999999999,,,5,265.9,743.28,8,171.0,280.3,2,53,4540
12,7,00:36:31,65745,7,5,8,2,push/rush,0.0,1,1.0,4,-1.052439024390244,1.638333333333333,,,8,247.9,348.64,8,220.8,689.15,2,53,4540
12,8,00:36:32,65781,7,5,2,2,drop,1.0,0,2.0,5,-1.3207317073170732,-0.5976041666666667,,,8,140.7,749.81,8,162.7,296.3,2,53,4540
12,9,00:36:33,65805,7,5,8,2,net shot,0.0,0,2.0,1,1.229268292682927,0.3210416666666666,,,5,80.3,320.06,8,138.1,726.76,2,53,4540
12,10,00:36:34,65837,7,5,2,2,push/rush,0.0,0,1.0,4,1.253658536585366,-1.487552083333333,,,7,241.5,553.15,8,164.8,336.99,2,53,4540
12,11,00:36:35,65868,7,5,8,2,clear,0.0,1,1.0,8,0.6329268292682928,1.4463020833333335,,,6,253.7,220.77,8,217.5,628.86,2,53,4540
12,12,00:36:36,65901,7,5,2,2,drop,0.0,0,2.0,8,-0.8439024390243903,-0.7661979166666667,,,8,224.1,724.97,8,178.1,272.14,2,53,4540
12,13,00:36:37,65918,7,5,8,2,net shot,0.0,0,2.0,2,-1.4097560975609755,0.5929687500000002,,,8,130.0,285.93,8,223.8,742.43,2,53,4540
12,14,00:36:38,65953,7,5,2,2,push/rush,0.0,1,1.0,3,-1.2878048780487803,-1.51296875,,,6,87.8,601.19,8,146.5,293.78,2,53,4540
12,15,00:36:39,65989,7,5,8,2,smash,0.0,0,1.0,4,-1.1524390243902438,1.6816666666666666,,,3,89.8,182.61,8,144.9,661.85,2,53,4540
12,16,00:36:40,66020,7,5,2,2,drop,1.0,0,1.0,1,-1.1609756097560977,-0.2988020833333333,,,8,124.1,741.99,8,132.4,275.15,2,53,4540
12,17,00:36:41,66049,7,5,8,2,net shot,0.0,0,2.0,2,-1.154878048780488,0.3187500000000002,,,1,99.9,393.95,8,132.1,712.35,2,53,4540
12,18,00:36:42,66076,7,5,2,2,lob,0.0,1,1.0,3,-1.2317073170731707,-1.5131249999999998,,,2,93.5,547.34,7,129.9,380.09,2,53,4540
12,19,00:36:44,66121,7,5,8,3,clear,0.0,0,2.0,10,-1.4914634146341463,1.81671875,out,2.0,3,94.6,197.93,8,142.6,632.29,2,53,4540
