rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
26,1,00:23:25,42179,16,10,7,1,short service,0.0,1,2.0,7,-0.4439024390243903,-0.4951041666666667,,,8,180.0,657.48,8,128.3,300.59,1,12,955
26,2,00:23:26,42204,16,10,2,2,push/rush,0.0,1,1.0,6,-0.9048780487804878,0.8999479166666665,,,7,128.6,369.67,8,183.5,666.96,1,12,955
26,3,00:23:27,42222,16,10,7,2,clear,0.0,1,1.0,8,-0.5621951219512195,-1.3462500000000002,,,8,159.7,657.6,7,127.9,412.52,1,12,955
26,4,00:23:28,42257,16,10,2,2,drop,0.0,0,2.0,6,-1.223170731707317,0.6678645833333334,,,8,127.3,223.31,8,167.2,678.99,1,12,955
26,5,00:23:29,42281,16,10,7,2,net shot,0.0,1,2.0,5,-1.3207317073170732,-0.5539583333333334,,,6,99.1,644.05,8,147.0,265.7,1,12,955
26,6,00:23:30,42307,16,10,2,2,net shot,0.0,0,2.0,7,-0.0829268292682928,0.4093750000000001,,,5,102.5,346.02,8,144.0,694.58,1,12,955
26,7,00:23:31,42331,16,10,7,2,lob,0.0,1,1.0,8,0.6158536585365854,-1.3339583333333334,,,8,174.1,627.82,8,148.1,331.0,1,12,955
26,8,00:23:32,42367,16,10,2,2,smash,1.0,0,2.0,5,1.419512195121951,1.0728645833333337,,,8,179.3,243.15,8,187.9,708.03,1,12,955
26,9,00:23:32,42385,16,10,7,2,defensive shot,0.0,0,2.0,2,1.2195121951219512,-0.3227083333333332,,,8,244.3,682.45,8,177.0,228.81,1,12,955
26,10,00:23:33,42413,16,10,2,2,net shot,0.0,1,2.0,1,1.4414634146341463,0.3784895833333331,,,7,249.5,375.89,8,212.7,696.69,1,12,955
26,11,00:23:34,42446,16,10,7,2,lob,0.0,0,1.0,4,1.3073170731707315,-1.4300520833333332,,,1,260.7,584.67,8,233.3,352.44,1,12,955
26,12,00:23:36,42494,16,10,2,2,drop,1.0,0,2.0,5,1.180487804878049,0.7259375,,,6,256.8,228.3,8,196.0,677.51,1,12,955
26,13,00:23:37,42513,16,10,7,2,push/rush,0.0,0,1.0,3,-1.0463414634146342,-1.4077083333333331,,,8,240.5,679.86,8,230.0,234.25,1,12,955
26,14,00:23:38,42547,16,10,2,2,drop,0.0,0,2.0,2,-1.0841463414634147,0.4562500000000001,,,5,101.3,223.47,8,186.4,710.49,1,12,955
26,15,00:23:39,42573,16,10,7,2,lob,0.0,1,1.0,3,-1.0402439024390244,-1.4235937500000002,,,6,85.7,649.74,8,137.1,331.07,1,12,955
26,16,00:23:40,42607,16,10,2,2,smash,0.0,0,2.0,6,-1.0890243902439023,1.1269791666666666,,,8,110.9,208.63,8,152.5,686.87,1,12,955
26,17,00:23:40,42622,16,10,7,2,defensive shot,0.0,1,1.0,7,-0.6195121951219512,-0.4825520833333332,,,8,197.3,689.17,8,117.8,226.29,1,12,955
26,18,00:23:41,42644,16,10,2,3,push/rush,0.0,0,2.0,8,0.0804878048780487,1.1442708333333336,opponent's ball landed,2.0,1,101.0,383.7,8,172.8,690.59,1,12,955
