rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
13,1,00:16:27,29627,6,7,2,1,short service,0.0,1,2.0,7,-0.2548780487804878,0.4841666666666668,,,8,184.6,326.75,8,135.1,665.42,1,31,2517
13,2,00:16:28,29652,6,7,14,2,lob,0.0,0,1.0,4,0.9378048780487804,-1.4428645833333331,,,7,131.8,573.25,8,180.3,319.47,1,31,2517
13,3,00:16:29,29684,6,7,2,2,clear,0.0,0,1.0,5,1.0597560975609754,1.3778125,,,8,194.8,226.58,8,183.9,651.59,1,31,2517
13,4,00:16:30,29711,6,7,14,2,drop,0.0,0,2.0,8,0.3256097560975608,-0.8733333333333334,,,5,254.1,749.46,8,199.8,234.57,1,31,2517
13,5,00:16:30,29728,6,7,2,2,lob,0.0,1,1.0,6,-1.1536585365853658,1.3492187499999997,,,8,166.2,317.22,8,221.6,743.93,1,31,2517
13,6,00:16:32,29763,6,7,14,2,drop,0.0,0,1.0,7,-0.5060975609756098,-0.3369270833333333,,,8,112.2,722.64,8,149.2,300.08,1,31,2517
13,7,00:16:33,29793,6,7,2,2,push/rush,0.0,0,2.0,8,-0.0121951219512195,1.0395833333333335,,,7,141.0,386.35,8,135.7,705.42,1,31,2517
13,8,00:16:33,29804,6,7,14,2,defensive shot,0.0,1,2.0,2,0.9682926829268294,-0.4282291666666668,,,8,185.9,677.86,7,141.4,384.05,1,31,2517
13,9,00:16:34,29825,6,7,2,2,lob,0.0,1,1.0,3,1.232926829268293,1.523020833333333,,,8,233.2,361.91,8,210.5,680.79,1,31,2517
13,10,00:16:35,29859,6,7,14,2,drop,0.0,0,2.0,1,-1.1865853658536585,-0.2747916666666666,,,9,249.6,779.7,8,192.3,316.85,1,31,2517
13,11,00:16:36,29886,6,7,2,2,lob,0.0,0,1.0,6,-1.0085365853658537,1.4267187499999998,,,1,101.8,375.39,8,198.1,715.54,1,31,2517
13,12,00:16:37,29919,6,7,14,2,clear,0.0,0,1.0,6,1.3585365853658533,-1.3159375,,,8,109.9,746.66,8,132.5,334.77,1,31,2517
13,13,00:16:38,29955,6,7,2,2,drop,0.0,0,2.0,6,-0.9426829268292682,0.6785937499999998,,,8,209.0,229.06,8,172.8,711.2,1,31,2517
13,14,00:16:39,29975,6,7,14,2,net shot,0.0,1,2.0,1,-0.8707317073170733,-0.3114583333333334,,,8,122.0,632.02,6,255.6,212.07,1,31,2517
13,15,00:16:40,30009,6,7,2,3,lob,0.0,0,2.0,10,-1.1621951219512194,1.8171875,out,14.0,7,115.7,382.12,8,138.3,633.54,1,31,2517
