rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
15,1,00:32:27,58430,10,5,14,1,long service,0.0,0,1.0,9,0.8646341463414635,-1.4692708333333335,,,8,168.8,615.16,8,238.4,213.33,2,35,2866
15,2,00:32:29,58497,10,5,2,2,smash,0.0,0,2.0,5,1.124390243902439,0.8890104166666669,,,9,247.2,161.67,8,200.9,674.08,2,35,2866
15,3,00:32:30,58512,10,5,14,2,defensive shot,0.0,0,1.0,6,0.9695121951219512,-1.3508854166666666,,,8,219.9,677.65,8,228.1,232.84,2,35,2866
15,4,00:32:31,58547,10,5,2,2,clear,1.0,0,1.0,5,1.4573170731707317,1.1708333333333332,,,8,215.3,207.83,8,209.9,672.29,2,35,2866
15,5,00:32:32,58576,10,5,14,2,smash,0.0,0,2.0,6,1.2207317073170734,-1.09296875,,,8,247.4,703.94,8,193.2,233.01,2,35,2866
15,6,00:32:32,58589,10,5,2,2,defensive shot,0.0,1,2.0,7,-0.2865853658536585,0.4549479166666668,,,8,173.7,268.35,10,309.0,759.24,2,35,2866
15,7,00:32:34,58622,10,5,14,2,net shot,0.0,1,2.0,7,-0.8585365853658538,-0.304375,,,7,169.2,588.17,8,162.0,268.4,2,35,2866
15,8,00:32:35,58650,10,5,2,2,net shot,0.0,0,2.0,1,-0.9402439024390244,0.0722916666666666,,,7,116.5,382.45,8,155.8,615.16,2,35,2866
15,9,00:32:35,58676,10,5,14,2,lob,0.0,1,2.0,6,1.2402439024390242,-1.2930729166666668,,,7,112.5,515.15,8,137.4,360.55,2,35,2866
15,10,00:32:37,58712,10,5,2,2,drop,0.0,1,2.0,1,1.1341463414634143,0.4119270833333335,,,9,241.4,202.04,8,178.7,624.61,2,35,2866
15,11,00:32:38,58742,10,5,14,3,lob,0.0,0,2.0,3,-1.303658536585366,-1.63078125,opponent's ball landed,14.0,7,239.0,588.13,8,183.4,265.63,2,35,2866
