rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
7,1,00:35:28,63850,4,3,14,1,long service,0.0,0,1.0,9,0.8914634146341462,-1.5451562499999998,,,8,170.9,616.83,8,232.1,250.56,2,10,833
7,2,00:35:30,63913,4,3,2,2,clear,0.0,0,1.0,8,0.8646341463414635,1.4859374999999997,,,9,241.4,163.52,8,193.1,677.44,2,10,833
7,3,00:35:31,63946,4,3,14,2,smash,0.0,0,2.0,6,1.1524390243902438,-0.9213541666666666,,,9,224.1,765.44,8,198.8,279.51,2,10,833
7,4,00:35:31,63959,4,3,2,2,defensive shot,0.0,1,2.0,1,1.0390243902439025,0.2844270833333334,,,8,169.0,304.47,5,261.4,755.32,2,10,833
7,5,00:35:33,63990,4,3,14,2,lob,0.0,0,1.0,3,-0.9768292682926828,-1.4708333333333332,,,7,245.7,585.0,8,191.4,303.96,2,10,833
7,6,00:35:34,64032,4,3,2,2,smash,0.0,0,2.0,6,-1.1182926829268294,0.8800000000000002,,,9,133.0,169.81,8,189.3,655.27,2,10,833
7,7,00:35:34,64048,4,3,14,2,defensive shot,0.0,1,1.0,7,-0.7463414634146341,-0.1912500000000001,,,8,178.1,645.97,3,102.6,187.83,2,10,833
7,8,00:35:35,64068,4,3,2,2,push/rush,0.0,0,1.0,6,-1.3646341463414635,1.09703125,,,8,123.0,357.65,8,146.8,636.86,2,10,833
7,9,00:35:36,64084,4,3,14,2,defensive shot,0.0,1,2.0,1,-1.1804878048780487,-0.2956249999999999,,,8,163.0,650.02,8,120.9,311.53,2,10,833
7,10,00:35:37,64110,4,3,2,3,push/rush,0.0,0,2.0,3,0.9878048780487804,1.7758333333333336,out,14.0,8,111.5,340.89,8,143.2,665.35,2,10,833
