rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
26,1,00:22:09,39877,16,10,14,1,long service,0.0,0,1.0,4,-1.1792682926829268,1.5264583333333337,,,8,185.0,343.09,8,126.6,705.34,1,33,2666
26,2,00:22:11,39940,16,10,16,2,clear,0.0,0,1.0,5,-1.0707317073170732,-1.331875,,,4,85.9,781.45,8,155.6,289.34,1,33,2666
26,3,00:22:12,39966,16,10,14,2,smash,0.0,0,2.0,6,-0.8902439024390244,0.7044270833333334,,,9,120.9,185.77,8,131.6,714.59,1,33,2666
26,4,00:22:12,39988,16,10,16,2,net shot,0.0,1,1.0,7,0.6902439024390243,-0.3819270833333332,,,8,105.9,638.76,5,95.6,222.06,1,33,2666
26,5,00:22:13,40018,16,10,14,2,push/rush,0.0,1,1.0,8,-0.8475609756097561,1.1103645833333335,,,7,199.5,378.11,8,169.6,663.12,1,33,2666
26,6,00:22:14,40049,16,10,16,2,smash,1.0,0,2.0,5,-1.1682926829268292,-0.90640625,,,8,149.3,698.8,8,169.4,306.71,1,33,2666
26,7,00:22:15,40064,16,10,14,2,defensive shot,0.0,0,2.0,2,-0.9682926829268294,0.3572395833333335,,,8,130.1,282.08,8,139.7,711.41,1,33,2666
26,8,00:22:16,40091,16,10,16,2,lob,0.0,1,1.0,4,1.330487804878049,-1.3760416666666666,,,7,117.9,567.5,8,126.0,294.82,1,33,2666
26,9,00:22:17,40134,16,10,14,2,smash,1.0,0,2.0,5,1.1231707317073174,0.83984375,,,9,236.9,184.0,8,201.0,646.08,1,33,2666
26,10,00:22:18,40153,16,10,16,2,defensive shot,0.0,0,2.0,2,1.0573170731707315,-0.2559895833333332,,,5,255.9,660.44,8,228.5,217.35,1,33,2666
26,11,00:22:19,40185,16,10,14,2,lob,0.0,1,1.0,5,1.1963414634146343,1.3764062499999998,,,7,239.8,382.16,8,204.4,629.01,1,33,2666
26,12,00:22:20,40223,16,10,16,3,smash,0.0,0,2.0,10,1.6085365853658533,-1.1802083333333333,out,14.0,8,236.3,746.6,8,195.2,286.23,1,33,2666
