rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
2,1,00:28:18,50940,1,1,14,1,long service,0.0,0,1.0,4,-0.975609756097561,1.5454166666666669,,,8,183.7,350.29,8,122.8,706.56,2,36,2921
2,2,00:28:20,51004,1,1,16,2,drop,0.0,0,2.0,5,-1.4146341463414631,-0.7270833333333334,,,4,96.2,782.53,8,156.7,286.37,2,36,2921
2,3,00:28:20,51026,1,1,14,2,net shot,0.0,0,2.0,2,-1.1487804878048782,0.2643229166666667,,,5,83.9,294.19,8,128.2,720.26,2,36,2921
2,4,00:28:21,51053,1,1,16,2,net shot,0.0,1,2.0,1,-1.126829268292683,-0.1763020833333334,,,2,100.6,542.08,8,130.9,302.09,2,36,2921
2,5,00:28:22,51079,1,1,14,2,lob,0.0,0,1.0,6,-1.2036585365853658,1.4459375,,,7,107.2,411.9,8,124.0,601.03,2,36,2921
2,6,00:28:23,51118,1,1,16,2,clear,0.0,0,1.0,4,1.398780487804878,-1.4085416666666666,,,8,116.9,745.55,8,151.1,313.5,2,36,2921
2,7,00:28:25,51160,1,1,14,2,smash,0.0,0,2.0,5,1.4268292682926829,1.02546875,,,9,222.0,201.64,8,185.3,703.68,2,36,2921
2,8,00:28:25,51178,1,1,16,2,defensive shot,0.0,0,2.0,2,1.4243902439024392,-0.4335416666666667,,,5,257.4,668.23,8,238.2,237.38,2,36,2921
2,9,00:28:26,51203,1,1,14,2,lob,0.0,1,1.0,3,1.2231707317073173,1.6674999999999998,,,6,266.1,362.4,8,224.9,657.69,2,36,2921
2,10,00:28:28,51248,1,1,16,2,drop,0.0,0,2.0,6,1.4914634146341466,-0.5776041666666666,,,9,248.7,787.61,8,198.9,285.35,2,36,2921
2,11,00:28:29,51270,1,1,14,2,net shot,0.0,1,2.0,2,-1.052439024390244,0.4152604166666667,,,6,264.5,316.71,9,212.5,758.47,2,36,2921
2,12,00:28:29,51298,1,1,16,2,lob,0.0,1,1.0,3,-0.8792682926829267,-1.5259895833333337,,,7,115.6,574.22,8,196.5,288.45,2,36,2921
2,13,00:28:31,51338,1,1,14,2,smash,0.0,0,2.0,6,-1.0597560975609757,0.9477083333333336,,,9,117.4,170.17,8,188.6,654.62,2,36,2921
2,14,00:28:32,51368,1,1,16,2,defensive shot,0.0,1,2.0,1,-1.181707317073171,-0.2835937499999999,,,8,179.2,658.55,8,144.9,220.18,2,36,2921
2,15,00:28:33,51397,1,1,14,2,lob,0.0,0,1.0,6,-1.0817073170731708,1.3758333333333332,,,1,94.5,388.24,8,157.1,645.74,2,36,2921
2,16,00:28:34,51424,1,1,16,2,smash,0.0,0,2.0,5,-1.3317073170731708,-0.8820833333333334,,,8,132.0,711.6,8,137.6,339.98,2,36,2921
2,17,00:28:34,51439,1,1,14,2,defensive shot,0.0,0,2.0,2,-1.1414634146341462,0.3116145833333335,,,8,131.9,296.05,8,128.3,735.43,2,36,2921
2,18,00:28:35,51470,1,1,16,2,lob,0.0,1,1.0,9,-0.3853658536585365,-1.5494791666666667,,,2,97.3,557.46,8,115.3,293.43,2,36,2921
2,19,00:28:37,51520,1,1,14,2,smash,0.0,0,2.0,6,-1.0914634146341464,0.9971354166666668,,,9,152.4,179.64,8,170.7,637.8,2,36,2921
2,20,00:28:37,51536,1,1,16,2,defensive shot,0.0,1,2.0,1,-1.130487804878049,-0.3528645833333333,,,8,188.9,663.96,9,137.8,203.77,2,36,2921
2,21,00:28:38,51563,1,1,14,3,net shot,0.0,0,2.0,10,-1.5463414634146342,0.3502604166666667,out,14.0,7,106.8,374.34,8,138.7,644.18,2,36,2921
