rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
35,1,01:06:28,119664,18,17,9,1,long service,0.0,1,1.0,8,-0.7658536585365854,1.3834375,,,8,182.1,335.49,8,125.3,679.32,3,7,636
35,2,01:06:29,119696,18,17,10,2,smash,1.0,0,2.0,8,-0.6841463414634146,-0.9246354166666664,,,8,138.9,755.51,8,140.4,287.3,3,7,636
35,3,01:06:30,119710,18,17,9,2,defensive shot,0.0,0,2.0,1,1.0573170731707315,0.5001041666666666,,,8,133.8,269.89,8,176.7,740.12,3,7,636
35,4,01:06:31,119735,18,17,10,2,net shot,0.0,0,2.0,8,-0.7134146341463414,-0.5703645833333333,,,8,231.0,619.32,8,161.7,260.2,3,7,636
35,5,01:06:32,119761,18,17,9,2,net shot,0.0,0,2.0,2,-1.1682926829268292,0.2745312500000001,,,8,144.4,337.31,8,196.0,623.68,3,7,636
35,6,01:06:32,119787,18,17,10,2,lob,0.0,1,1.0,4,1.1097560975609757,-1.5259375000000002,,,7,108.6,555.88,8,148.2,311.56,3,7,636
35,7,01:06:34,119824,18,17,9,2,smash,1.0,0,2.0,5,1.2792682926829266,1.1836458333333333,,,9,222.0,173.44,8,201.2,665.43,3,7,636
35,8,01:06:34,119837,18,17,10,2,defensive shot,0.0,0,1.0,2,1.007317073170732,-0.3770833333333332,,,8,230.6,690.78,9,248.1,179.33,3,7,636
35,9,01:06:35,119860,18,17,9,2,net shot,0.0,1,2.0,2,-1.2036585365853658,0.3780208333333335,,,6,251.7,345.6,5,259.4,698.31,3,7,636
35,10,01:06:36,119886,18,17,10,2,lob,0.0,1,1.0,9,0.6902439024390243,-1.485,,,2,98.6,593.23,8,198.4,278.2,3,7,636
35,11,01:06:37,119930,18,17,9,2,smash,1.0,0,2.0,6,-1.0621951219512191,1.12625,,,9,209.7,164.88,8,193.0,672.78,3,7,636
35,12,01:06:38,119944,18,17,10,2,defensive shot,0.0,1,2.0,5,-1.1158536585365857,-0.7892187499999999,,,8,134.8,696.79,9,221.9,178.99,3,7,636
35,13,01:06:39,119978,18,17,9,2,lob,0.0,0,1.0,6,-1.318292682926829,1.2951041666666665,,,8,121.7,337.02,8,154.3,651.24,3,7,636
35,14,01:06:40,120003,18,17,10,2,smash,1.0,0,2.0,8,-0.024390243902439,-1.0894791666666668,,,8,123.1,719.1,8,137.0,272.43,3,7,636
35,15,01:06:40,120018,18,17,9,2,defensive shot,0.0,1,2.0,7,0.2914634146341464,0.3580208333333334,,,8,125.5,241.86,8,111.9,735.32,3,7,636
35,16,01:06:41,120040,18,17,10,2,lob,0.0,0,1.0,3,-0.996341463414634,-1.537864583333333,,,8,184.7,607.44,8,149.6,244.75,3,7,636
35,17,01:06:42,120075,18,17,9,2,drop,0.0,0,2.0,2,-1.0426829268292683,0.6133854166666666,,,9,107.3,160.7,8,181.0,665.18,3,7,636
35,18,01:06:43,120094,18,17,10,2,net shot,0.0,1,2.0,5,-1.2719512195121951,-0.6924479166666666,,,8,128.4,632.33,9,126.8,194.19,3,7,636
35,19,01:06:44,120124,18,17,9,2,lob,0.0,0,1.0,6,-1.3829268292682928,1.3872916666666668,,,5,99.0,325.09,8,155.6,642.02,3,7,636
35,20,01:06:45,120155,18,17,10,2,smash,1.0,0,2.0,5,-1.2134146341463414,-1.0697916666666665,,,8,111.4,733.96,8,131.9,267.37,3,7,636
35,21,01:06:45,120169,18,17,9,2,defensive shot,0.0,0,2.0,1,1.003658536585366,0.5178124999999998,,,8,114.2,259.58,6,96.7,747.13,3,7,636
35,22,01:06:46,120198,18,17,10,2,lob,0.0,0,1.0,4,1.15609756097561,-1.5111979166666665,,,8,222.6,601.37,8,164.2,262.76,3,7,636
35,23,01:06:47,120237,18,17,9,2,clear,1.0,0,1.0,5,1.201219512195122,1.463229166666667,,,10,235.4,145.33,8,216.2,665.61,3,7,636
35,24,01:06:49,120270,18,17,10,2,smash,0.0,0,2.0,6,1.2341463414634144,-1.1892708333333333,,,5,255.7,742.41,8,204.6,237.72,3,7,636
35,25,01:06:49,120285,18,17,9,3,defensive shot,0.0,1,2.0,2,-1.3865853658536589,0.6028125000000001,opponent's ball landed,9.0,8,179.9,255.37,5,302.4,748.29,3,7,636
