rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
23,1,00:32:36,58695,9,14,5,1,short service,0.0,1,2.0,7,-0.5085365853658536,0.6073958333333334,,,8,192.8,307.62,8,123.9,639.74,2,3,236
23,2,00:32:37,58716,9,14,4,2,net shot,0.0,0,2.0,2,0.9853658536585368,-0.3197395833333332,,,8,130.7,617.16,8,191.0,300.33,2,3,236
23,3,00:32:38,58748,9,14,5,2,push/rush,0.0,1,1.0,9,-0.5914634146341463,1.6487499999999995,,,7,221.0,368.28,8,180.7,642.82,2,3,236
23,4,00:32:39,58784,9,14,4,2,clear,1.0,0,1.0,9,0.7402439024390243,-1.4840104166666668,,,9,142.1,765.44,8,184.3,293.03,2,3,236
23,5,00:32:40,58826,9,14,5,2,clear,1.0,0,1.0,9,-0.7646341463414634,1.7404166666666665,,,9,235.6,184.86,8,178.6,672.25,2,3,236
23,6,00:32:42,58869,9,14,4,2,drop,1.0,0,2.0,8,0.725609756097561,-0.65859375,,,9,115.1,784.8,8,189.6,260.27,2,3,236
23,7,00:32:43,58891,9,14,5,2,net shot,0.0,1,1.0,7,-0.0256097560975609,0.5161979166666667,,,8,207.0,300.15,8,137.9,706.24,2,3,236
23,8,00:32:43,58914,9,14,4,2,net shot,0.0,0,2.0,7,-0.3829268292682927,-0.16046875,,,8,163.2,605.52,8,194.0,305.18,2,3,236
23,9,00:32:44,58939,9,14,5,2,lob,0.0,1,1.0,9,-0.8329268292682926,1.7078125,,,7,170.8,373.25,7,171.9,574.86,2,3,236
23,10,00:32:46,58998,9,14,4,2,smash,1.0,0,2.0,8,0.8780487804878049,-1.0140625,,,4,95.5,791.09,8,175.1,295.6,2,3,236
23,11,00:32:47,59012,9,14,5,2,defensive shot,0.0,1,2.0,5,0.95,0.9234374999999998,,,8,192.6,267.88,8,104.1,735.77,2,3,236
23,12,00:32:47,59036,9,14,4,2,push/rush,0.0,0,1.0,8,-0.6036585365853658,-1.346927083333333,,,8,200.5,644.38,8,209.7,290.26,2,3,236
23,13,00:32:48,59060,9,14,5,2,drop,0.0,0,2.0,8,0.8024390243902441,0.6767187499999997,,,8,160.0,250.33,8,168.4,679.79,2,3,236
23,14,00:32:49,59086,9,14,4,2,net shot,0.0,0,2.0,2,1.1268292682926826,-0.1652083333333334,,,8,195.1,641.22,8,142.7,237.51,2,3,236
23,15,00:32:50,59114,9,14,5,2,push/rush,0.0,1,1.0,3,1.180487804878049,1.6639583333333334,,,7,234.3,392.7,8,221.5,636.4,2,3,236
23,16,00:32:51,59148,9,14,4,2,clear,0.0,0,1.0,6,0.9439024390243904,-1.3560416666666668,,,8,236.9,735.93,8,215.5,307.37,2,3,236
23,17,00:32:53,59193,9,14,5,2,smash,1.0,0,2.0,5,1.1231707317073174,1.0448958333333334,,,8,246.0,220.23,8,185.3,676.78,2,3,236
23,18,00:32:53,59213,9,14,4,2,clear,0.0,0,1.0,4,0.9439024390243904,-1.5144791666666666,,,8,203.0,685.75,8,233.7,223.07,2,3,236
23,19,00:32:55,59277,9,14,5,2,clear,1.0,0,1.0,5,1.0756097560975608,1.2311458333333334,,,8,234.7,231.04,8,227.6,737.3,2,3,236
23,20,00:32:55,59277,9,14,4,2,drop,0.0,0,2.0,8,-0.5292682926829269,-0.7020833333333334,,,8,227.0,719.14,8,234.9,206.89,2,3,236
23,21,00:32:56,59296,9,14,5,2,push/rush,0.0,0,1.0,4,-1.2378048780487805,1.56046875,,,8,176.8,331.73,8,241.8,687.23,2,3,236
23,22,00:32:57,59335,9,14,4,3,clear,0.0,1,2.0,10,-1.6902439024390243,-1.4980208333333334,out,4.0,8,107.1,749.39,8,158.9,270.83,2,3,236
