rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
23,1,00:54:39,98396,15,8,27,1,long service,0.0,0,1.0,9,0.7841463414634148,1.5688541666666669,,,8,154.3,282.53,8,223.4,692.68,2,41,3421
23,2,00:54:42,98467,15,8,29,2,clear,0.0,0,1.0,9,-0.7060975609756098,-1.4829166666666669,,,9,238.3,785.41,8,172.4,284.81,2,41,3421
23,3,00:54:43,98500,15,8,27,2,drop,0.0,0,2.0,2,-1.1878048780487809,0.5542708333333332,,,9,131.3,197.81,8,174.1,695.42,2,41,3421
23,4,00:54:44,98530,15,8,29,2,net shot,0.0,1,1.0,1,-1.0585365853658537,-0.3811979166666666,,,2,97.0,582.54,8,145.3,254.63,2,41,3421
23,5,00:54:45,98557,15,8,27,2,drive,0.0,0,2.0,3,1.2451219512195124,1.5215625,,,7,115.2,388.7,8,129.0,601.82,2,41,3421
23,6,00:54:46,98596,15,8,29,2,clear,0.0,0,1.0,4,1.267073170731707,-1.5424479166666665,,,9,233.9,768.25,8,174.7,319.33,2,41,3421
23,7,00:54:47,98625,15,8,27,2,drop,0.0,0,2.0,1,1.2878048780487807,0.4904166666666665,,,8,226.5,204.42,8,202.3,702.27,2,41,3421
23,8,00:54:48,98657,15,8,29,2,net shot,0.0,0,2.0,2,1.330487804878049,-0.2184374999999999,,,1,263.2,594.27,8,222.7,234.97,2,41,3421
23,9,00:54:49,98688,15,8,27,2,lob,0.0,1,1.0,9,-0.6134146341463415,1.5458333333333332,,,7,249.8,419.28,7,233.2,574.58,2,41,3421
23,10,00:54:51,98752,15,8,29,2,drop,0.0,0,2.0,6,1.2585365853658534,-0.6628124999999999,,,9,134.4,770.6,8,165.8,298.51,2,41,3421
23,11,00:54:52,98776,15,8,27,2,push/rush,0.0,1,1.0,3,1.398780487804878,1.6428124999999998,,,6,251.7,322.64,8,156.6,734.9,2,41,3421
23,12,00:54:53,98812,15,8,29,2,clear,0.0,0,1.0,4,1.5341463414634149,-1.478125,,,3,253.0,786.29,8,195.4,278.71,2,41,3421
23,13,00:54:54,98840,15,8,27,2,clear,0.0,0,1.0,3,1.2878048780487807,1.5422916666666666,,,8,230.0,213.61,8,226.7,719.2,2,41,3421
23,14,00:54:55,98872,15,8,29,3,clear,0.0,0,2.0,10,1.7878048780487807,-1.4982291666666665,out,27.0,9,236.0,760.33,8,216.4,266.98,2,41,3421
