rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
15,1,00:36:59,66591,5,10,7,1,short service,0.0,1,2.0,7,-0.4634146341463415,0.4988541666666665,,,8,186.0,318.59,8,132.6,677.85,2,57,4822
15,2,00:37:00,66614,5,10,16,2,net shot,0.0,1,2.0,2,1.101219512195122,-0.0875520833333333,,,7,155.5,570.61,8,169.4,292.72,2,57,4822
15,3,00:37:01,66639,5,10,7,2,lob,0.0,1,1.0,9,0.3743902439024389,1.6484895833333333,,,7,249.3,382.79,7,186.3,584.17,2,57,4822
15,4,00:37:03,66690,5,10,16,2,clear,0.0,0,1.0,4,0.9743902439024392,-1.522239583333333,,,9,184.8,789.57,8,174.4,300.55,2,57,4822
15,5,00:37:04,66731,5,10,7,2,clear,0.0,0,1.0,9,0.6695121951219513,1.6644270833333337,,,9,239.5,174.91,8,198.7,684.66,2,57,4822
15,6,00:37:05,66770,5,10,16,2,clear,0.0,0,1.0,9,0.8902439024390244,-1.3702604166666668,,,9,209.0,789.59,8,201.0,224.32,2,57,4822
15,7,00:37:07,66811,5,10,7,2,drop,0.0,0,2.0,2,-1.024390243902439,0.6119791666666666,,,8,237.2,212.61,8,195.9,693.24,2,57,4822
15,8,00:37:07,66832,5,10,16,2,net shot,0.0,1,2.0,7,-0.4231707317073169,-0.2378125000000001,,,8,111.3,614.86,8,224.3,218.42,2,57,4822
15,9,00:37:08,66859,5,10,7,2,lob,0.0,0,1.0,8,0.6256097560975611,0.9873437500000004,,,7,167.4,383.4,8,140.2,629.61,2,57,4822
15,10,00:37:09,66877,5,10,16,2,smash,0.0,0,2.0,6,0.951219512195122,-0.72265625,,,8,189.6,645.88,8,174.4,336.52,2,57,4822
15,11,00:37:09,66895,5,10,7,2,defensive shot,0.0,1,1.0,8,-0.5365853658536586,1.486666666666667,,,8,174.4,310.96,8,248.8,677.66,2,57,4822
15,12,00:37:11,66930,5,10,16,2,clear,0.0,0,1.0,3,-1.2597560975609756,-1.3900520833333332,,,8,149.5,721.77,8,166.0,295.38,2,57,4822
15,13,00:37:12,66967,5,10,7,3,clear,0.0,0,2.0,9,-0.6804878048780487,1.73453125,misjudged,16.0,5,85.7,214.24,8,163.9,689.87,2,57,4822
