rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
32,1,00:26:39,47979,18,14,14,1,short service,0.0,1,2.0,7,-0.4097560975609755,-0.4810416666666667,,,8,181.5,633.95,8,133.7,280.75,1,54,4599
32,2,00:26:40,48002,18,14,3,2,push/rush,0.0,1,1.0,5,1.2317073170731707,1.4936979166666664,,,7,154.6,367.95,8,172.2,646.18,1,54,4599
32,3,00:26:41,48035,18,14,14,2,clear,0.0,0,1.0,5,-1.119512195121951,-1.346927083333333,,,9,248.5,762.31,8,210.8,313.0,1,54,4599
32,4,00:26:42,48063,18,14,3,2,clear,0.0,0,1.0,6,-1.1109756097560974,1.4243229166666669,,,8,162.0,227.32,8,191.2,710.5,1,54,4599
32,5,00:26:43,48102,18,14,14,2,smash,0.0,0,2.0,6,1.2085365853658538,-0.7986458333333332,,,6,88.2,739.59,8,160.9,264.62,1,54,4599
32,6,00:26:44,48121,18,14,3,2,defensive shot,0.0,0,2.0,1,1.1548780487804875,0.6314583333333333,,,8,231.6,313.22,6,104.0,728.44,1,54,4599
32,7,00:26:45,48152,18,14,14,2,lob,0.0,0,1.0,3,-0.9987804878048782,-1.5607291666666665,,,5,254.0,615.34,8,232.9,287.17,1,54,4599
32,8,00:26:46,48188,18,14,3,2,clear,0.0,0,1.0,5,1.0146341463414632,1.4555729166666669,,,9,151.1,184.15,8,193.5,677.68,1,54,4599
32,9,00:26:47,48224,18,14,14,2,drop,0.0,0,2.0,2,1.0670731707317074,-0.2930208333333333,,,8,228.1,750.73,8,173.8,242.09,1,54,4599
32,10,00:26:48,48252,18,14,3,2,net shot,0.0,0,2.0,1,1.1914634146341463,0.21125,,,7,242.9,397.75,8,214.1,684.45,1,54,4599
32,11,00:26:49,48279,18,14,14,2,lob,0.0,0,1.0,3,-1.476829268292683,-1.5801041666666666,,,7,251.7,544.99,7,219.9,377.68,1,54,4599
32,12,00:26:51,48332,18,14,3,2,clear,0.0,0,1.0,9,0.1256097560975611,1.6314062500000002,,,9,105.0,177.23,8,176.3,651.03,1,54,4599
32,13,00:26:52,48383,18,14,14,2,drop,0.0,0,2.0,2,1.1658536585365855,-0.2383854166666665,,,9,151.9,781.58,8,173.1,275.75,1,54,4599
32,14,00:26:53,48410,18,14,3,2,net shot,0.0,0,2.0,1,1.3170731707317074,0.2990624999999998,,,7,247.6,395.63,8,180.2,735.69,1,54,4599
32,15,00:26:54,48440,18,14,14,2,net shot,0.0,0,2.0,7,-0.6902439024390243,-0.0600520833333331,,,1,268.8,549.82,8,224.6,359.42,1,54,4599
32,16,00:26:55,48468,18,14,3,3,net shot,0.0,0,2.0,2,-1.2597560975609756,0.1654687499999999,opponent's ball landed,3.0,7,125.1,432.01,7,200.0,549.19,1,54,4599
