rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
13,1,00:33:48,60863,2,11,15,1,short service,0.0,0,2.0,7,0.7000000000000001,0.5096875000000001,,,8,171.1,305.17,8,232.3,675.95,2,13,1050
13,2,00:33:49,60892,2,11,16,2,lob,0.0,1,1.0,4,1.2243902439024388,-1.5660416666666668,,,8,237.9,595.41,8,184.6,297.74,2,13,1050
13,3,00:33:50,60929,2,11,15,2,drop,0.0,0,2.0,5,1.2365853658536583,0.8035937499999998,,,9,242.0,186.69,8,218.0,658.0,2,13,1050
13,4,00:33:51,60950,2,11,16,2,lob,0.0,0,1.0,9,-0.4560975609756098,-1.4843229166666667,,,8,249.5,649.3,8,212.9,230.95,2,13,1050
13,5,00:33:52,60987,2,11,15,2,clear,0.0,0,1.0,5,1.003658536585366,1.485104166666667,,,8,154.8,207.05,8,198.0,667.89,2,13,1050
13,6,00:33:53,61018,2,11,16,2,drop,0.0,0,2.0,1,-0.9914634146341464,-0.3211979166666667,,,8,223.1,741.53,8,195.4,228.43,2,13,1050
13,7,00:33:54,61046,2,11,15,2,net shot,0.0,1,2.0,2,-1.3853658536585365,0.3478645833333331,,,8,110.5,363.91,8,205.0,694.89,2,13,1050
13,8,00:33:55,61076,2,11,16,2,lob,0.0,1,1.0,4,1.1719512195121955,-1.5058333333333334,,,2,87.5,555.8,8,119.1,357.1,2,13,1050
13,9,00:33:57,61125,2,11,15,2,clear,0.0,0,1.0,3,1.479268292682927,1.5751562499999998,,,9,247.7,178.1,8,193.4,652.47,2,13,1050
13,10,00:33:58,61156,2,11,16,2,clear,0.0,0,1.0,4,1.4975609756097563,-1.448020833333333,,,5,268.7,750.9,8,234.9,233.42,2,13,1050
13,11,00:33:59,61186,2,11,15,2,smash,0.0,0,2.0,6,-1.2939024390243905,0.8409375000000002,,,4,265.1,200.48,8,228.5,702.62,2,13,1050
13,12,00:34:00,61209,2,11,16,2,defensive shot,0.0,1,2.0,7,-0.7817073170731706,-0.0879687499999999,,,8,107.3,642.9,4,269.4,197.66,2,13,1050
13,13,00:34:01,61245,2,11,15,2,lob,0.0,1,1.0,4,-1.0353658536585366,1.5741145833333334,,,7,130.2,379.25,8,119.1,654.3,2,13,1050
13,14,00:34:02,61275,2,11,16,2,clear,1.0,0,1.0,5,-1.2292682926829268,-1.3643229166666666,,,8,141.4,712.09,8,144.0,352.36,2,13,1050
13,15,00:34:03,61319,2,11,15,2,drop,0.0,0,2.0,1,1.4280487804878053,0.5334374999999998,,,9,106.3,201.98,8,168.8,702.93,2,13,1050
13,16,00:34:04,61348,2,11,16,2,lob,0.0,0,1.0,4,1.4292682926829268,-1.4184895833333335,,,5,272.0,598.34,8,121.6,229.11,2,13,1050
13,17,00:34:06,61388,2,11,15,2,clear,0.0,0,1.0,3,0.95,1.5761979166666666,,,4,275.5,183.53,8,220.1,657.99,2,13,1050
13,18,00:34:07,61416,2,11,16,2,clear,0.0,0,1.0,3,-1.0439024390243905,-1.5116145833333334,,,8,246.8,755.73,8,233.2,233.43,2,13,1050
13,19,00:34:08,61457,2,11,15,2,drop,0.0,1,2.0,2,-1.0963414634146342,0.3830208333333331,,,9,118.4,185.03,8,185.6,687.02,2,13,1050
13,20,00:34:09,61486,2,11,16,2,lob,0.0,1,1.0,3,-1.1780487804878048,-1.4518229166666667,,,2,98.9,588.36,8,168.8,262.78,2,13,1050
13,21,00:34:10,61521,2,11,15,2,drop,0.0,1,2.0,6,-1.0670731707317074,0.6898437500000002,,,8,110.5,204.71,8,148.7,606.83,2,13,1050
13,22,00:34:11,61540,2,11,16,2,net shot,0.0,1,2.0,1,-1.130487804878049,0.0343750000000001,,,8,177.0,611.26,8,141.5,257.87,2,13,1050
13,23,00:34:12,61572,2,11,15,2,net shot,0.0,1,2.0,2,-1.369512195121951,0.2092708333333333,,,1,103.7,413.64,8,158.9,602.13,2,13,1050
13,24,00:34:13,61603,2,11,16,2,net shot,0.0,1,2.0,2,1.2597560975609758,0.0469791666666665,,,2,76.9,540.6,7,129.0,374.87,2,13,1050
13,25,00:34:14,61635,2,11,15,3,net shot,0.0,0,2.0,7,-0.1463414634146341,-0.0490104166666668,touched the net,15.0,7,185.5,439.61,7,152.6,557.06,2,13,1050
