rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
16,1,00:39:30,71121,9,7,6,1,short service,0.0,1,2.0,8,0.2512195121951219,-0.5871354166666668,,,8,168.5,637.26,8,226.5,272.46,2,39,3227
16,2,00:39:31,71134,9,7,19,2,lob,0.0,0,1.0,6,-0.9804878048780488,1.4269270833333334,,,8,209.1,351.77,8,178.3,641.46,2,39,3227
16,3,00:39:32,71165,9,7,6,2,smash,0.0,0,2.0,5,-1.2560975609756098,-1.1363541666666668,,,8,142.3,731.48,8,150.0,275.79,2,39,3227
16,4,00:39:32,71179,9,7,19,2,defensive shot,0.0,0,2.0,2,-1.4292682926829268,0.4803125000000001,,,8,118.2,254.05,8,128.2,745.29,2,39,3227
16,5,00:39:33,71207,9,7,6,2,net shot,0.0,1,2.0,2,1.090243902439024,-0.34984375,,,2,83.6,592.99,8,113.7,251.29,2,39,3227
16,6,00:39:34,71237,9,7,19,2,lob,0.0,1,1.0,3,1.2304878048780483,1.5646354166666665,,,8,242.1,365.76,8,165.9,665.02,2,39,3227
16,7,00:39:35,71275,9,7,6,2,clear,0.0,0,1.0,4,1.3878048780487806,-1.51671875,,,9,244.5,773.95,8,189.9,294.13,2,39,3227
16,8,00:39:37,71311,9,7,19,2,clear,0.0,0,1.0,9,-0.5792682926829268,1.541302083333333,,,9,248.0,194.64,8,207.1,689.67,2,39,3227
16,9,00:39:38,71354,9,7,6,2,smash,0.0,0,2.0,5,-1.297560975609756,-1.0349479166666666,,,9,128.0,770.42,8,161.0,291.73,2,39,3227
16,10,00:39:39,71370,9,7,19,2,defensive shot,0.0,0,1.0,6,-1.3414634146341464,1.19078125,,,8,126.2,270.55,8,132.0,747.51,2,39,3227
16,11,00:39:40,71404,9,7,6,2,clear,0.0,0,1.0,3,-1.1353658536585365,-1.4751562500000002,,,8,113.0,685.13,5,100.3,292.22,2,39,3227
16,12,00:39:41,71450,9,7,19,2,drop,0.0,0,2.0,1,1.4487804878048782,0.6242708333333334,,,3,84.8,180.64,8,168.5,671.69,2,39,3227
16,13,00:39:42,71479,9,7,6,2,net shot,0.0,0,2.0,2,1.2524390243902437,-0.5043229166666666,,,5,265.1,610.21,8,156.8,259.3,2,39,3227
16,14,00:39:43,71509,9,7,19,2,lob,0.0,1,1.0,6,-1.0048780487804878,1.4680729166666666,,,8,245.2,356.28,8,207.8,642.69,2,39,3227
16,15,00:39:44,71548,9,7,6,2,smash,0.0,0,2.0,6,1.1658536585365855,-0.93125,,,8,129.8,741.89,8,153.7,283.82,2,39,3227
16,16,00:39:45,71564,9,7,19,2,defensive shot,0.0,1,1.0,5,1.0012195121951222,1.1910937500000005,,,8,148.8,283.86,6,91.2,756.62,2,39,3227
16,17,00:39:46,71591,9,7,6,2,clear,0.0,0,1.0,4,1.114634146341463,-1.372083333333333,,,8,221.0,697.17,8,203.1,301.87,2,39,3227
16,18,00:39:47,71616,9,7,19,2,smash,0.0,0,2.0,5,1.1999999999999995,1.0764062499999998,,,8,228.6,230.4,8,212.4,690.91,2,39,3227
16,19,00:39:47,71631,9,7,6,3,defensive shot,0.0,0,2.0,1,1.1219512195121952,0.1399479166666667,touched the net,19.0,8,242.0,672.55,8,221.6,215.85,2,39,3227
