rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
30,1,01:05:22,117682,14,16,9,1,short service,0.0,1,2.0,7,-0.0780487804878049,0.5500000000000002,,,8,180.4,356.11,8,130.5,684.94,2,34,2811
30,2,01:05:23,117701,14,16,26,2,push/rush,0.0,0,1.0,4,1.0158536585365856,-1.3911458333333335,,,7,133.4,586.56,8,156.2,346.45,2,34,2811
30,3,01:05:24,117739,14,16,9,2,drop,0.0,1,2.0,7,-0.7487804878048782,0.4680208333333334,,,8,236.8,208.58,8,206.2,666.91,2,34,2811
30,4,01:05:25,117764,14,16,26,2,net shot,0.0,1,2.0,1,-1.2085365853658536,-0.2505729166666667,,,7,134.0,592.41,8,183.7,266.55,2,34,2811
30,5,01:05:26,117792,14,16,9,2,lob,0.0,0,1.0,6,-1.1768292682926829,1.497291666666667,,,1,93.1,400.1,8,143.3,615.42,2,34,2811
30,6,01:05:27,117827,14,16,26,2,smash,0.0,0,2.0,5,-1.252439024390244,-1.03828125,,,8,116.5,747.86,8,127.9,308.9,2,34,2811
30,7,01:05:28,117845,14,16,9,2,defensive shot,0.0,0,2.0,1,0.9939024390243902,0.3578125000000002,,,5,99.6,259.37,4,92.5,783.27,2,34,2811
30,8,01:05:29,117878,14,16,26,2,lob,0.0,0,1.0,6,1.1024390243902435,-1.3621875,,,7,231.8,584.14,8,170.9,300.78,2,34,2811
30,9,01:05:30,117911,14,16,9,2,smash,0.0,0,2.0,5,1.340243902439024,1.1234375000000003,,,8,216.8,211.6,8,220.4,672.24,2,34,2811
30,10,01:05:30,117926,14,16,26,2,defensive shot,0.0,0,2.0,7,0.9073170731707316,-0.5042708333333333,,,8,243.6,689.87,8,231.9,247.25,2,34,2811
30,11,01:05:31,117952,14,16,9,2,push/rush,0.0,1,1.0,5,1.369512195121951,1.1509375000000002,,,8,225.5,360.63,8,211.1,663.29,2,34,2811
30,12,01:05:32,117976,14,16,26,2,drop,0.0,0,2.0,2,1.184146341463415,-0.4175000000000001,,,8,218.5,688.19,8,201.2,326.05,2,34,2811
30,13,01:05:33,118002,14,16,9,2,lob,0.0,1,1.0,3,1.3597560975609757,1.57109375,,,6,262.2,357.88,8,224.4,663.24,2,34,2811
30,14,01:05:34,118042,14,16,26,2,drop,0.0,0,2.0,6,1.2719512195121954,-0.6075520833333332,,,3,263.1,784.6,8,191.3,298.0,2,34,2811
30,15,01:05:35,118066,14,16,9,2,lob,0.0,1,1.0,6,-1.003658536585366,1.4029166666666668,,,6,256.5,343.1,8,233.5,731.03,2,34,2811
30,16,01:05:36,118101,14,16,26,2,clear,0.0,0,1.0,5,-0.9646341463414634,-1.33796875,,,8,163.4,734.53,8,168.3,290.42,2,34,2811
30,17,01:05:37,118137,14,16,9,2,drop,0.0,0,2.0,5,1.0597560975609754,0.7902083333333335,,,9,111.9,193.01,8,160.1,705.75,2,34,2811
30,18,01:05:38,118158,14,16,26,2,net shot,0.0,0,2.0,2,0.9670731707317076,-0.3304166666666666,,,8,238.1,631.98,8,149.6,226.21,2,34,2811
30,19,01:05:39,118188,14,16,9,2,net shot,0.0,1,2.0,2,-0.9914634146341464,0.2321354166666666,,,7,243.7,375.06,8,198.6,634.0,2,34,2811
30,20,01:05:40,118215,14,16,26,2,net shot,0.0,1,2.0,1,-1.1085365853658538,-0.0036979166666665,,,7,112.5,540.6,8,197.4,321.02,2,34,2811
30,21,01:05:41,118241,14,16,9,2,net shot,0.0,0,2.0,2,-0.9926829268292684,0.1545833333333333,,,7,108.7,411.69,7,130.9,578.72,2,34,2811
30,22,01:05:42,118265,14,16,26,2,lob,0.0,1,1.0,8,-0.4231707317073169,-1.0835416666666668,,,7,109.4,532.38,1,94.2,439.37,2,34,2811
30,23,01:05:43,118318,14,16,9,2,smash,0.0,0,2.0,6,-1.1182926829268294,1.1814583333333335,,,8,129.4,259.07,8,171.7,650.71,2,34,2811
30,24,01:05:44,118332,14,16,26,2,defensive shot,0.0,1,1.0,1,-1.2000000000000002,-0.2385416666666667,,,8,190.7,703.94,8,125.0,267.13,2,34,2811
30,25,01:05:45,118357,14,16,9,2,push/rush,0.0,0,1.0,6,-1.052439024390244,1.144947916666667,,,1,90.6,397.76,8,124.0,661.78,2,34,2811
30,26,01:05:45,118376,14,16,26,2,smash,0.0,0,2.0,8,-0.3536585365853658,-0.6922916666666667,,,8,151.6,659.88,1,100.1,392.95,2,34,2811
30,27,01:05:46,118384,14,16,9,2,defensive shot,0.0,1,2.0,8,0.1707317073170731,0.8310416666666663,,,5,102.5,339.46,8,162.9,677.77,2,34,2811
30,28,01:05:46,118404,14,16,26,2,lob,0.0,0,1.0,8,-0.4621951219512196,-1.09734375,,,8,172.8,645.2,8,151.9,300.96,2,34,2811
30,29,01:05:47,118431,14,16,9,2,clear,0.0,0,1.0,5,1.5158536585365856,1.4780208333333331,,,8,145.4,250.83,8,184.6,654.31,2,34,2811
30,30,01:05:49,118471,14,16,26,2,drop,0.0,0,2.0,6,0.9878048780487804,-0.5680729166666666,,,3,271.3,762.23,8,174.0,277.25,2,34,2811
30,31,01:05:49,118499,14,16,9,3,net shot,0.0,1,2.0,2,-1.4865853658536583,0.2880729166666664,opponent's ball landed,26.0,8,246.6,340.7,8,211.8,681.16,2,34,2811
