rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
8,1,00:37:22,67287,8,0,5,1,short service,0.0,1,2.0,7,-0.6414634146341462,0.4711979166666668,,,8,181.5,325.35,8,125.4,650.8,2,14,1148
8,2,00:37:23,67295,8,0,17,2,push/rush,0.0,1,1.0,5,-1.0670731707317074,-1.2794270833333334,,,6,104.0,596.33,8,178.2,317.18,2,14,1148
8,3,00:37:24,67325,8,0,5,2,drive,0.0,0,2.0,8,-0.1597560975609755,0.8791666666666664,,,8,107.8,212.8,8,123.2,667.54,2,14,1148
8,4,00:37:24,67337,8,0,17,2,defensive shot,0.0,1,2.0,1,-1.0963414634146342,-0.3023437500000001,,,8,130.3,705.31,8,106.1,248.3,2,14,1148
8,5,00:37:25,67365,8,0,5,2,lob,0.0,0,1.0,6,-1.297560975609756,1.3671875,,,5,101.3,347.92,8,136.6,669.42,2,14,1148
8,6,00:37:26,67401,8,0,17,2,smash,0.0,0,2.0,8,-0.3585365853658537,-1.0446354166666667,,,6,100.2,739.68,8,130.2,313.58,2,14,1148
8,7,00:37:27,67413,8,0,5,2,defensive shot,0.0,1,2.0,7,-0.1780487804878048,0.3622916666666664,,,8,117.7,251.46,4,57.1,758.02,2,14,1148
8,8,00:37:27,67439,8,0,17,2,net shot,0.0,0,2.0,2,1.0109756097560971,-0.2259374999999999,,,7,171.5,594.74,8,133.6,291.59,2,14,1148
8,9,00:37:28,67463,8,0,5,2,lob,0.0,1,1.0,6,-1.10609756097561,1.4897916666666664,,,7,225.8,388.56,8,183.9,618.54,2,14,1148
8,10,00:37:30,67509,8,0,17,2,drive,0.0,0,2.0,5,-1.1829268292682926,-0.93375,,,4,93.8,759.63,8,155.7,294.8,2,14,1148
8,11,00:37:30,67522,8,0,5,2,push/rush,0.0,0,1.0,6,-1.15,1.1481250000000005,,,5,97.3,288.09,8,107.8,732.92,2,14,1148
8,12,00:37:31,67547,8,0,17,2,drop,0.0,0,2.0,1,-1.1902439024390243,-0.2771875000000001,,,8,112.6,678.48,8,107.6,291.09,2,14,1148
8,13,00:37:32,67572,8,0,5,2,lob,0.0,0,1.0,5,1.1073170731707318,1.2513541666666663,,,1,96.9,386.6,8,121.6,673.04,2,14,1148
8,14,00:37:33,67603,8,0,17,2,clear,1.0,0,1.0,8,-0.5695121951219511,-1.321510416666667,,,8,205.9,708.92,8,151.8,338.2,2,14,1148
