rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
32,1,01:32:35,166652,16,16,31,1,short service,0.0,1,2.0,7,-0.1731707317073169,0.2652083333333331,,,8,181.8,336.76,8,122.6,691.25,3,43,3639
32,2,01:32:35,166671,16,16,30,2,net shot,0.0,0,2.0,7,-0.4768292682926828,-0.1529166666666667,,,7,137.9,588.08,8,168.2,331.86,3,43,3639
32,3,01:32:36,166696,16,16,31,2,lob,0.0,0,1.0,8,-0.823170731707317,1.4007812500000003,,,7,151.1,412.21,8,163.3,601.36,3,43,3639
32,4,01:32:37,166737,16,16,30,2,smash,1.0,0,2.0,5,-1.3073170731707318,-1.1509895833333337,,,8,131.7,731.12,8,133.8,277.67,3,43,3639
32,5,01:32:38,166750,16,16,31,2,defensive shot,0.0,0,2.0,2,-1.10609756097561,0.2889583333333334,,,8,128.7,277.73,9,122.8,779.82,3,43,3639
32,6,01:32:39,166777,16,16,30,2,net shot,0.0,1,2.0,7,-0.1987804878048782,-0.1302604166666666,,,2,99.6,592.04,8,106.9,293.88,3,43,3639
32,7,01:32:40,166802,16,16,31,2,lob,0.0,0,1.0,4,-1.102439024390244,1.6129687500000005,,,7,163.7,419.07,8,147.8,607.08,3,43,3639
32,8,01:32:41,166841,16,16,30,2,smash,1.0,0,2.0,5,-1.1390243902439026,-0.9966666666666668,,,8,118.0,751.9,8,123.9,285.76,3,43,3639
32,9,01:32:41,166853,16,16,31,2,defensive shot,0.0,0,2.0,7,-0.5548780487804879,0.2552604166666666,,,8,127.2,285.72,9,118.9,788.89,3,43,3639
32,10,01:32:42,166883,16,16,30,2,net shot,0.0,1,2.0,7,-0.0158536585365855,-0.0722916666666666,,,7,135.7,591.92,8,143.1,334.66,3,43,3639
32,11,01:32:43,166910,16,16,31,2,lob,0.0,0,1.0,9,-0.4780487804878047,1.6845833333333335,,,7,185.7,423.51,7,174.2,591.8,3,43,3639
32,12,01:32:45,166959,16,16,30,2,smash,1.0,0,2.0,5,-1.0414634146341464,-1.053125,,,9,154.5,773.76,8,139.1,290.86,3,43,3639
32,13,01:32:45,166971,16,16,31,2,defensive shot,0.0,0,2.0,2,-1.0609756097560976,0.3210937499999999,,,8,137.8,285.59,9,155.6,793.49,3,43,3639
32,14,01:32:46,167000,16,16,30,2,net shot,0.0,1,2.0,1,-1.2585365853658537,-0.1033854166666667,,,2,100.5,592.04,8,128.2,329.76,3,43,3639
32,15,01:32:47,167025,16,16,31,2,lob,0.0,0,1.0,4,-0.9792682926829268,1.6447916666666664,,,1,87.6,433.47,8,111.8,601.52,3,43,3639
32,16,01:32:49,167077,16,16,30,3,smash,1.0,0,2.0,10,-1.84390243902439,-1.3816666666666666,out,30.0,9,114.8,769.06,8,131.4,272.34,3,43,3639
