rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
3,1,00:08:10,14715,1,2,12,1,short service,0.0,1,2.0,7,-0.397560975609756,-0.2394270833333334,,,8,185.5,655.0,8,132.2,322.57,1,8,642
3,2,00:08:11,14735,1,2,11,2,net shot,0.0,0,2.0,7,0.0597560975609756,0.20046875,,,7,150.5,398.94,8,189.2,641.7,1,8,642
3,3,00:08:12,14760,1,2,12,2,lob,0.0,1,1.0,9,0.5463414634146343,-1.5002604166666669,,,7,189.0,565.21,7,180.0,380.13,1,8,642
3,4,00:08:13,14818,1,2,11,2,drop,0.0,0,1.0,1,1.3597560975609757,0.6440104166666666,,,9,232.2,194.63,8,193.3,676.56,1,8,642
3,5,00:08:14,14840,1,2,12,2,net shot,0.0,0,2.0,2,1.3329268292682928,-0.1532291666666667,,,5,253.0,642.49,8,191.1,281.32,1,8,642
3,6,00:08:15,14866,1,2,11,2,net shot,0.0,1,2.0,1,1.4487804878048782,0.294583333333333,,,2,254.0,392.46,8,223.9,666.29,1,8,642
3,7,00:08:16,14894,1,2,12,2,net shot,0.0,0,2.0,2,1.197560975609756,-0.0457812500000001,,,1,259.8,569.17,7,225.4,369.86,1,8,642
3,8,00:08:17,14921,1,2,11,2,lob,0.0,1,1.0,4,-1.0097560975609756,1.6760416666666664,,,7,230.2,442.66,8,223.4,607.7,1,8,642
3,9,00:08:19,14973,1,2,12,2,drop,1.0,0,2.0,8,0.6597560975609755,-0.6449479166666666,,,9,124.9,786.88,8,155.0,332.25,1,8,642
3,10,00:08:19,14996,1,2,11,2,net shot,0.0,1,2.0,7,-0.1621951219512196,0.4368229166666666,,,8,190.5,351.36,9,133.2,765.99,1,8,642
3,11,00:08:20,15024,1,2,12,2,lob,0.0,0,1.0,9,-0.6439024390243903,-1.4193229166666663,,,8,148.5,601.12,8,183.6,353.94,1,8,642
3,12,00:08:22,15074,1,2,11,2,drop,0.0,0,2.0,6,-1.1219512195121952,0.9286979166666663,,,9,124.0,191.26,8,185.1,700.65,1,8,642
3,13,00:08:23,15093,1,2,12,2,net shot,0.0,1,2.0,1,-0.9902439024390244,-0.1795833333333334,,,8,120.0,647.65,8,137.8,248.69,1,8,642
3,14,00:08:24,15123,1,2,11,2,lob,0.0,0,1.0,9,0.8963414634146342,1.654635416666667,,,1,88.2,393.37,8,151.3,648.71,1,8,642
3,15,00:08:25,15166,1,2,12,2,drop,0.0,0,2.0,6,1.2134146341463414,-0.5860416666666666,,,9,222.8,785.69,8,160.1,319.37,1,8,642
3,16,00:08:26,15189,1,2,11,2,lob,0.0,1,1.0,8,-0.7463414634146341,1.4314583333333335,,,8,248.7,357.44,8,207.4,735.07,1,8,642
3,17,00:08:27,15227,1,2,12,2,smash,1.0,0,2.0,8,-0.3012195121951218,-0.9052604166666668,,,9,136.2,761.06,8,155.3,311.68,1,8,642
3,18,00:08:27,15238,1,2,11,2,defensive shot,0.0,0,2.0,7,0.5719512195121952,0.6238541666666665,,,8,131.6,304.33,9,126.9,773.74,1,8,642
3,19,00:08:28,15262,1,2,12,3,push/rush,0.0,0,2.0,10,-1.079268292682927,-1.8158333333333327,out,11.0,8,183.2,644.44,8,172.9,321.66,1,8,642
