rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
5,1,00:08:25,15161,2,3,30,1,short service,0.0,0,2.0,7,-0.2170731707317074,0.3500520833333335,,,8,186.2,322.83,8,134.0,660.23,1,42,3433
5,2,00:08:25,15177,2,3,5,2,net shot,0.0,0,2.0,7,-0.024390243902439,-0.0752083333333333,,,7,146.7,558.52,8,174.0,312.55,1,42,3433
5,3,00:08:26,15197,2,3,30,2,net shot,0.0,0,2.0,7,0.8829268292682928,0.1310416666666668,,,7,160.8,411.25,7,161.0,586.11,1,42,3433
5,4,00:08:27,15222,2,3,5,2,lob,0.0,0,1.0,9,0.2475609756097562,-1.4503645833333334,,,7,228.0,532.23,8,182.8,348.19,1,42,3433
5,5,00:08:29,15272,2,3,30,2,smash,0.0,0,2.0,5,1.2548780487804876,0.9063020833333332,,,9,190.2,161.94,8,190.1,653.33,1,42,3433
5,6,00:08:29,15286,2,3,5,2,defensive shot,0.0,0,1.0,6,1.3109756097560976,-0.6467187500000001,,,8,225.3,664.17,9,185.9,188.6,1,42,3433
5,7,00:08:30,15308,2,3,30,2,defensive shot,0.0,1,2.0,1,1.0987804878048784,0.4985937500000001,,,8,251.0,335.35,8,251.1,664.29,1,42,3433
5,8,00:08:31,15331,2,3,5,2,net shot,0.0,0,2.0,2,1.3219512195121947,-0.1346354166666667,,,8,244.9,603.62,8,219.4,320.12,1,42,3433
5,9,00:08:32,15364,2,3,30,2,lob,0.0,1,1.0,8,-0.4060975609756099,1.2231250000000002,,,7,249.9,392.1,8,217.3,618.63,1,42,3433
5,10,00:08:33,15413,2,3,5,3,smash,0.0,0,2.0,8,0.6292682926829267,-0.8599479166666667,opponent's ball landed,5.0,8,160.8,688.31,8,155.7,240.12,1,42,3433
