rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
22,1,00:16:11,29137,10,12,12,1,long service,0.0,1,1.0,4,1.1182926829268292,-1.4271874999999998,,,8,168.2,633.51,8,210.5,288.94,1,46,3884
22,2,00:16:12,29172,10,12,5,2,clear,0.0,0,1.0,9,-0.7426829268292684,1.5531770833333336,,,8,216.0,222.2,8,200.6,676.5,1,46,3884
22,3,00:16:14,29223,10,12,12,2,smash,0.0,0,2.0,8,0.0975609756097561,-1.0333854166666667,,,9,121.3,777.18,8,169.7,263.47,1,46,3884
22,4,00:16:14,29234,10,12,5,2,defensive shot,0.0,1,2.0,7,0.3487804878048779,0.4833854166666664,,,8,135.8,266.44,8,131.8,745.52,1,46,3884
22,5,00:16:15,29260,10,12,12,2,lob,0.0,0,1.0,3,-1.3317073170731708,-1.3849479166666665,,,7,175.5,583.15,8,177.8,299.3,1,46,3884
22,6,00:16:16,29297,10,12,5,2,drop,0.0,0,2.0,7,0.8780487804878049,0.45765625,,,5,90.2,209.43,8,172.6,662.62,1,46,3884
22,7,00:16:17,29321,10,12,12,2,net shot,0.0,0,2.0,2,1.281707317073171,-0.1575,,,7,228.1,573.81,8,129.7,217.51,1,46,3884
22,8,00:16:18,29348,10,12,5,2,lob,0.0,1,1.0,3,1.069512195121951,1.641875,,,2,251.2,414.61,7,206.0,593.56,1,46,3884
22,9,00:16:19,29396,10,12,12,2,smash,0.0,0,2.0,6,1.0146341463414632,-0.9696875,,,9,244.7,797.49,8,170.0,309.28,1,46,3884
22,10,00:16:20,29407,10,12,5,3,defensive shot,0.0,1,2.0,10,1.7731707317073169,0.6651562500000002,out,5.0,8,152.6,294.53,10,259.6,831.59,1,46,3884
