rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
19,1,00:44:05,79370,12,7,1,1,short service,0.0,1,2.0,7,-0.6000000000000001,0.6130208333333336,,,8,178.7,289.36,8,116.0,672.67,2,1,56
19,2,00:44:06,79390,12,7,0,2,net shot,0.0,1,2.0,2,1.074390243902439,-0.2083333333333333,,,7,142.0,579.48,8,169.5,304.13,2,1,56
19,3,00:44:07,79411,12,7,1,2,net shot,0.0,1,2.0,7,0.6682926829268294,0.2174999999999999,,,7,235.3,368.71,8,156.2,619.42,2,1,56
19,4,00:44:07,79436,12,7,0,2,push/rush,0.0,0,2.0,3,-0.973170731707317,-1.4916666666666665,,,7,206.7,531.23,8,196.5,334.76,2,1,56
19,5,00:44:08,79467,12,7,1,2,drop,0.0,0,2.0,2,-1.1341463414634143,0.1540624999999999,,,8,132.3,210.15,8,135.6,611.37,2,1,56
19,6,00:44:09,79492,12,7,0,2,net shot,0.0,1,2.0,1,-0.9926829268292684,-0.2329166666666668,,,2,100.3,530.14,9,130.9,202.06,2,1,56
19,7,00:44:10,79518,12,7,1,2,lob,0.0,0,1.0,9,0.851219512195122,1.5986979166666668,,,8,108.7,354.21,7,129.0,591.45,2,1,56
19,8,00:44:11,79558,12,7,0,2,drop,0.0,0,2.0,8,-0.7060975609756098,-0.6719791666666666,,,9,196.3,776.6,8,162.2,301.79,2,1,56
19,9,00:44:12,79584,12,7,1,2,net shot,0.0,0,2.0,7,-0.1585365853658536,0.1608333333333333,,,8,131.4,285.0,8,189.8,669.37,2,1,56
19,10,00:44:13,79609,12,7,0,2,push/rush,0.0,1,1.0,8,0.876829268292683,-1.1399479166666666,,,7,182.8,540.49,8,156.4,254.46,2,1,56
19,11,00:44:14,79624,12,7,1,2,defensive shot,0.0,1,1.0,8,0.4378048780487805,1.1621354166666666,,,8,180.6,291.8,7,188.7,568.83,2,1,56
19,12,00:44:14,79649,12,7,0,3,smash,0.0,0,2.0,7,-0.6487804878048781,-0.1582812499999999,opponent's ball landed,0.0,8,206.8,664.75,8,177.0,256.75,2,1,56
