rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
10,1,00:35:33,63991,5,5,1,1,short service,0.0,1,2.0,7,0.4890243902439024,-0.4893749999999999,,,8,171.1,641.54,8,235.0,295.55,2,56,4744
10,2,00:35:33,64014,5,5,34,2,net shot,0.0,1,2.0,7,0.0036585365853659,0.5472916666666668,,,7,178.9,398.79,8,192.6,669.63,2,56,4744
10,3,00:35:34,64037,5,5,1,2,net shot,0.0,0,2.0,7,-0.1304878048780486,-0.0942187499999998,,,8,155.2,599.08,8,176.1,351.0,2,56,4744
10,4,00:35:35,64061,5,5,34,2,lob,0.0,0,1.0,3,1.4048780487804875,1.7749999999999997,,,7,179.0,420.41,8,163.7,611.48,2,56,4744
10,5,00:35:36,64104,5,5,1,2,smash,0.0,0,2.0,5,-1.0134146341463417,-0.8172916666666667,,,9,234.5,809.47,8,180.9,314.91,2,56,4744
10,6,00:35:37,64123,5,5,34,2,defensive shot,0.0,0,2.0,2,-1.1012195121951218,0.4889583333333333,,,8,151.7,294.66,10,264.1,818.6,2,56,4744
10,7,00:35:38,64157,5,5,1,2,push/rush,0.0,1,2.0,4,1.242682926829268,-1.3903125,,,2,104.0,586.28,7,111.8,373.98,2,56,4744
10,8,00:35:39,64195,5,5,34,2,drop,0.0,1,1.0,1,1.2170731707317075,0.6466666666666665,,,8,235.6,211.17,8,189.1,668.66,2,56,4744
10,9,00:35:40,64220,5,5,1,2,push/rush,0.0,0,1.0,6,1.2341463414634144,-1.2346875,,,8,243.4,607.06,8,194.4,266.08,2,56,4744
10,10,00:35:41,64248,5,5,34,2,clear,0.0,1,1.0,9,0.171951219512195,1.5332291666666666,,,6,253.5,289.65,8,228.8,646.66,2,56,4744
10,11,00:35:43,64293,5,5,1,2,drop,0.0,0,2.0,5,-1.4,-0.5902604166666666,,,8,200.0,741.55,8,158.2,292.7,2,56,4744
10,12,00:35:43,64319,5,5,34,2,net shot,0.0,0,2.0,2,-1.1756097560975611,0.3898958333333334,,,5,84.6,344.62,8,162.6,706.84,2,56,4744
10,13,00:35:44,64347,5,5,1,2,net shot,0.0,1,2.0,1,-1.304878048780488,-0.0729166666666666,,,2,82.6,568.26,8,120.9,365.12,2,56,4744
10,14,00:35:45,64373,5,5,34,2,lob,0.0,0,1.0,9,0.5304878048780488,1.7486979166666667,,,1,91.4,434.35,7,116.1,575.6,2,56,4744
10,15,00:35:47,64417,5,5,1,2,smash,0.0,0,2.0,8,-0.0353658536585366,-0.9496875,,,9,189.6,800.84,8,153.7,320.5,2,56,4744
10,16,00:35:47,64433,5,5,34,2,defensive shot,0.0,0,2.0,7,0.1890243902439024,0.5662500000000001,,,8,148.5,284.4,10,209.6,822.86,2,56,4744
10,17,00:35:48,64462,5,5,1,2,net shot,0.0,0,2.0,7,-0.1134146341463416,-0.0701041666666665,,,8,169.1,612.59,8,172.3,316.78,2,56,4744
10,18,00:35:49,64487,5,5,34,2,lob,0.0,1,1.0,4,-1.0902439024390245,1.6299479166666668,,,7,149.9,434.71,7,167.6,586.36,2,56,4744
10,19,00:35:51,64535,5,5,1,2,drop,1.0,0,2.0,2,1.0914634146341464,-0.4597395833333332,,,9,111.2,779.09,8,142.4,326.19,2,56,4744
10,20,00:35:51,64559,5,5,34,2,push/rush,0.0,1,1.0,5,1.3317073170731706,1.4534895833333337,,,7,247.2,373.3,9,114.8,770.11,2,56,4744
10,21,00:35:52,64586,5,5,1,2,smash,0.0,0,2.0,6,1.3841463414634143,-1.141614583333333,,,8,232.2,750.26,8,212.8,334.5,2,56,4744
10,22,00:35:53,64601,5,5,34,2,defensive shot,0.0,1,2.0,1,1.169512195121951,0.5292708333333334,,,8,173.7,302.95,3,283.7,766.32,2,56,4744
10,23,00:35:54,64631,5,5,1,2,lob,0.0,0,1.0,4,1.298780487804878,-1.439375,,,7,248.7,593.44,8,194.8,295.12,2,56,4744
10,24,00:35:55,64668,5,5,34,2,drop,1.0,0,2.0,7,-0.848780487804878,0.6395833333333331,,,8,234.3,222.62,8,212.6,648.71,2,56,4744
10,25,00:35:56,64691,5,5,1,2,net shot,0.0,1,2.0,1,-1.0414634146341464,-0.1618229166666666,,,8,118.1,619.18,8,242.6,211.26,2,56,4744
10,26,00:35:57,64722,5,5,34,2,lob,0.0,0,1.0,9,0.7121951219512196,1.6826562500000002,,,1,102.7,419.9,8,142.8,642.59,2,56,4744
10,27,00:35:58,64765,5,5,1,2,clear,0.0,0,2.0,5,-1.3402439024390245,-1.3685937499999998,,,9,194.8,793.82,8,159.0,332.1,2,56,4744
10,28,00:35:59,64798,5,5,34,2,drive,0.0,0,1.0,2,-0.9475609756097562,0.6516666666666667,,,5,86.1,220.7,8,184.7,738.34,2,56,4744
10,29,00:36:00,64820,5,5,1,3,push/rush,0.0,1,2.0,10,1.6024390243902435,-1.4624479166666664,out,34.0,8,111.9,601.33,8,118.8,236.9,2,56,4744
