rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
20,1,00:36:57,66536,7,13,20,1,short service,0.0,1,2.0,7,0.3134146341463413,0.4745833333333333,,,8,160.5,326.73,8,223.7,697.26,2,23,1892
20,2,00:36:58,66555,7,13,16,2,lob,0.0,1,1.0,5,-0.9768292682926828,-1.321041666666667,,,8,220.2,621.03,8,161.1,329.79,2,23,1892
20,3,00:36:59,66595,7,13,20,2,smash,0.0,0,2.0,8,-0.1329268292682927,0.9873958333333336,,,8,124.5,238.44,8,180.1,671.6,2,23,1892
20,4,00:37:00,66609,7,13,16,2,defensive shot,0.0,1,2.0,8,0.5158536585365855,-0.6450520833333334,,,8,183.5,684.25,8,115.1,217.38,2,23,1892
20,5,00:37:01,66633,7,13,20,2,net shot,0.0,1,2.0,7,-0.7841463414634146,0.5223437499999998,,,8,196.6,321.4,8,194.9,677.29,2,23,1892
20,6,00:37:01,66657,7,13,16,2,net shot,0.0,1,2.0,7,0.578048780487805,-0.3589062500000001,,,8,122.0,627.15,8,184.2,305.54,2,23,1892
20,7,00:37:02,66682,7,13,20,2,net shot,0.0,1,2.0,7,-0.0402439024390245,0.3554166666666667,,,7,191.1,386.2,8,170.4,651.07,2,23,1892
20,8,00:37:03,66707,7,13,16,2,lob,0.0,1,1.0,9,0.7378048780487805,-1.452708333333333,,,7,188.9,587.88,7,177.9,380.24,2,23,1892
20,9,00:37:04,66741,7,13,20,2,smash,1.0,0,2.0,8,-0.1060975609756096,0.8382291666666669,,,8,206.5,212.55,8,195.1,666.37,2,23,1892
20,10,00:37:05,66752,7,13,16,2,defensive shot,0.0,1,2.0,7,0.4341463414634146,-0.5229687500000001,,,8,208.5,703.92,8,208.5,216.13,2,23,1892
20,11,00:37:06,66783,7,13,20,2,push/rush,0.0,1,1.0,6,-1.1914634146341463,1.2670833333333331,,,8,191.9,363.27,8,189.7,673.58,2,23,1892
20,12,00:37:07,66813,7,13,16,3,smash,1.0,0,2.0,10,-1.5890243902439023,-1.3644270833333334,out,20.0,8,134.7,709.53,8,142.9,320.18,2,23,1892
