rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
30,1,00:26:51,48351,17,13,4,1,short service,0.0,1,2.0,7,-0.0914634146341463,0.5652604166666665,,,8,180.4,341.53,8,116.4,689.9,1,16,1313
30,2,00:26:52,48368,17,13,10,2,net shot,0.0,0,2.0,7,-0.0365853658536585,-0.49015625,,,8,125.5,595.99,8,168.5,316.13,1,16,1313
30,3,00:26:52,48388,17,13,4,2,net shot,0.0,0,2.0,7,0.6365853658536584,0.4626041666666669,,,7,187.4,366.12,8,164.9,642.68,1,16,1313
30,4,00:26:53,48409,17,13,10,2,net shot,0.0,0,2.0,7,-0.4231707317073169,-0.1941666666666665,,,8,224.4,631.06,8,171.9,355.21,1,16,1313
30,5,00:26:54,48432,17,13,4,2,net shot,0.0,0,2.0,2,-1.0731707317073171,0.3987499999999997,,,7,155.7,437.52,8,205.6,634.01,1,16,1313
30,6,00:26:55,48459,17,13,10,2,push/rush,0.0,1,1.0,6,1.1987804878048782,-1.3378125,,,8,111.5,602.14,8,162.3,364.23,1,16,1313
30,7,00:26:56,48498,17,13,4,2,smash,1.0,0,2.0,5,1.389024390243902,1.1586979166666669,,,8,234.8,221.66,8,196.1,696.11,1,16,1313
30,8,00:26:57,48511,17,13,10,2,defensive shot,0.0,0,1.0,6,1.3170731707317074,-0.6369270833333335,,,8,225.2,720.93,6,252.2,215.96,1,16,1313
30,9,00:26:57,48535,17,13,4,2,push/rush,1.0,0,2.0,8,-0.5597560975609757,1.220416666666667,,,8,238.7,324.54,8,250.9,716.0,1,16,1313
30,10,00:26:58,48547,17,13,10,2,defensive shot,0.0,1,1.0,8,-0.3280487804878049,-0.5689583333333333,,,8,232.7,738.82,7,217.6,406.41,1,16,1313
30,11,00:26:58,48565,17,13,4,2,defensive shot,0.0,0,2.0,2,-1.0304878048780488,0.4503125000000001,,,7,201.2,412.8,8,115.4,747.04,1,16,1313
30,12,00:26:59,48591,17,13,10,2,lob,0.0,1,1.0,9,0.7426829268292684,-1.420677083333333,,,6,91.9,630.2,8,123.4,297.61,1,16,1313
30,13,00:27:01,48633,17,13,4,2,clear,1.0,0,1.0,5,1.0853658536585369,1.3474479166666669,,,8,204.3,219.5,8,207.6,703.67,1,16,1313
30,14,00:27:02,48663,17,13,10,2,smash,0.0,0,2.0,6,1.0621951219512198,-0.9313541666666666,,,8,249.9,748.11,8,182.6,289.39,1,16,1313
30,15,00:27:02,48674,17,13,4,2,defensive shot,0.0,1,1.0,8,0.2012195121951219,0.9217708333333334,,,8,169.8,289.59,3,266.1,783.65,1,16,1313
30,16,00:27:03,48691,17,13,10,2,net shot,0.0,1,2.0,2,1.3109756097560976,-0.4746354166666666,,,8,235.3,702.35,8,183.1,318.28,1,16,1313
30,17,00:27:03,48715,17,13,4,2,net shot,0.0,1,2.0,1,1.2414634146341466,0.34765625,,,2,254.0,369.67,8,198.8,661.9,1,16,1313
30,18,00:27:04,48744,17,13,10,2,lob,0.0,0,1.0,4,1.395121951219512,-1.4111979166666666,,,7,248.2,575.04,8,210.4,343.41,1,16,1313
30,19,00:27:06,48782,17,13,4,3,drop,1.0,0,2.0,10,-1.673170731707317,0.5776041666666666,out,10.0,8,246.0,226.84,8,215.2,669.94,1,16,1313
