rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
21,1,00:38:32,69377,16,5,10,1,long service,0.0,1,1.0,8,-0.7109756097560975,1.3497395833333332,,,8,184.9,326.65,8,131.2,667.16,2,22,1830
21,2,00:38:33,69409,16,5,17,2,smash,0.0,0,1.0,5,-0.9439024390243904,-0.9389583333333332,,,8,142.0,731.51,8,151.7,278.35,2,22,1830
21,3,00:38:34,69425,16,5,10,2,defensive shot,0.0,0,2.0,1,1.069512195121951,0.5372395833333332,,,8,124.6,290.62,9,119.8,764.52,2,22,1830
21,4,00:38:35,69451,16,5,17,2,net shot,0.0,1,2.0,7,0.1548780487804876,-0.4532812499999998,,,7,234.0,582.4,8,164.2,310.65,2,22,1830
21,5,00:38:35,69478,16,5,10,2,lob,0.0,1,1.0,8,-0.8060975609756097,1.3833333333333335,,,7,173.3,382.48,8,199.5,610.66,2,22,1830
21,6,00:38:37,69522,16,5,17,2,smash,0.0,0,2.0,5,-1.3109756097560976,-0.99375,,,9,132.6,766.27,8,136.4,281.22,2,22,1830
21,7,00:38:37,69536,16,5,10,2,defensive shot,0.0,0,2.0,2,-1.3304878048780486,0.5505729166666669,,,8,117.0,277.47,9,127.3,782.82,2,22,1830
21,8,00:38:38,69560,16,5,17,2,defensive shot,0.0,0,2.0,1,-1.3304878048780486,-0.4533333333333334,,,6,89.5,610.59,8,105.8,283.69,2,22,1830
21,9,00:38:39,69588,16,5,10,2,lob,0.0,0,1.0,6,-0.9560975609756098,1.3479687499999995,,,5,83.6,365.99,8,139.9,625.49,2,22,1830
21,10,00:38:40,69629,16,5,17,2,smash,0.0,0,2.0,5,-1.1170731707317072,-1.0086979166666667,,,9,119.9,758.32,8,124.7,277.67,2,22,1830
21,11,00:38:41,69641,16,5,10,2,defensive shot,0.0,0,1.0,7,0.5329268292682925,0.5773437500000002,,,8,118.0,270.93,4,86.4,776.19,2,22,1830
21,12,00:38:42,69665,16,5,17,2,push/rush,0.0,1,1.0,8,-0.3634146341463416,-0.8495833333333334,,,7,207.5,592.37,8,123.3,274.36,2,22,1830
21,13,00:38:42,69679,16,5,10,2,drive,0.0,1,2.0,8,0.602439024390244,0.7190104166666664,,,8,153.0,313.49,8,195.4,610.58,2,22,1830
21,14,00:38:43,69694,16,5,17,2,drive,0.0,1,1.0,8,0.7231707317073172,-0.9546354166666668,,,8,156.2,641.34,8,156.1,316.68,2,22,1830
21,15,00:38:43,69708,16,5,10,2,drive,0.0,1,2.0,5,1.0231707317073169,0.9078645833333332,,,8,169.9,307.65,8,171.0,643.53,2,22,1830
21,16,00:38:44,69721,16,5,17,2,defensive shot,0.0,1,2.0,6,1.4036585365853662,-0.6542708333333334,,,8,166.2,658.54,8,203.4,333.21,2,22,1830
21,17,00:38:44,69748,16,5,10,2,lob,0.0,1,1.0,5,1.5585365853658537,1.442135416666667,,,6,263.6,352.69,8,194.3,662.76,2,22,1830
21,18,00:38:46,69781,16,5,17,3,drop,0.0,1,2.0,1,1.119512195121951,0.1194270833333333,touched the net,10.0,3,289.1,759.48,8,206.6,295.89,2,22,1830
