rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
11,1,00:15:02,27066,7,4,10,1,short service,0.0,1,2.0,7,-0.3475609756097561,0.4764062500000001,,,8,183.6,328.3,8,128.8,665.17,1,51,4333
11,2,00:15:02,27082,7,4,31,2,net shot,0.0,0,2.0,1,-1.0048780487804878,-0.1883333333333334,,,7,130.3,577.62,8,175.3,308.13,1,51,4333
11,3,00:15:03,27106,7,4,10,2,lob,0.0,0,1.0,5,1.274390243902439,1.4240624999999998,,,7,111.7,373.21,8,148.9,620.13,1,51,4333
11,4,00:15:04,27141,7,4,31,2,smash,0.0,0,2.0,6,1.007317073170732,-0.95046875,,,9,240.8,759.01,8,161.6,289.85,1,51,4333
11,5,00:15:05,27153,7,4,10,2,defensive shot,0.0,1,2.0,8,0.7341463414634145,0.7241145833333332,,,8,159.7,281.83,9,246.0,760.79,1,51,4333
11,6,00:15:05,27177,7,4,31,2,net shot,0.0,0,2.0,8,0.0439024390243901,-0.5598958333333334,,,8,217.3,645.61,8,185.5,284.51,1,51,4333
11,7,00:15:06,27201,7,4,10,2,lob,0.0,1,1.0,4,-1.1536585365853658,1.5236979166666664,,,7,142.4,373.25,8,195.2,652.7,1,51,4333
11,8,00:15:07,27235,7,4,31,2,smash,1.0,0,2.0,5,-1.1804878048780487,-1.0209895833333331,,,8,137.5,740.32,8,145.1,279.13,1,51,4333
11,9,00:15:08,27254,7,4,10,2,defensive shot,0.0,0,2.0,1,1.1743902439024392,0.3657291666666668,,,5,98.8,257.07,9,115.9,764.97,1,51,4333
11,10,00:15:09,27284,7,4,31,2,lob,0.0,0,1.0,9,0.8414634146341463,-1.5530208333333333,,,7,245.4,578.15,8,184.7,279.12,1,51,4333
11,11,00:15:11,27330,7,4,10,2,smash,0.0,0,2.0,5,1.0987804878048784,0.8868229166666666,,,10,229.3,135.18,8,200.8,657.46,1,51,4333
11,12,00:15:11,27346,7,4,31,2,defensive shot,0.0,0,2.0,7,-0.7219512195121952,-0.3505729166666667,,,8,233.9,663.49,9,212.7,168.88,1,51,4333
11,13,00:15:12,27376,7,4,10,2,lob,0.0,0,1.0,5,1.4219512195121955,1.4860937500000002,,,8,120.3,357.11,8,182.7,650.24,1,51,4333
11,14,00:15:13,27416,7,4,31,2,smash,0.0,0,2.0,6,1.547560975609756,-1.0939583333333334,,,3,261.1,771.99,8,163.9,270.94,1,51,4333
11,15,00:15:14,27436,7,4,10,2,defensive shot,0.0,1,2.0,1,1.5195121951219517,0.4719270833333334,,,6,269.2,268.15,8,230.0,715.06,1,51,4333
11,16,00:15:15,27460,7,4,31,2,net shot,0.0,0,2.0,2,1.5256097560975612,-0.3154687499999999,,,5,261.4,606.17,8,226.6,265.39,1,51,4333
11,17,00:15:16,27488,7,4,10,2,lob,0.0,1,1.0,9,-0.574390243902439,1.6388020833333332,,,2,271.4,377.94,8,222.8,630.77,1,51,4333
11,18,00:15:17,27533,7,4,31,2,clear,1.0,0,1.0,3,-1.298780487804878,-1.4179166666666667,,,9,158.3,762.72,8,157.0,270.94,1,51,4333
11,19,00:15:19,27575,7,4,10,2,clear,0.0,0,1.0,4,-1.051219512195122,1.5104166666666667,,,3,69.0,159.28,8,167.7,681.13,1,51,4333
11,20,00:15:20,27628,7,4,31,2,smash,0.0,0,2.0,5,-1.0939024390243903,-1.06421875,,,8,106.7,756.26,8,147.4,270.95,1,51,4333
11,21,00:15:21,27645,7,4,10,2,defensive shot,0.0,0,2.0,2,-1.2304878048780488,0.6630729166666663,,,8,127.0,259.86,8,107.4,753.63,1,51,4333
11,22,00:15:22,27673,7,4,31,2,lob,0.0,1,1.0,4,1.079268292682927,-1.5192708333333331,,,6,105.0,621.19,8,139.7,273.69,1,51,4333
11,23,00:15:23,27709,7,4,10,2,smash,1.0,0,2.0,5,1.2243902439024388,1.0545833333333334,,,9,218.7,188.21,8,207.1,657.5,1,51,4333
11,24,00:15:24,27722,7,4,31,2,defensive shot,0.0,0,2.0,8,0.5963414634146342,-0.6210416666666667,,,8,221.5,690.16,9,231.6,191.36,1,51,4333
11,25,00:15:25,27750,7,4,10,2,push/rush,0.0,1,1.0,6,-0.9158536585365852,1.21859375,,,8,189.9,350.11,8,215.8,715.97,1,51,4333
11,26,00:15:25,27775,7,4,31,2,drop,1.0,0,2.0,2,0.9987804878048778,-0.4993749999999999,,,8,138.2,691.77,8,148.9,292.5,1,51,4333
11,27,00:15:26,27807,7,4,10,2,lob,0.0,1,1.0,8,0.7609756097560977,1.4653125000000002,,,8,232.7,350.15,8,163.9,682.21,1,51,4333
11,28,00:15:28,27840,7,4,31,2,clear,0.0,0,1.0,8,0.9182926829268294,-1.3546354166666668,,,9,206.8,763.95,8,183.8,287.19,1,51,4333
11,29,00:15:28,27868,7,4,10,2,smash,1.0,0,2.0,5,1.2731707317073169,0.9447395833333332,,,8,223.9,222.12,8,213.7,695.44,1,51,4333
11,30,00:15:29,27883,7,4,31,2,defensive shot,0.0,0,2.0,6,1.3621951219512194,-0.68359375,,,8,215.4,671.39,9,213.8,197.66,1,51,4333
11,31,00:15:30,27914,7,4,10,2,push/rush,0.0,1,2.0,5,1.5292682926829266,1.448802083333333,,,7,248.5,366.53,8,213.2,634.49,1,51,4333
11,32,00:15:31,27946,7,4,31,2,clear,0.0,0,1.0,4,1.4670731707317075,-1.4526562499999998,,,3,255.9,763.46,8,209.8,302.98,1,51,4333
11,33,00:15:32,27986,7,4,10,3,smash,0.0,0,2.0,10,1.673170731707317,1.1820312500000003,out,10.0,4,258.3,168.79,8,214.6,677.0,1,51,4333
