rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
27,1,00:21:06,37987,13,14,5,1,short service,0.0,1,2.0,7,0.4121951219512196,0.3941666666666664,,,8,163.4,329.19,8,215.9,694.0,1,19,1522
27,2,00:21:06,38002,13,14,10,2,net shot,0.0,0,2.0,7,0.1658536585365853,-0.1270312499999999,,,7,211.4,592.59,8,164.7,315.12,1,19,1522
27,3,00:21:07,38024,13,14,5,2,lob,0.0,1,1.0,9,-0.8073170731707318,1.58140625,,,7,157.1,422.5,8,197.0,604.72,1,19,1522
27,4,00:21:08,38068,13,14,10,2,smash,1.0,0,2.0,8,0.7280487804878047,-0.8646874999999999,,,9,126.0,789.15,8,144.5,317.41,1,19,1522
27,5,00:21:09,38085,13,14,5,2,defensive shot,0.0,1,2.0,5,1.2121951219512193,0.7117187499999998,,,8,126.4,298.21,9,112.3,802.65,1,19,1522
27,6,00:21:10,38110,13,14,10,2,net shot,0.0,0,2.0,2,1.2170731707317075,-0.2080729166666666,,,8,232.6,662.34,8,187.0,329.27,1,19,1522
27,7,00:21:11,38133,13,14,5,2,net shot,0.0,1,2.0,1,1.4012195121951216,0.3523437499999999,,,7,233.6,420.79,8,231.2,687.63,1,19,1522
27,8,00:21:11,38159,13,14,10,2,lob,0.0,0,1.0,4,1.302439024390244,-1.4330208333333332,,,1,270.7,566.07,7,213.6,372.19,1,19,1522
27,9,00:21:13,38207,13,14,5,2,drop,1.0,0,2.0,8,-0.0792682926829268,0.7243229166666669,,,9,236.6,200.1,8,214.0,675.69,1,19,1522
27,10,00:21:14,38226,13,14,10,2,net shot,0.0,0,2.0,1,-0.9890243902439024,-0.3186458333333333,,,8,172.0,663.32,8,224.9,232.57,1,19,1522
27,11,00:21:15,38252,13,14,5,3,lob,0.0,0,2.0,10,0.5963414634146342,1.8731770833333328,out,10.0,8,104.3,365.19,8,156.7,665.94,1,19,1522
