rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
30,1,00:20:52,37566,18,12,15,1,short service,0.0,0,2.0,7,0.7682926829268293,0.3596354166666664,,,8,170.4,311.73,8,219.0,681.78,1,18,1458
30,2,00:20:52,37588,18,12,18,2,lob,0.0,0,1.0,3,-0.876829268292683,-1.5545833333333334,,,8,208.4,595.39,8,185.9,309.38,1,18,1458
30,3,00:20:54,37631,18,12,15,2,drop,0.0,0,2.0,6,-1.0,0.9244791666666666,,,8,134.8,204.87,8,184.4,643.61,1,18,1458
30,4,00:20:54,37648,18,12,18,2,net shot,0.0,1,2.0,7,0.1329268292682927,-0.4002604166666668,,,8,177.3,668.27,9,140.6,196.63,1,18,1458
30,5,00:20:55,37678,18,12,15,2,lob,0.0,0,1.0,5,1.0060975609756098,1.3925,,,7,146.9,394.27,8,178.4,677.59,1,18,1458
30,6,00:20:56,37708,18,12,18,2,smash,0.0,0,2.0,5,-1.0817073170731708,-1.0119791666666669,,,8,224.8,743.54,8,199.5,287.7,1,18,1458
30,7,00:20:57,37728,18,12,15,2,defensive shot,0.0,1,2.0,2,-0.9829268292682928,0.3563541666666664,,,8,164.7,287.64,8,238.2,724.66,1,18,1458
30,8,00:20:58,37762,18,12,18,2,lob,0.0,1,1.0,4,1.0719512195121947,-1.5246875,,,7,115.1,573.14,8,147.1,297.34,1,18,1458
30,9,00:21:00,37805,18,12,15,2,clear,0.0,0,1.0,6,-1.1451219512195123,1.4891666666666663,,,4,255.9,174.26,8,191.6,665.67,1,18,1458
30,10,00:21:01,37839,18,12,18,2,smash,1.0,0,2.0,5,-1.2439024390243902,-0.9861979166666668,,,8,149.3,704.41,8,172.4,239.61,1,18,1458
30,11,00:21:01,37852,18,12,15,2,defensive shot,0.0,1,2.0,1,1.2646341463414632,0.5816145833333332,,,8,166.7,267.8,8,115.4,733.42,1,18,1458
30,12,00:21:02,37886,18,12,18,2,net shot,0.0,0,2.0,2,1.3841463414634143,-0.1126041666666666,,,8,240.3,600.13,8,178.2,280.28,1,18,1458
30,13,00:21:03,37914,18,12,15,2,lob,0.0,0,1.0,3,1.3792682926829272,1.6013020833333336,,,2,266.7,400.89,8,211.7,617.9,1,18,1458
30,14,00:21:05,37955,18,12,18,2,drop,0.0,0,1.0,2,1.135365853658537,-0.30109375,,,3,260.2,787.21,8,207.7,304.65,1,18,1458
30,15,00:21:06,37981,18,12,15,2,net shot,0.0,0,2.0,2,-1.025609756097561,0.3650520833333335,,,2,251.3,381.8,8,215.8,735.27,1,18,1458
30,16,00:21:06,38009,18,12,18,2,lob,0.0,1,1.0,9,-0.6109756097560974,-1.3795833333333334,,,7,119.2,573.16,8,206.0,316.52,1,18,1458
30,17,00:21:08,38063,18,12,15,2,drop,0.0,0,2.0,1,1.148780487804878,0.2890625,,,9,142.7,188.31,8,169.3,644.93,1,18,1458
30,18,00:21:09,38091,18,12,18,2,net shot,0.0,0,2.0,2,1.3658536585365857,-0.0621354166666667,,,1,253.0,569.02,8,175.4,234.38,1,18,1458
30,19,00:21:10,38120,18,12,15,2,lob,0.0,0,1.0,4,-0.9207317073170732,1.61703125,,,2,260.5,394.58,8,220.7,598.51,1,18,1458
30,20,00:21:12,38161,18,12,18,3,clear,0.0,0,2.0,3,-1.0963414634146342,-1.5845312500000002,misjudged,18.0,9,158.9,765.82,8,173.9,302.2,1,18,1458
