rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
21,1,00:52:24,94343,10,11,2,1,long service,0.0,0,1.0,4,-0.9170731707317074,1.6642708333333331,,,8,184.3,324.12,8,132.3,713.13,3,15,1265
21,2,00:52:26,94397,10,11,14,2,drop,0.0,0,2.0,7,0.8207317073170733,-0.375625,,,4,97.2,786.54,8,141.1,326.53,3,15,1265
21,3,00:52:27,94426,10,11,2,2,lob,0.0,1,1.0,8,0.7268292682926829,1.475833333333333,,,7,215.1,389.69,8,152.4,716.58,3,15,1265
21,4,00:52:28,94461,10,11,14,2,drop,0.0,0,2.0,1,-1.076829268292683,-0.3536458333333332,,,9,209.7,760.33,8,183.8,310.49,3,15,1265
21,5,00:52:29,94489,10,11,2,2,lob,0.0,0,1.0,5,0.9975609756097562,1.466875,,,7,104.8,381.47,8,188.5,706.01,3,15,1265
21,6,00:52:31,94531,10,11,14,2,clear,0.0,0,1.0,4,1.2060975609756095,-1.3996875,,,8,217.2,752.07,8,163.7,307.6,3,15,1265
21,7,00:52:32,94577,10,11,2,2,clear,1.0,0,1.0,5,1.1878048780487802,1.3967187499999998,,,8,247.0,210.17,8,207.9,698.91,3,15,1265
21,8,00:52:33,94611,10,11,14,2,drop,0.0,0,2.0,2,1.4817073170731707,-0.3610937499999999,,,8,248.9,741.97,8,202.3,262.88,3,15,1265
21,9,00:52:34,94639,10,11,2,2,lob,0.0,1,1.0,9,-0.5402439024390245,1.563125,,,2,269.7,379.83,8,231.6,700.65,3,15,1265
21,10,00:52:36,94680,10,11,14,2,clear,1.0,0,1.0,5,-1.3170731707317074,-1.2991666666666666,,,9,168.7,771.87,8,183.2,329.51,3,15,1265
21,11,00:52:37,94719,10,11,2,2,clear,0.0,0,1.0,4,-1.0182926829268293,1.529635416666667,,,5,73.6,232.57,8,162.0,693.64,3,15,1265
21,12,00:52:38,94753,10,11,14,2,clear,1.0,0,1.0,4,1.1914634146341463,-1.3997916666666663,,,8,113.8,732.15,8,139.8,285.15,3,15,1265
21,13,00:52:39,94790,10,11,2,2,clear,1.0,0,1.0,3,0.9658536585365852,1.5610937500000002,,,8,220.5,239.76,8,161.3,720.02,3,15,1265
21,14,00:52:41,94830,10,11,14,2,drop,0.0,0,2.0,1,-1.35,-0.2507812499999999,,,9,236.5,758.61,8,190.4,254.11,3,15,1265
21,15,00:52:41,94858,10,11,2,2,lob,0.0,0,1.0,6,-1.3621951219512196,1.4346354166666668,,,1,85.2,368.5,8,207.2,709.49,3,15,1265
21,16,00:52:43,94900,10,11,14,2,clear,1.0,0,1.0,6,0.95,-1.353125,,,8,112.7,749.03,8,128.5,334.52,3,15,1265
21,17,00:52:44,94932,10,11,2,2,smash,1.0,0,2.0,8,0.898780487804878,1.0475520833333334,,,8,197.9,245.43,8,149.1,706.08,3,15,1265
21,18,00:52:44,94947,10,11,14,2,defensive shot,0.0,0,2.0,2,1.2207317073170734,-0.4009895833333334,,,8,210.8,711.23,8,225.0,268.79,3,15,1265
21,19,00:52:45,94978,10,11,2,2,lob,0.0,1,1.0,3,1.4707317073170734,1.6275000000000002,,,7,245.4,366.84,8,207.3,680.97,3,15,1265
21,20,00:52:47,95029,10,11,14,2,drop,0.0,0,2.0,7,0.8792682926829267,-0.3755208333333334,,,3,260.8,793.84,8,191.1,316.01,3,15,1265
21,21,00:52:48,95059,10,11,2,2,lob,0.0,1,1.0,9,-0.4841463414634145,1.5375000000000003,,,7,224.6,374.46,8,209.8,693.57,3,15,1265
21,22,00:52:49,95096,10,11,14,2,clear,1.0,0,1.0,4,0.9292682926829268,-1.4488541666666668,,,9,143.6,763.81,8,168.3,342.78,3,15,1265
21,23,00:52:51,95135,10,11,2,2,drop,1.0,0,2.0,1,0.952439024390244,0.4300520833333336,,,8,203.9,227.78,8,168.8,706.05,3,15,1265
21,24,00:52:52,95160,10,11,14,2,net shot,0.0,0,2.0,2,1.2829268292682925,-0.0827083333333333,,,8,236.7,620.74,8,202.0,242.54,3,15,1265
