rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
16,1,00:33:08,59644,11,5,14,1,long service,0.0,0,1.0,9,-0.471951219512195,-1.5261979166666666,,,8,191.2,613.25,8,137.8,216.65,2,35,2867
16,2,00:33:10,59707,11,5,2,2,clear,0.0,0,1.0,8,-0.7939024390243902,1.2603645833333337,,,9,146.2,159.32,8,177.6,656.06,2,35,2867
16,3,00:33:11,59738,11,5,14,2,smash,0.0,0,2.0,6,0.9853658536585368,-1.0365624999999998,,,8,130.8,696.92,8,142.9,246.94,2,35,2867
16,4,00:33:11,59755,11,5,2,2,defensive shot,0.0,1,2.0,1,1.1475609756097565,0.3475520833333334,,,8,132.2,263.19,8,125.8,736.01,2,35,2867
16,5,00:33:13,59791,11,5,14,2,lob,0.0,0,2.0,5,-1.1219512195121952,-1.3024479166666667,,,7,241.2,586.17,8,217.1,302.33,2,35,2867
16,6,00:33:14,59822,11,5,2,2,clear,0.0,0,1.0,6,-0.873170731707317,1.0317187500000002,,,8,114.5,211.17,8,169.5,628.37,2,35,2867
16,7,00:33:14,59846,11,5,14,2,clear,0.0,0,1.0,3,-0.8792682926829267,-1.495104166666667,,,8,112.9,663.29,8,139.8,252.38,2,35,2867
16,8,00:33:16,59880,11,5,2,2,drop,0.0,0,2.0,7,-0.7573170731707316,0.2288020833333333,,,9,109.3,191.38,8,138.9,686.44,2,35,2867
16,9,00:33:16,59905,11,5,14,2,net shot,0.0,1,2.0,1,-0.8719512195121951,-0.0426041666666667,,,7,124.3,546.25,8,137.1,246.97,2,35,2867
16,10,00:33:17,59933,11,5,2,2,lob,0.0,0,1.0,5,1.0573170731707315,1.4450520833333336,,,7,120.2,406.17,7,136.9,576.39,2,35,2867
16,11,00:33:19,59996,11,5,14,2,drop,0.0,0,2.0,1,-1.1829268292682926,-0.4899479166666666,,,8,233.1,749.35,8,164.9,299.95,2,35,2867
16,12,00:33:20,60024,11,5,2,2,net shot,0.0,0,2.0,1,0.954878048780488,0.2496875000000002,,,5,96.5,358.24,8,187.2,666.91,2,35,2867
16,13,00:33:21,60055,11,5,14,2,lob,0.0,0,1.0,4,1.40609756097561,-1.410885416666667,,,7,220.3,525.48,8,173.9,333.11,2,35,2867
16,14,00:33:23,60094,11,5,2,2,clear,0.0,1,1.0,5,1.434146341463415,1.287864583333333,,,4,263.0,193.4,8,196.0,628.37,2,35,2867
16,15,00:33:24,60127,11,5,14,2,clear,0.0,0,1.0,4,1.430487804878049,-1.4109895833333332,,,5,255.5,722.74,8,193.8,257.53,2,35,2867
16,16,00:33:25,60163,11,5,2,2,clear,0.0,1,1.0,8,0.9146341463414634,1.0225000000000002,,,4,273.3,187.62,8,211.8,656.07,2,35,2867
16,17,00:33:26,60205,11,5,14,3,smash,0.0,0,2.0,6,1.4170731707317072,-1.2934375,opponent's ball landed,14.0,8,237.2,663.32,8,178.8,249.49,2,35,2867
