rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
2,1,00:32:33,58618,0,2,2,1,long service,0.0,0,1.0,9,-0.5195121951219511,1.7140104166666668,,,8,186.6,313.0,8,133.0,710.33,2,10,828
2,2,00:32:35,58676,0,2,14,2,smash,0.0,0,2.0,5,-1.1585365853658536,-0.7435416666666667,,,9,129.8,794.62,8,155.0,316.67,2,10,828
2,3,00:32:36,58694,0,2,2,2,defensive shot,0.0,0,1.0,4,-1.2304878048780488,1.5402083333333334,,,8,117.6,317.52,8,150.3,748.75,2,10,828
2,4,00:32:37,58732,0,2,14,2,clear,1.0,0,1.0,3,-0.9085365853658536,-1.56171875,,,8,113.4,741.07,8,143.8,277.72,2,10,828
2,5,00:32:38,58769,0,2,2,2,clear,0.0,0,1.0,4,-1.023170731707317,1.5638020833333333,,,3,102.9,180.96,8,156.4,683.44,2,10,828
2,6,00:32:40,58810,0,2,14,2,clear,1.0,0,1.0,3,-1.2378048780487805,-1.46796875,,,8,113.8,739.41,8,139.9,262.25,2,10,828
2,7,00:32:41,58848,0,2,2,2,drop,0.0,0,2.0,1,1.0585365853658537,0.1883333333333334,,,5,77.1,205.39,8,157.4,687.03,2,10,828
2,8,00:32:42,58874,0,2,14,2,net shot,0.0,0,2.0,2,1.2926829268292683,-5.208333333328597e-05,,,7,234.2,564.05,8,149.3,246.18,2,10,828
2,9,00:32:43,58904,0,2,2,2,lob,0.0,1,1.0,3,1.3000000000000005,1.6401041666666665,,,2,257.9,419.58,7,217.2,583.41,2,10,828
2,10,00:32:45,58960,0,2,14,2,drop,0.0,0,2.0,1,-1.2036585365853658,-0.2274479166666667,,,3,260.8,775.96,8,188.5,301.03,2,10,828
2,11,00:32:46,58991,0,2,2,2,lob,0.0,0,1.0,4,-1.1841463414634146,1.564791666666667,,,1,99.1,372.08,8,189.9,679.31,2,10,828
2,12,00:32:47,59026,0,2,14,2,smash,1.0,0,2.0,5,-1.2000000000000002,-0.8980729166666667,,,8,116.7,755.71,8,137.2,305.2,2,10,828
2,13,00:32:48,59045,0,2,2,2,defensive shot,0.0,0,2.0,2,-1.1585365853658536,0.3018229166666669,,,8,114.5,259.71,8,114.5,745.99,2,10,828
2,14,00:32:49,59080,0,2,14,2,lob,0.0,1,1.0,3,-1.098780487804878,-1.39859375,,,2,103.1,577.0,8,156.7,313.68,2,10,828
2,15,00:32:50,59127,0,2,2,2,clear,0.0,0,1.0,4,-0.8926829268292683,1.5958854166666665,,,3,102.1,191.25,8,151.7,648.3,2,10,828
2,16,00:32:52,59166,0,2,14,2,clear,0.0,0,1.0,5,-1.0621951219512191,-1.2094270833333334,,,9,112.5,757.38,8,150.7,255.69,2,10,828
2,17,00:32:53,59193,0,2,2,2,clear,0.0,0,1.0,9,-0.6341463414634146,1.5862499999999995,,,8,125.3,278.16,8,136.2,712.01,2,10,828
2,18,00:32:54,59243,0,2,14,3,clear,0.0,0,2.0,10,1.7073170731707317,-1.59046875,out,14.0,9,121.7,760.47,8,149.4,289.85,2,10,828
