rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
33,1,01:04:36,116302,16,17,10,1,long service,0.0,1,1.0,9,-0.6402439024390244,-1.4781770833333334,,,8,189.1,618.8,8,134.2,259.84,3,7,634
33,2,01:04:37,116331,16,17,9,2,smash,0.0,0,2.0,8,0.8341463414634147,1.1056770833333331,,,9,115.3,160.81,8,194.9,671.32,3,7,634
33,3,01:04:38,116346,16,17,10,2,defensive shot,0.0,0,2.0,2,1.1853658536585363,-0.4900520833333332,,,8,210.6,693.42,9,110.6,177.51,3,7,634
33,4,01:04:39,116376,16,17,9,2,lob,0.0,0,1.0,5,1.2804878048780488,1.44984375,,,8,242.1,333.94,8,204.1,689.01,3,7,634
33,5,01:04:40,116409,16,17,10,2,smash,0.0,0,2.0,5,-0.8914634146341462,-1.0548958333333334,,,3,266.7,766.1,8,173.6,260.36,3,7,634
33,6,01:04:40,116424,16,17,9,2,defensive shot,0.0,0,2.0,7,-0.6402439024390244,0.5891666666666667,,,8,159.2,262.7,10,316.4,800.45,3,7,634
33,7,01:04:41,116457,16,17,10,2,lob,0.0,1,1.0,9,0.8560975609756096,-1.4696875,,,8,140.5,605.26,8,128.8,292.03,3,7,634
33,8,01:04:43,116502,16,17,9,2,smash,1.0,0,2.0,8,0.4634146341463415,0.8990625,,,9,222.2,165.04,8,207.2,678.85,3,7,634
33,9,01:04:43,116516,16,17,10,2,net shot,0.0,0,2.0,5,-0.9743902439024392,-0.7761458333333332,,,8,197.7,674.32,8,227.6,209.02,3,7,634
33,10,01:04:44,116541,16,17,9,2,lob,0.0,0,1.0,6,-1.075609756097561,0.92328125,,,8,121.8,304.04,8,161.0,640.54,3,7,634
33,11,01:04:45,116558,16,17,10,2,drive,0.0,1,1.0,8,-0.2756097560975609,-1.0383854166666666,,,8,137.0,640.24,8,127.1,296.87,3,7,634
33,12,01:04:45,116570,16,17,9,2,drive,0.0,1,2.0,7,-0.3878048780487806,0.2882291666666668,,,8,120.2,252.04,6,104.0,646.02,3,7,634
33,13,01:04:46,116592,16,17,10,2,lob,0.0,1,1.0,4,0.9829268292682928,-1.4546875,,,8,171.6,599.09,8,143.7,265.01,3,7,634
33,14,01:04:47,116623,16,17,9,2,clear,1.0,0,1.0,4,-1.1585365853658536,1.5528125,,,9,222.8,195.46,8,195.0,666.85,3,7,634
33,15,01:04:48,116664,16,17,10,2,drop,1.0,0,2.0,7,0.3280487804878049,-0.4832291666666665,,,8,126.8,742.19,8,156.5,244.84,3,7,634
33,16,01:04:49,116685,16,17,9,2,lob,0.0,1,1.0,8,-0.7548780487804879,1.1805729166666663,,,8,184.5,335.52,8,133.7,732.88,3,7,634
33,17,01:04:50,116713,16,17,10,2,smash,0.0,0,2.0,8,-0.3865853658536584,-1.1446354166666668,,,8,123.0,705.16,8,150.7,277.58,3,7,634
33,18,01:04:50,116729,16,17,9,2,defensive shot,0.0,0,2.0,1,0.992682926829268,0.4542708333333334,,,8,134.9,262.38,8,152.1,691.27,3,7,634
33,19,01:04:51,116753,16,17,10,2,push/rush,0.0,0,1.0,4,1.3219512195121947,-1.438489583333333,,,8,232.9,594.89,8,166.2,275.3,3,7,634
33,20,01:04:52,116787,16,17,9,2,drop,1.0,0,2.0,7,-0.8573170731707317,0.4989062499999998,,,4,255.3,193.17,8,215.4,674.53,3,7,634
33,21,01:04:53,116814,16,17,10,2,lob,0.0,1,1.0,9,0.7097560975609755,-1.5282291666666663,,,8,124.0,608.32,9,240.0,203.81,3,7,634
33,22,01:04:55,116856,16,17,9,2,smash,1.0,0,2.0,8,-0.076829268292683,0.7809895833333336,,,9,215.9,181.67,8,207.9,687.61,3,7,634
33,23,01:04:55,116871,16,17,10,2,defensive shot,0.0,1,2.0,2,1.1060975609756096,-0.4331250000000001,,,8,207.3,672.95,8,207.0,208.75,3,7,634
33,24,01:04:56,116899,16,17,9,2,net shot,0.0,1,2.0,7,0.4597560975609754,0.21578125,,,8,240.8,350.03,8,195.5,660.85,3,7,634
33,25,01:04:57,116926,16,17,10,2,lob,0.0,0,1.0,4,1.0682926829268296,-1.51171875,,,7,205.4,526.77,8,208.3,309.95,3,7,634
33,26,01:04:59,116971,16,17,9,2,clear,1.0,0,1.0,3,1.0719512195121947,1.6434375,,,9,238.8,162.45,8,203.8,633.26,3,7,634
