rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
26,1,00:56:43,102110,17,9,29,1,long service,0.0,0,1.0,4,1.079268292682927,-1.5743229166666666,,,8,166.4,663.45,8,227.6,263.86,2,41,3424
26,2,00:56:45,102173,17,9,27,2,clear,0.0,0,1.0,6,-1.1085365853658538,1.329739583333333,,,9,250.4,171.72,8,202.9,657.96,2,41,3424
26,3,00:56:46,102203,17,9,29,2,smash,0.0,0,1.0,8,-0.8024390243902438,-1.1461979166666667,,,8,143.1,701.52,8,194.5,229.79,2,41,3424
26,4,00:56:47,102217,17,9,27,2,defensive shot,0.0,0,2.0,5,1.0378048780487807,1.3355729166666663,,,8,133.4,269.17,8,112.5,740.45,2,41,3424
26,5,00:56:48,102242,17,9,29,2,drive,0.0,0,1.0,6,1.1853658536585363,-1.200208333333333,,,8,223.7,744.04,8,181.5,279.07,2,41,3424
26,6,00:56:48,102263,17,9,27,2,defensive shot,0.0,1,2.0,1,1.1719512195121955,0.5659895833333332,,,8,212.4,258.57,8,208.3,708.01,2,41,3424
26,7,00:56:49,102289,17,9,29,2,lob,0.0,0,1.0,9,-0.6463414634146342,-1.6209375,,,8,250.7,603.38,8,204.1,270.12,2,41,3424
26,8,00:56:50,102323,17,9,27,2,drive,0.0,0,1.0,6,-0.8658536585365854,0.9445833333333334,,,9,138.2,191.27,8,192.3,648.85,2,41,3424
26,9,00:56:51,102337,17,9,29,2,defensive shot,0.0,1,2.0,1,-0.975609756097561,-0.4415104166666665,,,8,168.5,672.31,9,140.4,175.08,2,41,3424
26,10,00:56:52,102364,17,9,27,2,lob,0.0,0,1.0,6,-1.1109756097560974,1.4735937499999998,,,8,108.4,355.91,8,154.4,679.88,2,41,3424
26,11,00:56:53,102398,17,9,29,3,clear,0.0,0,2.0,10,-1.1756097560975611,-1.7930208333333333,out,27.0,8,132.3,735.04,8,149.1,293.56,2,41,3424
