rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
26,1,00:53:40,96622,17,9,16,1,long service,0.0,0,1.0,9,-0.6317073170731707,1.78203125,,,8,181.3,572.93,8,136.1,761.35,2,17,1419
26,2,00:53:42,96680,17,9,15,2,smash,0.0,0,2.0,5,-0.7597560975609756,0.5741666666666667,,,4,112.7,804.15,8,162.2,568.91,2,17,1419
26,3,00:53:43,96697,17,9,16,2,defensive shot,0.0,0,2.0,7,-0.3353658536585366,1.262916666666667,,,8,132.6,571.14,8,130.4,789.25,2,17,1419
26,4,00:53:43,96718,17,9,15,2,push/rush,0.0,0,1.0,8,0.0512195121951218,0.5647916666666669,,,8,174.8,725.39,8,150.0,571.33,2,17,1419
26,5,00:53:44,96732,17,9,16,2,drive,0.0,0,1.0,8,-0.6292682926829267,1.3980729166666663,,,8,154.3,573.91,8,169.0,726.3,2,17,1419
26,6,00:53:44,96745,17,9,15,2,defensive shot,0.0,0,2.0,7,-0.2304878048780488,0.83984375,,,8,141.9,752.33,8,155.1,573.92,2,17,1419
26,7,00:53:45,96766,17,9,16,2,net shot,0.0,1,2.0,7,0.6682926829268294,1.1453645833333332,,,7,122.9,615.09,8,146.8,747.78,2,17,1419
26,8,00:53:46,96795,17,9,15,2,lob,0.0,1,2.0,4,0.9987804878048778,0.3091666666666667,,,7,209.5,712.04,8,159.9,586.48,2,17,1419
26,9,00:53:47,96828,17,9,16,2,drop,0.0,1,2.0,1,1.007317073170732,1.146770833333333,,,8,228.4,536.89,8,205.9,748.3,2,17,1419
26,10,00:53:48,96854,17,9,15,2,net shot,0.0,1,2.0,2,1.1158536585365857,0.9400520833333332,,,1,234.6,710.29,8,199.0,552.5,2,17,1419
26,11,00:53:49,96884,17,9,16,3,lob,0.0,1,2.0,10,1.351219512195122,1.81,out,16.0,2,246.0,621.05,8,215.5,732.46,2,17,1419
