rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
25,1,00:46:27,83633,15,10,14,1,short service,0.0,1,2.0,7,0.3987804878048779,0.6212499999999999,,,8,166.0,327.59,8,213.5,684.45,2,54,4627
25,2,00:46:28,83651,15,10,3,2,lob,0.0,1,1.0,4,1.246341463414634,-1.4165104166666669,,,7,179.1,587.43,8,176.6,312.65,2,54,4627
25,3,00:46:29,83684,15,10,14,2,smash,0.0,0,2.0,5,1.4707317073170734,1.19203125,,,8,201.0,215.77,8,191.5,664.08,2,54,4627
25,4,00:46:30,83705,15,10,3,2,defensive shot,0.0,1,1.0,6,0.9329268292682928,-1.3532812500000002,,,8,191.8,680.98,8,215.7,236.73,2,54,4627
25,5,00:46:31,83742,15,10,14,2,clear,0.0,0,1.0,4,-1.1878048780487809,1.6055729166666666,,,8,233.4,239.83,8,174.1,661.61,2,54,4627
25,6,00:46:32,83780,15,10,3,2,clear,0.0,0,1.0,6,1.0353658536585364,-1.3688541666666667,,,4,88.2,785.89,8,171.3,261.94,2,54,4627
25,7,00:46:33,83815,15,10,14,2,clear,0.0,0,1.0,6,-0.8853658536585365,1.3814062500000002,,,8,195.4,224.71,8,153.4,709.17,2,54,4627
25,8,00:46:34,83844,15,10,3,2,drop,0.0,0,2.0,1,-1.0,-0.2367708333333332,,,8,117.7,737.98,8,205.2,230.75,2,54,4627
25,9,00:46:35,83871,15,10,14,2,net shot,0.0,0,2.0,2,-1.1560975609756097,0.2719791666666668,,,1,103.8,396.36,8,131.7,699.74,2,54,4627
25,10,00:46:36,83898,15,10,3,2,lob,0.0,0,1.0,9,-0.2121951219512196,-1.4894270833333334,,,2,99.2,542.01,8,129.7,358.45,2,54,4627
25,11,00:46:38,83951,15,10,14,2,drop,0.0,0,2.0,2,-1.2939024390243905,0.6073437500000001,,,9,166.0,177.9,8,157.1,657.97,2,54,4627
25,12,00:46:39,83977,15,10,3,2,net shot,0.0,0,1.0,1,-1.2634146341463417,-0.27015625,,,6,92.2,597.78,8,152.3,233.12,2,54,4627
25,13,00:46:40,84008,15,10,14,2,push/rush,0.0,0,1.0,6,-1.0573170731707318,0.9792708333333332,,,1,90.6,394.06,8,119.2,644.51,2,54,4627
25,14,00:46:40,84020,15,10,3,2,clear,0.0,0,1.0,3,-1.0390243902439025,-1.46015625,,,8,128.0,654.18,7,107.4,392.05,2,54,4627
25,15,00:46:41,84055,15,10,14,2,drop,0.0,0,1.0,1,0.9987804878048778,0.4786458333333332,,,9,114.9,186.93,8,130.4,672.67,2,54,4627
25,16,00:46:42,84080,15,10,3,2,net shot,0.0,1,2.0,2,1.3390243902439023,-0.38109375,,,7,219.7,583.54,9,153.2,193.67,2,54,4627
25,17,00:46:43,84108,15,10,14,2,lob,0.0,1,1.0,9,-0.4317073170731708,1.5108854166666668,,,2,263.9,375.87,8,226.1,611.13,2,54,4627
25,18,00:46:44,84145,15,10,3,2,clear,0.0,0,1.0,5,-0.945121951219512,-1.2986458333333333,,,9,171.9,768.52,8,197.3,325.44,2,54,4627
25,19,00:46:46,84181,15,10,14,2,clear,0.0,0,1.0,4,-1.0865853658536584,1.614479166666667,,,8,116.1,226.83,8,141.3,718.07,2,54,4627
25,20,00:46:47,84228,15,10,3,2,drop,0.0,0,2.0,2,1.2134146341463414,-0.3703125000000001,,,4,96.4,787.54,8,142.4,258.84,2,54,4627
25,21,00:46:48,84256,15,10,14,2,net shot,0.0,1,2.0,1,0.9902439024390244,0.25453125,,,6,255.5,362.05,8,142.4,738.18,2,54,4627
25,22,00:46:49,84286,15,10,3,2,net shot,0.0,1,2.0,2,1.1780487804878053,-0.0924479166666666,,,7,247.9,543.39,8,226.1,342.86,2,54,4627
25,23,00:46:50,84313,15,10,14,2,lob,0.0,1,1.0,8,0.9304878048780488,1.4787499999999998,,,7,246.9,427.14,7,214.3,577.75,2,54,4627
25,24,00:46:52,84370,15,10,3,2,smash,0.0,0,2.0,8,-0.5463414634146343,-0.9702083333333332,,,8,223.2,756.89,8,185.1,286.66,2,54,4627
25,25,00:46:52,84385,15,10,14,2,defensive shot,0.0,0,2.0,2,-0.9817073170731708,0.4866666666666669,,,8,158.6,286.38,9,221.1,758.62,2,54,4627
25,26,00:46:53,84416,15,10,3,2,lob,0.0,0,1.0,3,-1.4682926829268292,-1.4954166666666666,,,7,117.5,568.1,8,156.5,304.74,2,54,4627
25,27,00:46:55,84455,15,10,14,2,clear,0.0,0,1.0,6,-1.3109756097560976,1.4755729166666665,,,3,88.4,180.26,8,126.9,638.45,2,54,4627
25,28,00:46:56,84493,15,10,3,2,clear,0.0,0,1.0,3,-1.328048780487805,-1.42859375,,,4,99.6,761.97,8,140.0,264.4,2,54,4627
25,29,00:46:57,84531,15,10,14,2,clear,0.0,0,1.0,6,-1.2878048780487803,1.470989583333333,,,3,87.6,170.55,8,124.2,718.91,2,54,4627
25,30,00:46:58,84569,15,10,3,2,clear,0.0,0,1.0,6,0.9414634146341462,-1.3372916666666663,,,4,97.3,759.36,8,140.3,250.34,2,54,4627
25,31,00:47:00,84602,15,10,14,3,smash,0.0,0,2.0,10,-1.681707317073171,1.1076041666666665,out,3.0,8,198.7,239.46,8,139.3,720.02,2,54,4627
