rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
23,1,00:21:33,38808,13,10,3,1,short service,0.0,1,2.0,8,-0.151219512195122,-0.5595833333333333,,,8,179.1,628.84,8,135.6,261.47,1,6,493
23,2,00:21:34,38832,13,10,8,2,push/rush,0.0,1,1.0,5,1.0646341463414637,1.3415625000000002,,,7,130.0,374.71,8,161.8,625.55,1,6,493
23,3,00:21:35,38861,13,10,3,2,clear,1.0,0,1.0,5,-1.3317073170731708,-1.3615624999999998,,,8,201.3,729.69,8,172.5,320.58,1,6,493
23,4,00:21:36,38896,13,10,8,2,drive,0.0,0,1.0,6,-1.251219512195122,1.198125,,,5,78.4,211.16,8,172.0,718.62,1,6,493
23,5,00:21:37,38912,13,10,3,2,defensive shot,0.0,0,2.0,5,-1.2585365853658537,-0.5544791666666665,,,6,93.2,676.91,5,101.4,222.18,1,6,493
23,6,00:21:37,38937,13,10,8,2,push/rush,0.0,0,1.0,6,-1.1756097560975611,0.9997395833333336,,,5,98.3,358.66,8,122.0,680.03,1,6,493
23,7,00:21:38,38952,13,10,3,2,drive,0.0,0,1.0,5,-1.2182926829268292,-0.7825000000000001,,,8,143.6,666.88,8,110.9,365.57,1,6,493
23,8,00:21:38,38963,13,10,8,2,drive,0.0,0,1.0,6,-0.8914634146341462,0.9211458333333334,,,8,113.5,324.4,8,119.1,645.52,1,6,493
23,9,00:21:39,38975,13,10,3,2,drive,0.0,0,1.0,8,-0.0158536585365855,-0.9505208333333334,,,8,110.8,645.46,8,110.8,317.29,1,6,493
23,10,00:21:39,38985,13,10,8,2,defensive shot,0.0,1,1.0,1,1.0914634146341464,0.2139583333333332,,,8,122.4,278.75,8,106.9,663.65,1,6,493
23,11,00:21:40,39007,13,10,3,3,net shot,0.0,1,2.0,2,1.482926829268293,-0.3446875,opponent's ball landed,3.0,1,257.2,544.31,8,158.2,276.85,1,6,493
