rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
25,1,00:20:13,36416,13,12,0,1,short service,0.0,1,2.0,7,-0.2207317073170731,-0.3700520833333334,,,8,183.8,646.04,8,129.0,303.49,1,26,2147
25,2,00:20:14,36436,13,12,21,2,net shot,0.0,0,2.0,7,0.2402439024390242,0.2637499999999999,,,7,131.7,384.63,8,173.9,660.47,1,26,2147
25,3,00:20:15,36460,13,12,0,2,lob,0.0,0,1.0,4,0.9439024390243904,-1.3825520833333331,,,7,166.4,577.66,7,158.3,376.82,1,26,2147
25,4,00:20:16,36506,13,12,21,2,drop,1.0,0,2.0,2,-0.973170731707317,0.5605208333333334,,,8,221.9,218.14,8,200.3,681.94,1,26,2147
25,5,00:20:17,36530,13,12,0,2,net shot,0.0,1,2.0,7,-0.0499999999999999,-0.2308333333333333,,,8,111.5,622.6,8,190.0,254.17,1,26,2147
25,6,00:20:18,36554,13,12,21,2,net shot,0.0,0,2.0,7,0.0085365853658535,0.2857291666666667,,,7,175.3,401.65,8,158.7,628.92,1,26,2147
25,7,00:20:19,36575,13,12,0,2,lob,0.0,1,1.0,9,0.8085365853658538,-1.47546875,,,7,181.0,592.11,8,169.3,360.2,1,26,2147
25,8,00:20:20,36611,13,12,21,2,clear,1.0,0,1.0,8,-0.7621951219512195,1.3816666666666666,,,8,210.1,261.07,8,190.5,692.13,1,26,2147
25,9,00:20:21,36657,13,12,0,2,smash,1.0,0,2.0,6,1.054878048780488,-0.8067708333333332,,,8,117.0,741.74,8,159.2,266.49,1,26,2147
25,10,00:20:22,36673,13,12,21,2,defensive shot,0.0,1,2.0,1,1.2195121951219512,0.4307291666666669,,,8,139.1,312.8,9,127.8,766.19,1,26,2147
25,11,00:20:23,36701,13,12,0,2,push/rush,0.0,0,1.0,8,0.4268292682926829,-0.8594791666666666,,,8,229.2,614.49,8,184.7,328.61,1,26,2147
25,12,00:20:23,36712,13,12,21,2,defensive shot,0.0,1,2.0,7,0.4000000000000001,0.6534895833333335,,,8,171.5,334.26,8,232.0,618.39,1,26,2147
25,13,00:20:24,36724,13,12,0,3,net shot,0.0,1,2.0,1,1.0085365853658534,0.13671875,not pass over the net,21.0,8,216.3,639.04,8,176.3,348.89,1,26,2147
