rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
37,1,00:24:58,44963,21,16,25,1,short service,0.0,1,2.0,7,-0.2426829268292683,-0.3319270833333334,,,8,182.0,623.91,8,126.0,282.1,1,29,2401
37,2,00:24:59,44984,21,16,24,2,lob,0.0,1,1.0,5,1.135365853658537,1.5006770833333334,,,7,158.6,371.16,8,174.3,612.02,1,29,2401
37,3,00:25:00,45022,21,16,25,2,drop,0.0,0,2.0,8,-0.8646341463414635,-0.5710416666666666,,,9,248.1,775.1,8,196.2,290.18,1,29,2401
37,4,00:25:01,45043,21,16,24,2,net shot,0.0,1,2.0,2,-1.0499999999999998,0.4489583333333335,,,8,121.7,337.1,8,209.4,752.35,1,29,2401
37,5,00:25:02,45071,21,16,25,2,push/rush,0.0,1,1.0,3,-1.232926829268293,-1.40390625,,,2,98.4,582.26,8,134.3,344.09,1,29,2401
37,6,00:25:03,45100,21,16,24,2,smash,0.0,1,2.0,8,-0.823170731707317,0.8366666666666666,,,3,87.7,200.36,8,162.9,643.85,1,29,2401
37,7,00:25:03,45119,21,16,25,2,defensive shot,0.0,1,2.0,8,-0.2609756097560976,-0.6037500000000001,,,8,151.5,638.08,8,148.7,267.24,1,29,2401
37,8,00:25:04,45136,21,16,24,2,drive,0.0,1,2.0,8,0.1207317073170732,0.6769791666666668,,,8,189.4,326.12,8,167.3,652.28,1,29,2401
37,9,00:25:05,45153,21,16,25,2,drive,0.0,1,1.0,8,-0.5829268292682926,-0.8860416666666667,,,8,197.4,622.58,8,197.9,316.78,1,29,2401
37,10,00:25:05,45164,21,16,24,2,drive,1.0,0,2.0,8,-0.6829268292682927,0.8969791666666668,,,8,199.9,321.52,8,200.3,616.71,1,29,2401
37,11,00:25:05,45176,21,16,25,2,drive,0.0,1,1.0,5,-1.348780487804878,-0.96609375,,,8,188.8,652.47,8,189.6,302.32,1,29,2401
37,12,00:25:06,45192,21,16,24,2,defensive shot,0.0,1,2.0,2,-1.0073170731707315,0.5339062499999999,,,8,164.9,302.09,8,142.8,639.43,1,29,2401
37,13,00:25:07,45214,21,16,25,2,push/rush,0.0,1,1.0,5,-1.0926829268292682,-1.0041145833333334,,,8,115.8,608.52,8,141.9,316.25,1,29,2401
37,14,00:25:07,45229,21,16,24,2,smash,0.0,0,2.0,6,-1.0963414634146342,1.0817708333333336,,,8,139.9,294.56,8,131.8,620.54,1,29,2401
37,15,00:25:08,45240,21,16,25,2,defensive shot,0.0,1,1.0,7,-0.1329268292682927,-0.4647916666666667,,,8,169.5,666.02,8,117.1,291.89,1,29,2401
37,16,00:25:08,45263,21,16,24,3,push/rush,0.0,0,2.0,5,1.1024390243902435,1.434322916666667,opponent's ball landed,24.0,8,110.5,334.68,8,170.2,685.96,1,29,2401
