rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
5,1,00:56:13,101219,3,2,16,1,short service,0.0,1,2.0,7,0.4414634146341462,-0.4540104166666667,,,8,171.7,632.13,8,235.8,282.7,3,47,4014
5,2,00:56:14,101240,3,2,15,2,net shot,0.0,1,2.0,7,0.2939024390243901,0.2441145833333333,,,8,230.0,350.49,8,188.3,658.6,3,47,4014
5,3,00:56:15,101265,3,2,16,2,net shot,0.0,0,1.0,7,0.0390243902439023,-0.0578645833333334,,,7,190.3,545.73,8,189.4,346.45,3,47,4014
5,4,00:56:16,101282,3,2,15,2,push/rush,0.0,0,2.0,8,-0.825609756097561,0.9104166666666664,,,7,177.6,414.17,7,181.0,561.77,3,47,4014
5,5,00:56:16,101298,3,2,16,2,defensive shot,0.0,1,1.0,8,-0.4682926829268293,-1.1703645833333334,,,8,156.1,625.32,7,167.0,461.72,3,47,4014
5,6,00:56:17,101322,3,2,15,2,clear,0.0,1,1.0,8,0.8195121951219511,1.4150520833333335,,,8,136.7,291.86,8,169.3,667.58,3,47,4014
5,7,00:56:19,101371,3,2,16,2,smash,0.0,0,2.0,6,1.1097560975609757,-1.0431770833333334,,,5,255.1,747.23,8,203.0,213.42,3,47,4014
5,8,00:56:19,101383,3,2,15,2,defensive shot,0.0,0,1.0,7,-0.3951219512195122,0.3692187499999999,,,8,216.6,270.13,5,257.5,741.92,3,47,4014
5,9,00:56:20,101413,3,2,16,2,push/rush,0.0,1,1.0,8,-0.7524390243902439,-1.030052083333333,,,7,188.3,569.54,6,266.4,261.46,3,47,4014
5,10,00:56:20,101426,3,2,15,2,clear,0.0,1,1.0,8,-0.4682926829268293,1.369895833333333,,,8,206.7,283.16,7,158.5,547.57,3,47,4014
5,11,00:56:22,101479,3,2,16,2,smash,0.0,0,2.0,5,-1.0097560975609756,-1.0828125,,,8,144.3,745.1,8,173.2,249.74,3,47,4014
5,12,00:56:23,101491,3,2,15,3,defensive shot,0.0,1,2.0,1,-1.0817073170731708,0.0059895833333332,touched the net,15.0,8,191.1,252.11,8,147.8,725.61,3,47,4014
