rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
35,1,00:26:52,48364,17,18,19,1,short service,0.0,1,2.0,8,0.2341463414634145,-0.5498958333333333,,,8,167.5,641.53,8,231.1,283.2,1,39,3206
35,2,00:26:52,48382,17,18,6,2,lob,0.0,0,1.0,9,-0.8536585365853658,1.6676041666666663,,,8,223.0,358.83,8,182.5,642.85,1,39,3206
35,3,00:26:53,48417,17,18,19,2,drop,0.0,0,2.0,5,-1.123170731707317,-0.5331250000000001,,,9,145.1,781.82,8,155.7,278.44,1,39,3206
35,4,00:26:54,48441,17,18,6,2,net shot,0.0,0,2.0,7,0.4512195121951219,0.40421875,,,5,99.0,335.59,8,141.7,727.98,1,39,3206
35,5,00:26:55,48469,17,18,19,2,lob,0.0,0,1.0,3,-0.995121951219512,-1.4756770833333337,,,7,202.1,587.48,8,164.1,312.48,1,39,3206
35,6,00:26:56,48508,17,18,6,2,drop,0.0,0,2.0,1,1.1878048780487802,0.6332291666666668,,,9,106.5,186.65,8,176.0,666.3,1,39,3206
35,7,00:26:57,48529,17,18,19,2,net shot,0.0,0,2.0,6,1.3426829268292686,-0.5535416666666665,,,8,244.2,653.61,8,138.7,259.45,1,39,3206
35,8,00:26:58,48557,17,18,6,2,push/rush,0.0,1,1.0,3,1.4536585365853658,1.6881770833333334,,,6,253.0,360.97,8,217.1,656.54,1,39,3206
35,9,00:26:59,48590,17,18,19,2,drive,0.0,0,1.0,6,1.4719512195121949,-1.08765625,,,3,281.8,796.2,8,190.0,275.46,1,39,3206
35,10,00:27:00,48607,17,18,6,2,defensive shot,0.0,1,1.0,7,0.8548780487804878,0.4909374999999999,,,8,179.3,294.22,5,252.5,741.14,1,39,3206
35,11,00:27:00,48628,17,18,19,2,net shot,0.0,0,1.0,7,0.4365853658536587,-0.5138020833333332,,,8,226.6,599.79,8,208.0,301.83,1,39,3206
35,12,00:27:01,48649,17,18,6,2,lob,0.0,1,1.0,4,-1.0585365853658537,1.6996875000000002,,,8,186.2,361.48,8,207.9,637.0,1,39,3206
35,13,00:27:02,48689,17,18,19,2,clear,0.0,0,1.0,4,1.054878048780488,-1.5482291666666663,,,9,132.4,776.7,8,148.5,275.8,1,39,3206
35,14,00:27:04,48731,17,18,6,2,clear,0.0,0,1.0,9,-0.6000000000000001,1.6132291666666667,,,9,231.0,182.5,8,187.9,688.51,1,39,3206
35,15,00:27:05,48766,17,18,19,2,clear,0.0,0,1.0,9,0.8914634146341462,-1.5149479166666666,,,9,149.6,762.8,8,191.6,242.18,1,39,3206
35,16,00:27:07,48811,17,18,6,2,drop,0.0,0,1.0,1,1.520731707317073,0.6075520833333332,,,9,230.6,191.73,8,187.9,689.79,1,39,3206
35,17,00:27:07,48834,17,18,19,2,net shot,0.0,0,1.0,2,1.2512195121951222,-0.3619791666666667,,,5,275.2,639.42,8,230.2,227.49,1,39,3206
35,18,00:27:08,48860,17,18,6,2,net shot,0.0,1,2.0,2,-1.1914634146341463,0.4445312500000001,,,2,262.8,395.38,8,241.8,675.19,1,39,3206
35,19,00:27:09,48886,17,18,19,3,net shot,0.0,1,2.0,10,-2.0134146341463413,0.1199479166666665,not pass over the net,19.0,8,106.6,595.95,8,246.0,353.88,1,39,3206
