rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
14,1,00:14:39,26397,5,9,26,1,long service,0.0,1,1.0,4,-0.8963414634146342,1.53921875,,,8,181.7,328.74,8,117.8,665.41,1,34,2753
14,2,00:14:40,26428,5,9,9,2,clear,1.0,0,1.0,4,1.1902439024390246,-1.5259895833333337,,,8,125.2,736.28,8,141.6,295.88,1,34,2753
14,3,00:14:42,26477,5,9,26,2,drop,1.0,0,2.0,2,-1.1012195121951218,0.4897916666666664,,,9,241.7,197.25,8,216.5,682.91,1,34,2753
14,4,00:14:43,26500,5,9,9,2,lob,0.0,1,1.0,3,-1.0646341463414637,-1.3814062500000002,,,8,119.6,605.99,8,246.7,230.7,1,34,2753
14,5,00:14:44,26527,5,9,26,2,smash,0.0,0,2.0,8,-0.326829268292683,0.9572916666666664,,,9,117.5,178.65,8,158.9,652.58,1,34,2753
14,6,00:14:44,26539,5,9,9,2,defensive shot,0.0,1,1.0,7,0.651219512195122,-0.5033854166666666,,,8,177.1,693.57,5,69.1,215.98,1,34,2753
14,7,00:14:45,26565,5,9,26,2,lob,0.0,1,1.0,8,-0.6536585365853658,1.3590625000000005,,,8,203.4,350.99,8,194.9,691.77,1,34,2753
14,8,00:14:46,26589,5,9,9,2,smash,1.0,0,2.0,8,0.6646341463414634,-0.8955729166666666,,,8,153.0,722.81,8,148.7,303.57,1,34,2753
14,9,00:14:46,26605,5,9,26,2,defensive shot,0.0,1,2.0,1,1.024390243902439,0.4746354166666666,,,8,135.0,282.89,8,155.5,716.03,1,34,2753
14,10,00:14:47,26632,5,9,9,2,lob,0.0,0,1.0,9,-0.4292682926829267,-1.4583333333333333,,,8,227.7,615.07,8,179.2,295.52,1,34,2753
14,11,00:14:48,26658,5,9,26,2,smash,0.0,0,2.0,8,0.8121951219512195,0.8979687499999999,,,8,158.0,209.43,8,207.1,645.08,1,34,2753
14,12,00:14:49,26673,5,9,9,2,defensive shot,0.0,0,1.0,6,1.0914634146341464,-1.1463020833333333,,,8,206.2,668.7,9,124.1,201.37,1,34,2753
14,13,00:14:49,26694,5,9,26,2,defensive shot,0.0,1,2.0,1,1.1219512195121952,0.3251562499999997,,,8,225.5,274.11,8,213.1,666.88,1,34,2753
14,14,00:14:50,26717,5,9,9,2,lob,0.0,0,1.0,3,-1.1646341463414631,-1.4846354166666669,,,7,249.8,591.88,8,218.6,300.34,1,34,2753
14,15,00:14:51,26753,5,9,26,2,clear,0.0,0,1.0,4,-1.1573170731707318,1.6391145833333336,,,3,100.2,201.63,8,176.0,659.79,1,34,2753
14,16,00:14:53,26790,5,9,9,2,smash,1.0,0,2.0,5,-0.8658536585365854,-0.9165104166666668,,,6,100.3,746.26,8,135.2,261.69,1,34,2753
14,17,00:14:53,26809,5,9,26,2,defensive shot,0.0,0,1.0,4,-1.173170731707317,1.5729166666666667,,,8,128.0,282.96,6,100.9,749.53,1,34,2753
14,18,00:14:54,26845,5,9,9,2,clear,1.0,0,1.0,3,-1.0121951219512195,-1.5153125,,,8,142.2,721.15,8,130.1,293.39,1,34,2753
14,19,00:14:56,26895,5,9,26,2,smash,0.0,0,2.0,5,1.2487804878048778,0.8194270833333336,,,3,96.9,201.67,8,180.8,665.19,1,34,2753
14,20,00:14:57,26914,5,9,9,2,defensive shot,0.0,0,2.0,2,1.2170731707317075,-0.5180208333333333,,,8,219.3,650.54,9,111.4,198.68,1,34,2753
14,21,00:14:58,26942,5,9,26,2,lob,0.0,1,1.0,4,-1.1926829268292682,1.5562499999999997,,,8,249.6,325.62,8,208.6,654.23,1,34,2753
14,22,00:14:59,26976,5,9,9,3,smash,1.0,0,2.0,6,1.545121951219512,-1.02234375,opponent's ball landed,26.0,8,131.7,749.47,8,161.2,277.37,1,34,2753
