rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
5,1,00:35:13,63396,5,0,5,1,short service,0.0,1,2.0,7,0.6426829268292682,0.6041666666666666,,,8,164.3,314.21,8,227.4,671.52,2,14,1145
5,2,00:35:13,63408,5,0,17,2,net shot,0.0,1,2.0,7,-0.1439024390243903,-0.4003645833333333,,,8,192.5,606.81,8,168.7,314.29,2,14,1145
5,3,00:35:14,63429,5,0,5,2,net shot,0.0,1,2.0,2,-1.0817073170731708,0.2453645833333334,,,7,159.8,374.85,8,180.1,628.21,2,14,1145
5,4,00:35:15,63455,5,0,17,2,lob,0.0,0,1.0,3,-1.2414634146341463,-1.423125,,,2,102.5,550.99,8,149.4,361.8,2,14,1145
5,5,00:35:16,63497,5,0,5,2,drop,0.0,0,2.0,7,-0.7902439024390243,0.53578125,,,3,86.5,184.83,8,141.7,671.26,2,14,1145
5,6,00:35:17,63519,5,0,17,2,net shot,0.0,0,2.0,7,-0.1426829268292681,-0.3093749999999999,,,8,122.1,620.16,8,127.8,263.2,2,14,1145
5,7,00:35:18,63543,5,0,5,2,lob,0.0,0,1.0,5,1.0987804878048784,1.4806770833333331,,,7,179.3,407.83,8,151.6,633.84,2,14,1145
5,8,00:35:19,63585,5,0,17,2,smash,1.0,0,2.0,6,1.2060975609756095,-0.9429166666666668,,,8,219.8,751.31,8,171.0,327.85,2,14,1145
5,9,00:35:19,63597,5,0,5,2,defensive shot,0.0,1,2.0,7,0.8134146341463413,0.3882291666666664,,,8,160.9,311.42,9,237.2,761.13,2,14,1145
5,10,00:35:20,63625,5,0,17,3,net shot,0.0,1,2.0,2,-0.9426829268292682,0.1060416666666667,not pass over the net,5.0,7,223.2,589.04,8,174.8,308.95,2,14,1145
