rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
29,1,00:25:19,45574,17,12,11,1,short service,0.0,1,2.0,8,-0.4585365853658535,-0.6038541666666667,,,8,180.0,622.6,8,125.3,268.03,1,38,3093
29,2,00:25:19,45598,17,12,5,2,net shot,0.0,0,2.0,2,-1.1085365853658538,0.2774999999999998,,,8,158.1,356.18,8,175.7,624.66,1,38,3093
29,3,00:25:20,45627,17,12,11,2,net shot,0.0,1,2.0,1,-1.196341463414634,-0.2019270833333332,,,2,102.4,546.82,8,149.7,327.74,1,38,3093
29,4,00:25:21,45654,17,12,5,2,lob,0.0,0,1.0,4,-1.1878048780487809,1.5589583333333337,,,1,88.4,409.7,7,123.6,587.12,1,38,3093
29,5,00:25:23,45692,17,12,11,2,smash,0.0,0,2.0,6,1.2085365853658538,-1.0742708333333333,,,6,97.7,743.33,8,141.7,304.31,1,38,3093
29,6,00:25:23,45707,17,12,5,2,defensive shot,0.0,1,2.0,5,1.30609756097561,0.6955729166666664,,,8,136.4,280.14,6,71.7,751.92,1,38,3093
29,7,00:25:24,45740,17,12,11,2,push/rush,0.0,0,1.0,9,-0.823170731707317,-1.42421875,,,5,259.0,634.89,8,242.4,310.57,1,38,3093
29,8,00:25:25,45762,17,12,5,2,smash,0.0,0,2.0,6,-1.047560975609756,1.0580729166666665,,,8,183.4,224.73,8,213.0,658.66,1,38,3093
29,9,00:25:25,45775,17,12,11,2,defensive shot,0.0,1,2.0,8,0.8439024390243901,-0.7534895833333334,,,8,185.8,675.83,5,77.3,237.57,1,38,3093
29,10,00:25:26,45805,17,12,5,2,defensive shot,0.0,1,2.0,1,1.3146341463414637,0.4762500000000003,,,8,211.9,329.02,8,168.2,668.77,1,38,3093
29,11,00:25:27,45831,17,12,11,2,net shot,0.0,0,2.0,2,1.3524390243902435,-0.2820833333333334,,,1,270.5,584.24,8,198.4,338.05,1,38,3093
29,12,00:25:28,45857,17,12,5,2,push/rush,0.0,1,1.0,4,-1.0182926829268293,1.532916666666667,,,2,252.7,389.67,8,225.9,613.77,1,38,3093
29,13,00:25:29,45893,17,12,11,2,drive,0.0,0,1.0,8,0.7329268292682927,-1.0522395833333331,,,8,143.7,708.69,8,173.5,312.4,1,38,3093
29,14,00:25:30,45913,17,12,5,2,defensive shot,0.0,1,2.0,2,-1.14390243902439,0.4974999999999999,,,8,171.8,303.5,8,126.9,729.52,1,38,3093
29,15,00:25:31,45938,17,12,11,2,net shot,0.0,1,1.0,1,-1.0878048780487806,-0.33953125,,,7,105.8,585.38,8,181.6,338.49,1,38,3093
29,16,00:25:32,45961,17,12,5,2,push/rush,0.0,0,1.0,8,-0.8036585365853659,0.8684375000000001,,,1,103.5,387.94,8,139.0,595.1,1,38,3093
29,17,00:25:32,45968,17,12,11,3,defensive shot,0.0,0,2.0,6,0.9707317073170731,-1.2725520833333337,opponent's ball landed,11.0,8,148.7,615.23,1,98.1,427.73,1,38,3093
