rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
2,1,00:07:32,13570,0,2,12,1,short service,0.0,1,2.0,7,0.5195121951219511,-0.3728645833333332,,,8,169.8,649.88,8,221.2,325.73,1,8,641
2,2,00:07:32,13585,0,2,11,2,push/rush,0.0,1,1.0,4,-0.995121951219512,1.5323958333333334,,,7,196.0,384.44,8,170.2,645.89,1,8,641
2,3,00:07:33,13617,0,2,12,2,clear,1.0,0,1.0,4,1.270731707317073,-1.4752604166666667,,,8,159.5,744.75,8,160.8,327.05,1,8,641
2,4,00:07:35,13654,0,2,11,2,drop,1.0,0,2.0,6,-0.897560975609756,0.7916666666666666,,,8,218.5,261.05,8,193.0,724.34,1,8,641
2,5,00:07:35,13677,0,2,12,2,net shot,0.0,1,2.0,7,-0.2158536585365852,-0.2296354166666665,,,8,120.4,674.62,8,239.5,260.54,1,8,641
2,6,00:07:36,13704,0,2,11,2,net shot,0.0,0,2.0,7,-0.0658536585365854,0.2295312499999999,,,7,145.1,425.26,8,154.0,655.26,1,8,641
2,7,00:07:37,13732,0,2,12,2,lob,0.0,1,1.0,4,0.95,-1.471458333333333,,,7,177.8,581.11,7,177.8,384.79,1,8,641
2,8,00:07:39,13772,0,2,11,2,smash,1.0,0,2.0,6,-1.267073170731707,1.1279687500000002,,,8,216.9,204.47,8,194.4,692.34,1,8,641
2,9,00:07:39,13790,0,2,12,2,defensive shot,0.0,1,2.0,1,-1.1658536585365853,-0.1892187499999999,,,8,194.0,692.35,8,241.6,222.26,1,8,641
2,10,00:07:40,13824,0,2,11,2,net shot,0.0,0,2.0,2,-1.3426829268292682,0.1996874999999998,,,1,98.2,419.68,8,148.4,692.65,1,8,641
2,11,00:07:41,13853,0,2,12,2,lob,0.0,1,1.0,9,-0.8060975609756097,-1.3846354166666668,,,2,92.9,564.76,7,145.9,387.71,1,8,641
2,12,00:07:43,13905,0,2,11,2,drop,0.0,0,2.0,6,-1.047560975609756,1.05,,,9,109.6,188.47,8,174.6,681.62,1,8,641
2,13,00:07:44,13924,0,2,12,2,net shot,0.0,1,2.0,7,-0.2597560975609757,-0.1960416666666666,,,8,180.2,686.44,8,137.0,218.94,1,8,641
2,14,00:07:45,13955,0,2,11,2,net shot,0.0,0,2.0,7,-0.171951219512195,0.23953125,,,7,146.9,385.4,8,177.9,669.18,1,8,641
2,15,00:07:46,13982,0,2,12,2,lob,0.0,1,1.0,9,-0.651219512195122,-1.4028125000000002,,,7,177.1,563.74,7,167.4,411.9,1,8,641
2,16,00:07:48,14045,0,2,11,2,clear,0.0,0,1.0,5,1.218292682926829,1.2321875000000002,,,9,121.9,203.93,8,184.4,719.97,1,8,641
2,17,00:07:49,14070,0,2,12,2,drop,0.0,0,2.0,2,1.2280487804878046,-0.1742708333333332,,,8,243.8,716.3,8,164.6,279.2,1,8,641
2,18,00:07:49,14099,0,2,11,3,lob,0.0,1,2.0,10,-0.6597560975609755,1.821979166666667,out,11.0,2,251.9,383.35,8,227.0,687.33,1,8,641
