rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
26,1,00:16:57,30527,10,16,0,1,short service,0.0,1,2.0,7,0.3451219512195123,0.54359375,,,8,168.6,327.5,8,215.2,669.04,1,4,309
26,2,00:16:58,30550,10,16,6,2,net shot,0.0,1,2.0,1,-1.1121951219512196,-0.3311979166666665,,,8,219.8,618.54,8,182.0,315.36,1,4,309
26,3,00:16:59,30578,10,16,0,2,net shot,0.0,0,2.0,2,-1.3707317073170733,0.2677083333333332,,,7,106.0,381.18,8,175.5,636.61,1,4,309
26,4,00:17:00,30606,10,16,6,2,lob,0.0,1,1.0,9,0.278048780487805,-1.421875,,,2,86.4,551.14,7,135.7,369.6,1,4,309
26,5,00:17:02,30665,10,16,0,2,smash,0.0,0,2.0,8,0.3865853658536584,0.8067708333333332,,,9,192.7,188.55,8,182.2,664.67,1,4,309
26,6,00:17:02,30680,10,16,6,2,defensive shot,0.0,1,2.0,2,1.298780487804878,-0.3548958333333332,,,8,217.2,665.98,8,182.1,205.22,1,4,309
26,7,00:17:03,30708,10,16,0,2,net shot,0.0,1,2.0,1,1.2085365853658538,0.1278645833333334,,,7,247.6,377.18,8,213.4,647.42,1,4,309
26,8,00:17:04,30734,10,16,6,2,push/rush,0.0,0,1.0,3,-1.1646341463414631,-1.5278125000000002,,,1,256.2,555.03,8,228.8,357.03,1,4,309
26,9,00:17:05,30770,10,16,0,2,drive,0.0,0,1.0,6,-0.901219512195122,1.1186979166666664,,,8,115.6,214.42,8,193.0,631.7,1,4,309
26,10,00:17:06,30787,10,16,6,3,defensive shot,0.0,1,2.0,5,-1.4426829268292682,-0.6453124999999998,opponent's ball landed,0.0,8,168.1,673.88,8,120.0,233.04,1,4,309
