rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
6,1,00:10:15,18457,3,3,8,1,long service,0.0,0,1.0,9,-0.6841463414634146,1.6575520833333333,,,8,182.2,290.11,8,124.7,686.15,1,5,401
6,2,00:10:17,18513,3,3,7,2,clear,0.0,0,1.0,5,-1.0414634146341464,-1.17859375,,,9,111.8,799.86,8,151.9,277.26,1,5,401
6,3,00:10:17,18538,3,3,8,2,smash,0.0,0,1.0,6,-0.9036585365853658,1.1244791666666665,,,8,134.2,259.41,8,126.8,741.7,1,5,401
6,4,00:10:18,18551,3,3,7,2,defensive shot,0.0,1,2.0,7,0.601219512195122,-0.4358333333333333,,,8,173.9,696.92,5,88.3,240.69,1,5,401
6,5,00:10:19,18577,3,3,8,2,lob,0.0,1,1.0,6,-1.2353658536585366,1.2996875,,,8,202.5,363.02,8,171.0,686.82,1,5,401
6,6,00:10:20,18609,3,3,7,2,clear,1.0,0,1.0,5,-1.396341463414634,-1.2355208333333334,,,8,122.2,748.25,8,162.2,325.65,1,5,401
6,7,00:10:21,18637,3,3,8,2,drop,0.0,0,2.0,1,1.0414634146341462,0.5001562499999999,,,5,99.3,233.11,8,126.0,720.04,1,5,401
6,8,00:10:22,18662,3,3,7,2,push/rush,0.0,0,2.0,6,1.197560975609756,-1.2288020833333333,,,8,222.5,615.86,8,113.9,214.95,1,5,401
6,9,00:10:22,18689,3,3,8,2,drop,0.0,1,2.0,1,1.110975609756098,0.3157291666666666,,,8,237.2,243.4,8,213.1,666.85,1,5,401
6,10,00:10:23,18719,3,3,7,2,push/rush,0.0,0,1.0,6,1.3817073170731708,-1.3236979166666667,,,7,240.8,584.91,8,183.4,297.43,1,5,401
6,11,00:10:24,18749,3,3,8,2,clear,1.0,0,1.0,3,1.4146341463414631,1.5246875,,,8,212.1,235.17,8,206.6,659.25,1,5,401
6,12,00:10:26,18780,3,3,7,2,clear,0.0,0,1.0,3,-1.1914634146341463,-1.442604166666667,,,3,271.1,774.82,8,195.8,280.53,1,5,401
6,13,00:10:27,18816,3,3,8,2,drop,0.0,0,2.0,1,1.0256097560975612,0.4271354166666666,,,8,111.1,225.47,8,188.3,704.22,1,5,401
6,14,00:10:28,18845,3,3,7,2,net shot,0.0,0,2.0,2,1.2097560975609756,-0.3860416666666666,,,8,233.5,614.42,8,135.3,251.81,1,5,401
6,15,00:10:29,18880,3,3,8,2,lob,0.0,1,1.0,3,1.1426829268292682,1.5230729166666663,,,7,246.8,372.7,8,204.9,668.22,1,5,401
6,16,00:10:30,18912,3,3,7,2,clear,0.0,0,1.0,6,1.1926829268292685,-1.134375,,,9,240.5,768.05,8,195.5,307.28,1,5,401
6,17,00:10:31,18940,3,3,8,2,clear,1.0,0,1.0,5,1.1768292682926829,1.38546875,,,8,215.6,278.41,8,209.9,734.84,1,5,401
6,18,00:10:32,18979,3,3,7,2,smash,0.0,0,2.0,6,1.30609756097561,-1.0672395833333337,,,5,262.3,720.61,8,175.4,267.71,1,5,401
6,19,00:10:33,18991,3,3,8,2,defensive shot,0.0,1,1.0,1,1.4146341463414631,0.3177604166666666,,,8,166.2,282.46,5,280.6,722.25,1,5,401
6,20,00:10:33,19018,3,3,7,3,push/rush,0.0,0,2.0,5,-1.2195121951219512,-1.30265625,opponent's ball landed,7.0,1,277.6,582.11,8,206.6,300.26,1,5,401
