rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
14,1,00:38:26,69182,7,7,1,1,short service,0.0,1,2.0,7,0.3475609756097561,-0.4806249999999998,,,8,169.0,644.64,8,234.4,274.96,2,56,4748
14,2,00:38:26,69205,7,7,34,2,net shot,0.0,1,2.0,7,0.0024390243902437,0.4378124999999997,,,7,184.3,392.0,8,185.0,669.64,2,56,4748
14,3,00:38:27,69229,7,7,1,2,net shot,0.0,0,2.0,7,-0.2914634146341464,-0.0545833333333334,,,7,143.1,573.23,7,163.8,369.06,2,56,4748
14,4,00:38:28,69254,7,7,34,2,lob,0.0,1,1.0,4,-0.921951219512195,1.7122395833333333,,,7,137.8,440.96,8,166.6,623.53,2,56,4748
14,5,00:38:29,69299,7,7,1,2,smash,0.0,0,2.0,5,-1.3378048780487806,-0.9665625,,,9,116.9,788.53,8,143.2,328.12,2,56,4748
14,6,00:38:30,69314,7,7,34,2,defensive shot,0.0,0,2.0,2,-1.397560975609756,0.6453645833333331,,,8,127.2,288.28,9,111.1,799.89,2,56,4748
14,7,00:38:31,69345,7,7,1,2,net shot,0.0,1,2.0,1,-1.197560975609756,-0.0806770833333333,,,6,78.8,605.83,8,120.5,316.27,2,56,4748
14,8,00:38:32,69372,7,7,34,2,net shot,0.0,0,2.0,2,-1.3475609756097562,0.3076562500000002,,,1,92.6,432.77,8,125.7,637.38,2,56,4748
14,9,00:38:33,69395,7,7,1,2,lob,0.0,1,1.0,4,1.3878048780487806,-1.5015104166666664,,,2,91.3,558.4,1,95.5,419.86,2,56,4748
14,10,00:38:34,69437,7,7,34,2,drive,0.0,1,1.0,5,1.3634146341463416,1.162864583333333,,,4,260.7,195.11,8,189.3,644.63,2,56,4748
14,11,00:38:35,69455,7,7,1,2,drive,0.0,0,1.0,6,1.3182926829268296,-0.9864583333333332,,,8,248.8,710.15,8,201.2,259.75,2,56,4748
14,12,00:38:35,69472,7,7,34,2,defensive shot,0.0,1,2.0,8,0.3256097560975608,0.7058854166666665,,,8,212.1,303.35,8,234.8,711.06,2,56,4748
14,13,00:38:36,69494,7,7,1,2,push/rush,0.0,0,1.0,5,-0.9560975609756098,-0.9006250000000001,,,8,181.5,635.27,8,190.8,341.84,2,56,4748
14,14,00:38:37,69510,7,7,34,2,defensive shot,0.0,0,2.0,2,-1.2634146341463417,0.6148958333333331,,,8,163.9,328.32,8,172.5,626.77,2,56,4748
14,15,00:38:37,69535,7,7,1,2,net shot,0.0,1,2.0,1,-1.2634146341463417,-0.1956770833333333,,,8,106.3,600.18,5,104.0,327.75,2,56,4748
14,16,00:38:38,69564,7,7,34,2,net shot,0.0,0,2.0,2,-1.3646341463414635,0.3006770833333334,,,1,85.8,414.86,8,143.8,628.91,2,56,4748
14,17,00:38:39,69593,7,7,1,2,lob,0.0,1,1.0,9,0.8341463414634147,-1.5049479166666666,,,2,88.2,562.12,7,108.2,413.36,2,56,4748
14,18,00:38:41,69651,7,7,34,2,smash,1.0,0,2.0,8,-0.7182926829268294,1.09109375,,,8,223.1,211.0,8,202.1,674.44,2,56,4748
14,19,00:38:42,69665,7,7,1,2,defensive shot,0.0,1,2.0,1,-0.9743902439024392,-0.3584374999999999,,,8,210.7,687.65,8,225.1,242.65,2,56,4748
14,20,00:38:43,69693,7,7,34,2,lob,0.0,0,1.0,4,-1.247560975609756,1.5796874999999997,,,7,114.6,386.29,8,157.2,671.62,2,56,4748
14,21,00:38:44,69725,7,7,1,3,clear,1.0,0,2.0,10,1.1097560975609757,-1.65859375,out,34.0,8,108.1,751.54,8,130.2,341.29,2,56,4748
