rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
12,1,00:54:06,97387,10,2,20,1,short service,0.0,1,2.0,7,-0.4902439024390242,-0.4419270833333334,,,8,188.0,649.49,8,121.6,300.94,3,23,1918
12,2,00:54:06,97402,10,2,16,2,lob,0.0,1,1.0,6,-1.2926829268292683,1.50390625,,,7,119.4,370.37,8,168.9,647.26,3,23,1918
12,3,00:54:07,97438,10,2,20,2,clear,1.0,0,1.0,3,-1.0499999999999998,-1.3773958333333336,,,9,106.2,761.01,8,136.1,323.11,3,23,1918
12,4,00:54:09,97476,10,2,16,2,smash,0.0,0,2.0,5,0.9841463414634144,0.8055729166666664,,,5,80.4,205.9,8,155.6,690.86,3,23,1918
12,5,00:54:09,97494,10,2,20,2,defensive shot,0.0,0,2.0,2,1.0597560975609754,-0.398125,,,8,224.3,670.54,3,77.0,184.13,3,23,1918
12,6,00:54:10,97526,10,2,16,2,lob,0.0,1,1.0,3,1.1219512195121952,1.520260416666667,,,7,229.1,375.65,8,214.5,659.32,3,23,1918
12,7,00:54:12,97569,10,2,20,2,smash,0.0,0,2.0,6,1.3121951219512198,-0.99625,,,9,241.9,770.82,8,174.1,305.31,3,23,1918
12,8,00:54:12,97584,10,2,16,2,defensive shot,0.0,1,2.0,7,0.7170731707317075,0.2899999999999997,,,8,170.9,298.91,9,241.6,767.76,3,23,1918
12,9,00:54:13,97613,10,2,20,2,net shot,0.0,0,2.0,7,0.2060975609756098,-0.2202604166666667,,,8,222.2,621.07,8,189.4,280.06,3,23,1918
12,10,00:54:14,97639,10,2,16,2,lob,0.0,1,1.0,4,-1.3512195121951218,1.67703125,,,7,173.8,399.81,7,202.3,588.13,3,23,1918
12,11,00:54:16,97709,10,2,20,3,drop,1.0,0,2.0,2,-1.2804878048780488,0.22453125,not pass over the net,20.0,4,74.7,794.99,8,143.8,304.61,3,23,1918
