rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
26,1,00:33:22,60079,16,10,20,1,short service,0.0,1,2.0,7,-0.675609756097561,0.4294270833333335,,,8,180.5,315.1,8,131.7,677.16,2,24,1989
26,2,00:33:23,60101,16,10,18,2,net shot,0.0,0,2.0,1,-1.051219512195122,-0.3159375000000001,,,7,108.8,564.57,8,172.3,296.13,2,24,1989
26,3,00:33:24,60125,16,10,20,2,lob,0.0,0,1.0,8,0.6146341463414635,1.3265625000000003,,,7,107.6,406.69,8,144.0,610.95,2,24,1989
26,4,00:33:25,60157,16,10,18,2,smash,0.0,0,2.0,6,1.1024390243902435,-0.84703125,,,8,222.5,749.19,8,157.9,311.54,2,24,1989
26,5,00:33:25,60173,16,10,20,2,defensive shot,0.0,1,2.0,7,-0.0390243902439023,0.3642708333333336,,,8,186.8,302.75,8,204.9,740.99,2,24,1989
26,6,00:33:26,60197,16,10,18,2,lob,0.0,0,1.0,9,0.7902439024390245,-1.4105208333333332,,,7,147.0,569.52,8,200.7,293.55,2,24,1989
26,7,00:33:28,60242,16,10,20,2,smash,1.0,0,2.0,8,-0.3817073170731708,0.7705208333333337,,,9,229.7,174.06,8,202.3,665.54,2,24,1989
26,8,00:33:28,60258,16,10,18,2,defensive shot,0.0,1,2.0,8,-0.1353658536585365,-0.6504166666666666,,,8,204.3,660.05,9,223.8,188.59,2,24,1989
26,9,00:33:29,60284,16,10,20,2,lob,0.0,0,1.0,5,1.1768292682926829,1.364375,,,8,196.2,360.46,8,196.6,659.93,2,24,1989
26,10,00:33:30,60316,16,10,18,2,drive,0.0,0,1.0,6,1.3817073170731708,-0.96078125,,,8,241.2,733.43,8,186.2,286.85,2,24,1989
26,11,00:33:31,60330,16,10,20,2,defensive shot,0.0,1,2.0,7,0.9378048780487804,0.3478645833333331,,,8,181.7,286.76,8,225.6,706.55,2,24,1989
26,12,00:33:31,60353,16,10,18,2,net shot,0.0,0,2.0,2,1.1719512195121955,-0.2979166666666666,,,7,240.1,558.08,8,205.4,280.8,2,24,1989
26,13,00:33:32,60380,16,10,20,2,lob,0.0,1,1.0,5,1.101219512195122,1.3553645833333334,,,7,248.9,398.4,7,211.5,587.5,2,24,1989
26,14,00:33:33,60413,16,10,18,2,drop,0.0,0,2.0,1,-1.1560975609756097,-0.3886458333333333,,,8,233.3,738.17,8,188.7,296.47,2,24,1989
26,15,00:33:34,60442,16,10,20,2,lob,0.0,0,1.0,6,-0.924390243902439,1.25578125,,,5,102.5,364.42,8,185.0,676.17,2,24,1989
26,16,00:33:35,60469,16,10,18,2,drop,1.0,0,2.0,6,1.0878048780487803,-0.7983854166666667,,,8,137.0,717.09,8,133.0,295.32,2,24,1989
26,17,00:33:36,60492,16,10,20,2,net shot,0.0,1,2.0,1,1.1865853658536587,0.41984375,,,6,251.7,313.46,8,141.1,730.37,2,24,1989
26,18,00:33:37,60523,16,10,18,2,lob,0.0,0,1.0,4,1.1817073170731704,-1.3880729166666663,,,1,257.1,579.85,8,205.6,303.14,2,24,1989
26,19,00:33:39,60573,16,10,20,2,clear,1.0,0,1.0,5,0.9560975609756098,1.2851041666666667,,,4,252.0,163.4,8,216.0,643.34,2,24,1989
26,20,00:33:40,60602,16,10,18,3,smash,0.0,0,2.0,1,1.2695121951219517,0.1682291666666667,touched the net,20.0,8,245.6,736.73,8,205.1,257.8,2,24,1989
