rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
31,1,00:51:20,92426,17,14,10,1,long service,0.0,1,1.0,9,0.75,1.6098437500000002,,,8,162.0,330.28,8,213.3,680.55,2,16,1350
31,2,00:51:22,92467,17,14,4,2,smash,0.0,0,2.0,8,0.0597560975609756,-0.8488541666666668,,,9,239.5,792.13,8,156.3,292.24,2,16,1350
31,3,00:51:22,92484,17,14,10,2,defensive shot,0.0,1,2.0,2,-1.0890243902439023,0.5347916666666664,,,8,136.0,316.59,9,202.3,786.82,2,16,1350
31,4,00:51:23,92507,17,14,4,2,net shot,0.0,1,2.0,7,-0.2573170731707316,-0.3333854166666666,,,8,115.9,615.54,8,149.4,325.8,2,16,1350
31,5,00:51:24,92533,17,14,10,2,net shot,0.0,0,2.0,7,-0.0743902439024389,0.2621875000000002,,,7,169.6,421.33,8,150.5,642.74,2,16,1350
31,6,00:51:25,92554,17,14,4,2,net shot,0.0,0,2.0,7,-0.0865853658536584,-0.1439062499999999,,,7,154.0,546.42,7,162.7,404.97,2,16,1350
31,7,00:51:26,92581,17,14,10,2,lob,0.0,1,1.0,9,-0.5829268292682926,1.6265624999999997,,,7,152.7,405.08,7,162.3,594.26,2,16,1350
31,8,00:51:27,92630,17,14,4,2,smash,1.0,0,2.0,8,-0.2524390243902437,-0.8846354166666668,,,9,125.9,788.89,8,143.2,314.12,2,16,1350
31,9,00:51:28,92647,17,14,10,2,defensive shot,0.0,0,2.0,5,1.0975609756097562,0.6837499999999999,,,8,135.6,302.27,9,137.4,788.9,2,16,1350
31,10,00:51:29,92674,17,14,4,2,push/rush,0.0,0,2.0,6,1.202439024390244,-0.8686458333333332,,,8,227.0,652.21,8,161.6,284.78,2,16,1350
31,11,00:51:29,92695,17,14,10,2,push/rush,0.0,1,2.0,3,1.3280487804878045,1.52921875,,,8,211.7,343.39,8,213.6,656.39,2,16,1350
31,12,00:51:30,92727,17,14,4,2,drive,0.0,0,2.0,6,1.3365853658536588,-0.933125,,,3,252.6,772.82,8,193.5,291.68,2,16,1350
31,13,00:51:31,92744,17,14,10,2,defensive shot,0.0,1,2.0,2,-1.0182926829268293,0.5594791666666664,,,8,222.3,320.08,8,225.6,750.42,2,16,1350
