rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
22,1,01:11:36,128894,15,7,10,1,short service,0.0,1,2.0,7,0.3256097560975608,0.5445833333333331,,,8,170.0,327.96,8,215.4,679.6,3,21,1776
22,2,01:11:37,128917,15,7,19,2,push/rush,0.0,1,1.0,8,0.6707317073170732,-0.7974479166666667,,,8,216.6,611.27,8,181.2,325.15,3,21,1776
22,3,01:11:37,128931,15,7,10,2,defensive shot,0.0,1,2.0,7,0.5951219512195123,0.5016666666666669,,,8,213.5,322.8,8,217.6,627.17,3,21,1776
22,4,01:11:38,128954,15,7,19,2,lob,0.0,0,1.0,8,0.902439024390244,-1.276354166666667,,,8,217.0,613.28,8,188.6,325.31,3,21,1776
22,5,01:11:39,128987,15,7,10,2,smash,0.0,0,2.0,5,1.0890243902439023,1.0068750000000002,,,8,231.1,221.51,8,217.1,672.41,3,21,1776
22,6,01:11:39,128999,15,7,19,2,defensive shot,0.0,0,1.0,7,0.9158536585365852,-0.4099479166666666,,,8,228.8,688.69,9,232.7,193.04,3,21,1776
22,7,01:11:40,129026,15,7,10,2,net shot,0.0,1,2.0,7,0.4634146341463415,0.3502083333333334,,,8,238.4,353.46,8,231.8,674.45,3,21,1776
22,8,01:11:41,129055,15,7,19,2,lob,0.0,1,1.0,9,0.8121951219512195,-1.4446354166666666,,,7,220.2,576.16,8,203.6,322.58,3,21,1776
22,9,01:11:43,129100,15,7,10,2,drop,0.0,0,2.0,5,1.074390243902439,0.6920833333333333,,,9,226.9,181.95,8,210.7,661.32,3,21,1776
22,10,01:11:43,129115,15,7,19,2,net shot,0.0,0,2.0,7,-0.8207317073170731,-0.1290624999999998,,,8,244.6,650.66,9,227.6,203.73,3,21,1776
22,11,01:11:44,129146,15,7,10,2,lob,0.0,0,1.0,9,-0.6780487804878048,1.541354166666667,,,7,122.1,371.36,8,166.1,643.71,3,21,1776
22,12,01:11:46,129185,15,7,19,2,smash,0.0,0,2.0,6,0.9768292682926828,-0.8763541666666667,,,8,129.8,749.03,8,155.5,270.61,3,21,1776
22,13,01:11:46,129197,15,7,10,2,defensive shot,0.0,1,1.0,7,0.503658536585366,0.5347395833333332,,,8,146.3,260.47,8,141.3,733.15,3,21,1776
22,14,01:11:47,129222,15,7,19,3,push/rush,0.0,0,2.0,7,0.175609756097561,0.0383333333333334,touched the net,10.0,8,229.2,597.24,8,219.3,268.8,3,21,1776
