rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
36,1,01:10:48,127463,20,16,10,1,short service,0.0,1,2.0,7,-0.2524390243902437,0.3040624999999999,,,8,182.2,326.93,8,136.6,667.16,3,19,1603
36,2,01:10:49,127481,20,16,5,2,net shot,0.0,1,2.0,6,1.1329268292682924,-0.585,,,7,175.8,560.69,8,180.8,324.59,3,19,1603
36,3,01:10:50,127502,20,16,10,2,lob,0.0,1,1.0,8,-0.5560975609756097,1.3666666666666665,,,6,266.1,361.37,8,180.0,642.59,3,19,1603
36,4,01:10:51,127537,20,16,5,2,drop,1.0,0,2.0,6,1.2487804878048778,-0.7278645833333334,,,8,161.7,730.82,8,151.1,295.86,3,19,1603
36,5,01:10:51,127559,20,16,10,2,net shot,0.0,1,2.0,1,1.2731707317073169,0.51625,,,6,259.6,322.51,9,140.9,760.83,3,19,1603
36,6,01:10:52,127587,20,16,5,2,net shot,0.0,0,2.0,1,-1.1841463414634146,-0.4851041666666666,,,8,251.4,603.52,8,215.7,320.01,3,19,1603
36,7,01:10:53,127615,20,16,10,2,net shot,0.0,1,2.0,2,-1.1804878048780487,0.2840104166666665,,,7,114.1,386.94,8,158.1,622.34,3,19,1603
36,8,01:10:54,127641,20,16,5,2,net shot,0.0,1,2.0,1,-1.4121951219512194,-0.2444791666666666,,,2,103.4,553.76,8,137.6,347.44,3,19,1603
36,9,01:10:55,127669,20,16,10,2,lob,0.0,0,1.0,4,-1.0731707317073171,1.6983854166666668,,,1,68.9,403.64,7,137.9,592.18,3,19,1603
36,10,01:10:57,127722,20,16,5,2,drop,0.0,1,2.0,7,-0.7829268292682927,-0.2645833333333334,,,9,128.4,760.75,8,136.2,319.74,3,19,1603
36,11,01:10:58,127745,20,16,10,2,net shot,0.0,0,2.0,7,-0.1926829268292684,0.1096875,,,7,144.6,414.29,9,177.1,771.12,3,19,1603
36,12,01:10:59,127771,20,16,5,2,net shot,0.0,1,2.0,7,0.0560975609756096,-0.0361979166666666,,,7,165.2,550.79,8,171.1,347.56,3,19,1603
36,13,01:10:59,127799,20,16,10,2,lob,0.0,1,1.0,6,-1.0,1.39640625,,,7,169.3,397.76,7,169.5,587.71,3,19,1603
36,14,01:11:01,127835,20,16,5,3,smash,1.0,0,2.0,7,-0.1243902439024388,0.1571875,touched the net,10.0,8,144.3,728.3,8,139.8,268.56,3,19,1603
