rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
3,1,00:28:25,51169,3,0,10,1,short service,0.0,1,2.0,7,0.6182926829268292,0.5392708333333331,,,8,168.2,325.67,8,233.3,668.07,2,55,4674
3,2,00:28:26,51191,3,0,24,2,net shot,0.0,1,2.0,1,-0.926829268292683,-0.2186979166666667,,,7,205.8,591.3,8,163.1,306.35,2,55,4674
3,3,00:28:27,51216,3,0,10,2,lob,0.0,0,1.0,4,-1.0902439024390245,1.5205208333333335,,,7,114.7,378.19,8,176.9,614.31,2,55,4674
3,4,00:28:28,51257,3,0,24,2,drop,0.0,0,2.0,5,-0.9841463414634146,-0.5797916666666666,,,9,109.3,788.16,8,134.3,273.75,2,55,4674
3,5,00:28:29,51281,3,0,10,2,lob,0.0,0,1.0,5,1.1780487804878053,1.3982291666666669,,,8,113.9,327.85,8,155.6,714.91,2,55,4674
3,6,00:28:30,51314,3,0,24,2,clear,0.0,0,1.0,4,1.3975609756097565,-1.4556250000000002,,,8,212.2,717.8,8,152.8,286.48,2,55,4674
3,7,00:28:31,51353,3,0,10,2,smash,0.0,0,2.0,5,1.2658536585365856,0.9166666666666666,,,4,258.8,167.12,8,187.3,694.6,2,55,4674
3,8,00:28:32,51366,3,0,24,2,defensive shot,0.0,1,2.0,8,-0.3256097560975608,-0.5668749999999999,,,8,171.0,686.59,4,269.6,184.6,2,55,4674
3,9,00:28:33,51398,3,0,10,2,lob,0.0,0,1.0,6,-0.925609756097561,1.3602604166666663,,,8,152.5,360.44,8,173.1,694.51,2,55,4674
3,10,00:28:34,51431,3,0,24,2,smash,0.0,0,2.0,5,-1.1573170731707318,-1.0609375,,,6,92.0,709.43,8,136.3,266.05,2,55,4674
3,11,00:28:34,51444,3,0,10,2,defensive shot,0.0,0,2.0,7,0.7707317073170731,0.6318750000000003,,,8,123.9,247.71,6,64.8,738.83,2,55,4674
3,12,00:28:35,51470,3,0,24,2,net shot,0.0,1,2.0,2,1.2560975609756098,-0.3459375,,,8,208.4,619.02,8,122.6,255.61,2,55,4674
3,13,00:28:36,51497,3,0,10,2,lob,0.0,1,1.0,6,-1.0890243902439023,1.4659895833333334,,,2,253.4,372.07,8,202.8,641.09,2,55,4674
3,14,00:28:37,51536,3,0,24,2,drop,0.0,0,2.0,8,-0.8634146341463415,-0.7002604166666666,,,4,99.2,769.29,8,160.1,286.51,2,55,4674
3,15,00:28:38,51560,3,0,10,2,lob,0.0,0,1.0,6,-1.0378048780487803,1.3853125000000002,,,8,121.5,323.12,8,144.3,713.57,2,55,4674
3,16,00:28:39,51594,3,0,24,2,clear,0.0,0,1.0,3,-1.3621951219512196,-1.36984375,,,8,111.8,752.17,8,137.3,276.31,2,55,4674
3,17,00:28:40,51626,3,0,10,2,smash,0.0,0,2.0,6,-1.404878048780488,0.9394270833333334,,,3,73.9,178.39,8,136.1,700.76,2,55,4674
3,18,00:28:41,51641,3,0,24,2,defensive shot,0.0,0,2.0,1,-1.1219512195121952,-0.2840104166666665,,,8,121.0,680.92,3,89.9,198.43,2,55,4674
3,19,00:28:42,51665,3,0,10,2,net shot,0.0,0,2.0,1,1.4378048780487802,0.3388541666666664,,,1,99.0,378.12,6,85.8,671.23,2,55,4674
3,20,00:28:43,51692,3,0,24,2,lob,0.0,1,1.0,9,-0.5475609756097561,-1.5025520833333337,,,1,259.1,578.84,8,163.2,318.47,2,55,4674
3,21,00:28:44,51730,3,0,10,2,clear,0.0,0,1.0,8,0.8024390243902441,1.0971874999999998,,,9,141.6,166.86,8,163.8,655.1,2,55,4674
3,22,00:28:45,51752,3,0,24,2,drop,1.0,0,2.0,8,-0.6865853658536585,-0.7370312499999999,,,8,205.9,666.51,9,157.5,184.35,2,55,4674
3,23,00:28:45,51774,3,0,10,2,net shot,0.0,0,2.0,2,-1.002439024390244,0.3694791666666669,,,8,143.2,313.58,8,198.3,692.05,2,55,4674
3,24,00:28:46,51803,3,0,24,2,lob,0.0,0,1.0,3,-0.9829268292682928,-1.4879166666666668,,,7,113.0,578.02,8,154.6,308.76,2,55,4674
3,25,00:28:48,51840,3,0,10,2,smash,0.0,0,2.0,8,-0.6548780487804878,0.9116145833333332,,,9,115.7,169.74,8,136.2,659.13,2,55,4674
3,26,00:28:48,51851,3,0,24,3,defensive shot,0.0,0,2.0,10,1.781707317073171,-0.4468229166666668,out,10.0,8,125.4,683.63,3,98.0,160.87,2,55,4674
